nights,purp0_perc,purp1_perc,purp2_perc,purp3_perc,purp4_perc
0,0,0,0.091,0.041,0.008
1,0.278,0,0.091,0.026,0.035
2,0.197,0,0.383,0,0.022
3,0.103,0.131,0,0.156,0.102
4,0,0.234,0,0,0.073
5,0.122,0.073,0.343,0.114,0.076
6,0.107,0.109,0,0.025,0.035
7,0.044,0.113,0.029,0.26,0.22
8,0.015,0.033,0.01,0.075,0.027
9,0.007,0.033,0.004,0.034,0.027
10,0.017,0.045,0.006,0.058,0.066
11,0.004,0.009,0.002,0.007,0.009
12,0.008,0.018,0.003,0.012,0.014
13,0.003,0.006,0.003,0.012,0.014
14,0.095,0.196,0.035,0.18,0.272
