period,purp0_perc,purp1_perc,purp2_perc,purp3_perc,purp4_perc
0,0.000,0.000,0.000,0.000,0.000
1,0.098,0.080,0.046,0.040,0.073
2,0.082,0.049,0.030,0.026,0.033
3,0.056,0.048,0.032,0.026,0.029
4,0.086,0.068,0.045,0.035,0.047
5,0.058,0.056,0.031,0.029,0.021
6,0.060,0.059,0.039,0.034,0.043
7,0.042,0.045,0.022,0.028,0.019
8,0.044,0.052,0.029,0.040,0.031
9,0.032,0.034,0.033,0.046,0.039
10,0.032,0.036,0.035,0.046,0.056
11,0.029,0.030,0.027,0.042,0.029
12,0.028,0.032,0.050,0.060,0.058
13,0.022,0.030,0.030,0.036,0.031
14,0.032,0.029,0.040,0.040,0.041
15,0.015,0.020,0.023,0.033,0.016
16,0.029,0.026,0.030,0.041,0.039
17,0.011,0.023,0.021,0.025,0.012
18,0.014,0.029,0.035,0.040,0.043
19,0.018,0.021,0.024,0.028,0.012
20,0.029,0.021,0.051,0.034,0.062
21,0.023,0.016,0.042,0.029,0.041
22,0.028,0.023,0.044,0.040,0.019
23,0.017,0.023,0.031,0.023,0.016
24,0.019,0.018,0.041,0.030,0.023
25,0.011,0.017,0.024,0.021,0.019
26,0.015,0.022,0.023,0.023,0.025
27,0.008,0.011,0.016,0.018,0.014
28,0.009,0.012,0.022,0.017,0.033
29,0.011,0.016,0.012,0.017,0.012
30,0.009,0.018,0.018,0.014,0.019
31,0.015,0.015,0.013,0.014,0.021
32,0.012,0.014,0.020,0.012,0.002
33,0.003,0.003,0.011,0.007,0.008
34,0.003,0.003,0.005,0.002,0.002
35,0.000,0.000,0.001,0.001,0.000
36,0.000,0.000,0.001,0.002,0.000
37,0.000,0.000,0.001,0.001,0.000
38,0.000,0.000,0.000,0.000,0.000
39,0.000,0.000,0.001,0.000,0.000
40,0.000,0.001,0.001,0.000,0.012
