income,purp0_perc,purp1_perc,purp2_perc,purp3_perc,purp4_perc
0,0.459,0.15,0.145,0.047,0.283
1,0.108,0.258,0.091,0.322,0.248
2,0,0.119,0.673,0.554,0.26
3,0,0.17,0.091,0,0.099
4,0.235,0.081,0,0,0.049
5,0,0.072,0,0.077,0.022
6,0.198,0.15,0,0,0.039
