Period,purp0_perc,purp1_perc,purp2_perc,purp3_perc,purp4_perc
0,0,0,0,0,0
1,0.009,0.009,0.009,0.009,0.009
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0.033,0.033,0.033,0.033,0.033
8,0.097,0.097,0.097,0.097,0.097
9,0,0,0,0,0
10,0.067,0.067,0.067,0.067,0.067
11,0.025,0.025,0.025,0.025,0.025
12,0.016,0.016,0.016,0.016,0.016
13,0.065,0.065,0.065,0.065,0.065
14,0,0,0,0,0
15,0,0,0,0,0
16,0.009,0.009,0.009,0.009,0.009
17,0.056,0.056,0.056,0.056,0.056
18,0,0,0,0,0
19,0.039,0.039,0.039,0.039,0.039
20,0.033,0.033,0.033,0.033,0.033
21,0.023,0.023,0.023,0.023,0.023
22,0.033,0.033,0.033,0.033,0.033
23,0.069,0.069,0.069,0.069,0.069
24,0.033,0.033,0.033,0.033,0.033
25,0,0,0,0,0
26,0.028,0.028,0.028,0.028,0.028
27,0.007,0.007,0.007,0.007,0.007
28,0.021,0.021,0.021,0.021,0.021
29,0,0,0,0,0
30,0.057,0.057,0.057,0.057,0.057
31,0.023,0.023,0.023,0.023,0.023
32,0,0,0,0,0
33,0,0,0,0,0
34,0.033,0.033,0.033,0.033,0.033
35,0.009,0.009,0.009,0.009,0.009
36,0.016,0.016,0.016,0.016,0.016
37,0.017,0.017,0.017,0.017,0.017
38,0.029,0.029,0.029,0.029,0.029
39,0.087,0.087,0.087,0.087,0.087
40,0.066,0.066,0.066,0.066,0.066
