party,purp0_perc,purp1_perc,purp2_perc,purp3_perc,purp4_perc
0,0.000,0.000,0.000,0.000,0.000
1,0.820,0.561,0.742,0.458,0.551
2,0.137,0.301,0.184,0.348,0.280
3,0.024,0.067,0.040,0.088,0.080
4,0.011,0.048,0.019,0.058,0.054
5,0.008,0.023,0.015,0.048,0.035
