Period,purp0_perc,purp1_perc,purp2_perc,purp3_perc,purp4_perc,purp5_perc
0,0,0,0,0,0,0
1,0,0,0,0,0,0.027
2,0,0,0,0,0,0.015
3,0,0,0,0,0,0.015
4,0,0,0,0,0,0.015
5,0.007,0.007,0.007,0.007,0.007,0.015
6,0.015,0.015,0.015,0.015,0.015,0.014
7,0.015,0.015,0.015,0.015,0.015,0.013
8,0.017,0.017,0.017,0.017,0.017,0.016
9,0.022,0.022,0.022,0.022,0.022,0.016
10,0.044,0.044,0.044,0.044,0.044,0.023
11,0.036,0.036,0.036,0.036,0.036,0.022
12,0.036,0.036,0.036,0.036,0.036,0.03
13,0.036,0.036,0.036,0.036,0.036,0.03
14,0.036,0.036,0.036,0.036,0.036,0.031
15,0.044,0.044,0.044,0.044,0.044,0.031
16,0.029,0.029,0.029,0.029,0.029,0.03
17,0.022,0.022,0.022,0.022,0.022,0.029
18,0.029,0.029,0.029,0.029,0.029,0.023
19,0.029,0.029,0.029,0.029,0.029,0.022
20,0.022,0.022,0.022,0.022,0.022,0.02
21,0.022,0.022,0.022,0.022,0.022,0.02
22,0.029,0.029,0.029,0.029,0.029,0.02
23,0.029,0.029,0.029,0.029,0.029,0.02
24,0.022,0.022,0.022,0.022,0.022,0.026
25,0.015,0.015,0.015,0.015,0.015,0.026
26,0.022,0.022,0.022,0.022,0.022,0.031
27,0.029,0.029,0.029,0.029,0.029,0.03
28,0.036,0.036,0.036,0.036,0.036,0.032
29,0.036,0.036,0.036,0.036,0.036,0.031
30,0.036,0.036,0.036,0.036,0.036,0.037
31,0.036,0.036,0.036,0.036,0.036,0.036
32,0.041,0.041,0.041,0.041,0.041,0.035
33,0.044,0.044,0.044,0.044,0.044,0.035
34,0.041,0.041,0.041,0.041,0.041,0.03
35,0.036,0.036,0.036,0.036,0.036,0.03
36,0.041,0.041,0.041,0.041,0.041,0.026
37,0.036,0.036,0.036,0.036,0.036,0.025
38,0.006,0.006,0.006,0.006,0.006,0.031
39,0.003,0.003,0.003,0.003,0.003,0.031
40,0.001,0.001,0.001,0.001,0.001,0.011
