purpose,freq,stop_skim_period,stop_period
1: Work,3865.8817372086705,1: EA,0.25
1: Work,16254.0,3: MD,13.25
1: Work,19413.0,3: MD,13.75
1: Work,28227.0,3: MD,14.25
1: Work,30744.0,3: MD,14.75
1: Work,44384.0,3: MD,15.25
1: Work,44702.0,4: PM,15.75
1: Work,54702.0,4: PM,16.25
1: Work,72735.0,4: PM,16.75
1: Work,84736.0,4: PM,17.25
1: Work,52460.0,4: PM,18.25
1: Work,33480.0,4: PM,18.75
1: Work,30526.0,5: EV,19.25
1: Work,19952.0,5: EV,19.75
1: Work,15102.0,5: EV,20.25
1: Work,11594.0,5: EV,20.75
1: Work,9852.0,5: EV,21.25
1: Work,8119.0,5: EV,21.75
1: Work,7325.0,5: EV,22.25
1: Work,6833.0,5: EV,22.75
1: Work,6663.0,5: EV,23.25
1: Work,7347.0,5: EV,23.75
1: Work,14630.0,3: MD,12.75
1: Work,12642.0,3: MD,12.25
1: Work,74228.0,4: PM,17.75
1: Work,11479.0,3: MD,11.25
1: Work,12277.0,3: MD,11.75
1: Work,2737.1243802522927,1: EA,0.75
1: Work,1873.9141815413318,1: EA,1.25
1: Work,1317.4350639723111,1: EA,1.75
1: Work,1016.692074989729,1: EA,2.25
1: Work,914.1129007346575,1: EA,2.75
1: Work,996.0800202736139,1: EA,3.25
1: Work,2120.2911872064587,1: EA,4.25
1: Work,3840.807745869715,1: EA,4.75
1: Work,9235.0,1: EA,5.25
1: Work,21148.0,1: EA,5.75
1: Work,1328.660707951221,1: EA,3.75
1: Work,10389.0,3: MD,10.75
1: Work,27729.0,2: AM,6.75
1: Work,45029.0,2: AM,7.25
1: Work,61317.0,2: AM,7.75
1: Work,43397.0,2: AM,8.25
1: Work,26605.0,2: AM,8.75
1: Work,19360.0,3: MD,9.25
1: Work,15973.0,3: MD,9.75
1: Work,10528.0,3: MD,10.25
1: Work,19759.0,2: AM,6.25
2: University,2836.0,4: PM,17.25
2: University,3052.0,4: PM,16.75
2: University,2574.0,4: PM,16.25
2: University,2548.0,4: PM,15.75
2: University,2545.0,3: MD,13.25
2: University,2778.0,3: MD,14.75
2: University,2716.0,3: MD,14.25
2: University,2541.0,3: MD,13.75
2: University,2609.0,4: PM,17.75
2: University,2674.0,3: MD,15.25
2: University,2406.0,4: PM,18.25
2: University,388.0,5: EV,23.75
2: University,1718.0,5: EV,19.25
2: University,1693.0,5: EV,19.75
2: University,1646.0,5: EV,20.25
2: University,1532.0,5: EV,20.75
2: University,1349.0,5: EV,21.25
2: University,1153.0,5: EV,21.75
2: University,935.0,5: EV,22.25
2: University,734.0,5: EV,22.75
2: University,520.0,5: EV,23.25
2: University,2919.0,3: MD,12.75
2: University,2136.0,4: PM,18.75
2: University,4396.0,3: MD,12.25
2: University,49.0,1: EA,5.75
2: University,2066.0,3: MD,11.25
2: University,2430.0,3: MD,11.75
2: University,123.703145477146,1: EA,0.25
2: University,83.6404486721442,1: EA,0.75
2: University,52.862769933700775,1: EA,1.25
2: University,30.624673240757428,1: EA,1.75
2: University,16.481096964440596,1: EA,2.25
2: University,8.75672037363413,1: EA,2.75
2: University,3.7564201162952577,1: EA,3.75
2: University,3.9129687726232856,1: EA,4.25
2: University,6.1461172320094795,1: EA,4.75
2: University,45.0,1: EA,5.25
2: University,5.115639217248832,1: EA,3.25
2: University,303.0,2: AM,6.25
2: University,1743.0,3: MD,10.25
2: University,2022.0,3: MD,9.75
2: University,2352.0,3: MD,9.25
2: University,2845.0,2: AM,8.75
2: University,2180.0,3: MD,10.75
2: University,3876.0,2: AM,7.75
2: University,2551.0,2: AM,7.25
2: University,531.0,2: AM,6.75
2: University,2510.0,2: AM,8.25
3: School,14343.0,4: PM,17.75
3: School,6796.0,3: MD,13.25
3: School,8473.0,3: MD,13.75
3: School,21182.0,3: MD,14.25
3: School,54816.0,3: MD,14.75
3: School,53345.0,3: MD,15.25
3: School,35189.0,4: PM,15.75
3: School,20951.0,4: PM,16.25
3: School,18635.0,4: PM,16.75
3: School,17570.0,4: PM,17.25
3: School,7398.0,4: PM,18.25
3: School,295.0,5: EV,23.75
3: School,2500.0,5: EV,19.25
3: School,1391.0,5: EV,19.75
3: School,815.0,5: EV,20.25
3: School,465.0,5: EV,20.75
3: School,296.0,5: EV,21.25
3: School,255.0,5: EV,21.75
3: School,212.0,5: EV,22.25
3: School,222.0,5: EV,22.75
3: School,243.0,5: EV,23.25
3: School,5337.0,3: MD,12.75
3: School,4069.0,4: PM,18.75
3: School,3901.0,3: MD,12.25
3: School,1745.0,1: EA,5.75
3: School,2376.0,3: MD,11.25
3: School,214.2747636264483,1: EA,0.75
3: School,182.4218349712356,1: EA,1.25
3: School,140.51426879364467,1: EA,1.75
3: School,102.35225690649663,1: EA,2.25
3: School,76.39867800870533,1: EA,2.75
3: School,64.85296622038533,1: EA,3.25
3: School,69.53427479634037,1: EA,3.75
3: School,101.4746043938537,1: EA,4.25
3: School,204.87298234688754,1: EA,4.75
3: School,1508.0,1: EA,5.25
3: School,226.30336993600247,1: EA,0.25
3: School,1192.0,2: AM,6.25
3: School,2792.0,3: MD,10.75
3: School,2254.0,3: MD,10.25
3: School,3153.0,3: MD,9.75
3: School,5006.0,3: MD,9.25
3: School,2864.0,3: MD,11.75
3: School,41262.0,2: AM,8.25
3: School,62622.0,2: AM,7.75
3: School,43019.0,2: AM,7.25
3: School,11400.0,2: AM,6.75
3: School,18215.0,2: AM,8.75
4: Escort,13827.0,3: MD,13.25
4: Escort,24905.0,3: MD,13.75
4: Escort,51340.0,3: MD,14.25
4: Escort,68724.0,3: MD,14.75
4: Escort,64580.0,3: MD,15.25
4: Escort,35683.0,4: PM,15.75
4: Escort,32607.0,4: PM,16.25
4: Escort,20118.0,4: PM,16.75
4: Escort,16134.0,4: PM,17.25
4: Escort,15014.0,4: PM,17.75
4: Escort,10855.0,5: EV,19.25
4: Escort,11838.0,4: PM,18.75
4: Escort,10524.0,5: EV,19.75
4: Escort,8646.0,5: EV,20.25
4: Escort,2920.0,5: EV,23.75
4: Escort,6199.0,5: EV,21.25
4: Escort,5659.0,5: EV,21.75
4: Escort,4617.0,5: EV,22.25
4: Escort,3983.0,5: EV,22.75
4: Escort,3485.0,5: EV,23.25
4: Escort,12386.0,3: MD,12.75
4: Escort,13936.0,4: PM,18.25
4: Escort,7288.0,5: EV,20.75
4: Escort,11431.0,3: MD,12.25
4: Escort,10299.0,3: MD,11.25
4: Escort,10815.0,3: MD,11.75
4: Escort,1252.44214000772,1: EA,0.25
4: Escort,882.2271800409671,1: EA,0.75
4: Escort,526.1861097524971,1: EA,1.25
4: Escort,272.895208227258,1: EA,1.75
4: Escort,134.04352370970335,1: EA,2.25
4: Escort,47.79660672787306,1: EA,3.25
4: Escort,46.01436403092644,1: EA,3.75
4: Escort,67.74445552414765,1: EA,4.25
4: Escort,148.38125900009047,1: EA,4.75
4: Escort,1012.0,1: EA,5.25
4: Escort,71.26915297881689,1: EA,2.75
4: Escort,6474.0,2: AM,6.25
4: Escort,2665.0,1: EA,5.75
4: Escort,9972.0,3: MD,10.25
4: Escort,12465.0,3: MD,9.75
4: Escort,15871.0,3: MD,9.25
4: Escort,42694.0,2: AM,8.75
4: Escort,11377.0,3: MD,10.75
4: Escort,76893.0,2: AM,7.75
4: Escort,40729.0,2: AM,7.25
4: Escort,13503.0,2: AM,6.75
4: Escort,70723.0,2: AM,8.25
5: Individual Maintenance,23839.0,4: PM,17.75
5: Individual Maintenance,38467.0,3: MD,13.25
5: Individual Maintenance,38756.0,3: MD,13.75
5: Individual Maintenance,36798.0,3: MD,14.25
5: Individual Maintenance,36926.0,3: MD,14.75
5: Individual Maintenance,34381.0,3: MD,15.25
5: Individual Maintenance,30386.0,4: PM,15.75
5: Individual Maintenance,31767.0,4: PM,16.25
5: Individual Maintenance,26748.0,4: PM,16.75
5: Individual Maintenance,26169.0,4: PM,17.25
5: Individual Maintenance,23574.0,4: PM,18.25
5: Individual Maintenance,40146.0,3: MD,12.75
5: Individual Maintenance,20428.0,5: EV,19.25
