District,Workers,WFH,%WFH
1: Downtown,20211,1781,0.08812033051308693
2: Central,306359,27340,0.0892417066252338
3: North City,370252,33987,0.09179423743828527
4: South Suburban,125623,11388,0.09065218948759383
5: East Suburban,227013,20644,0.0909375234017435
6: North County West,185454,18013,0.0971292072427664
7: North County East,250079,24493,0.09794105062800156
8: East County,31670,3310,0.10451531417745501
,60435,5897,0.09757590800033093
Total,1577096,146853,0.09311608170967399
