purpose,avgDist
4: Escort,4.65492919554498
5: Individual Maintenance,5.110831307086023
6: Individual Discretionary,5.656655754564018
7: Joint Maintenance,6.2346447212645675
8: Joint Discretionary,6.021218690642778
9: Work-based,3.5185893701478075
Total,5.052770720785584
