jointCat,HHSIZE,freq
0.0,2,306763
0.0,3,171833
0.0,4,134776
0.0,5,129523
1.0,2,52020
1.0,3,25919
1.0,4,26754
1.0,5,23264
2.0,2,4602
2.0,3,5901
2.0,4,8873
2.0,5,12850
