purpose,freq_dep,freq_arr,skim_period,period
1: Work,116.24869697149278,4779.568350673977,1: EA,0.25
1: Work,12567.0,15358.0,3: MD,13.25
1: Work,12021.0,20317.0,3: MD,13.75
1: Work,11768.0,27532.0,3: MD,14.25
1: Work,11153.0,33667.0,3: MD,14.75
1: Work,9700.0,52112.0,3: MD,15.25
1: Work,8968.0,58652.0,4: PM,15.75
1: Work,7984.0,73204.0,4: PM,16.25
1: Work,7494.0,100183.0,4: PM,16.75
1: Work,6917.0,117587.0,4: PM,17.25
1: Work,5746.0,71979.0,4: PM,18.25
1: Work,5015.0,45627.0,4: PM,18.75
1: Work,4280.0,41180.0,5: EV,19.25
1: Work,3639.0,26432.0,5: EV,19.75
1: Work,2955.0,20099.0,5: EV,20.25
1: Work,2264.0,15904.0,5: EV,20.75
1: Work,1775.0,13512.0,5: EV,21.25
1: Work,1294.0,11658.0,5: EV,21.75
1: Work,951.0,10741.0,5: EV,22.25
1: Work,666.0,10229.0,5: EV,22.75
1: Work,471.0,10443.0,5: EV,23.25
1: Work,292.0,11747.0,5: EV,23.75
1: Work,12872.0,12184.0,3: MD,12.75
1: Work,13254.0,9683.0,3: MD,12.25
1: Work,6483.0,102258.0,4: PM,17.75
1: Work,14354.0,6164.0,3: MD,11.25
1: Work,13668.0,7732.0,3: MD,11.75
1: Work,142.5621153087725,5049.434665236835,1: EA,0.75
1: Work,222.53902593151994,4416.249780702841,1: EA,1.25
1: Work,416.0907866269221,2998.917305645442,1: EA,1.75
1: Work,848.2625733519019,1560.8241515732823,1: EA,2.25
1: Work,1710.2570992830706,654.9232859652809,1: EA,2.75
1: Work,3168.677137368502,247.7015350411867,1: EA,3.25
1: Work,7717.945254822861,47.89887278279561,1: EA,4.25
1: Work,10642.103497355523,32.149621826909296,1: EA,4.75
1: Work,32933.0,64.0,1: EA,5.25
1: Work,87129.0,168.0,1: EA,5.75
1: Work,5220.313812979437,98.33243055145049,1: EA,3.75
1: Work,15224.0,4685.0,3: MD,10.75
1: Work,79418.0,371.0,2: AM,6.75
1: Work,108401.0,607.0,2: AM,7.25
1: Work,132689.0,901.0,2: AM,7.75
1: Work,98174.0,1268.0,2: AM,8.25
1: Work,70584.0,1716.0,2: AM,8.75
1: Work,40756.0,2281.0,3: MD,9.25
1: Work,24544.0,2915.0,3: MD,9.75
1: Work,16454.0,3515.0,3: MD,10.25
1: Work,49758.0,259.0,2: AM,6.25
2: University,2728.0,4282.0,4: PM,17.25
2: University,3634.0,4394.0,4: PM,16.75
2: University,557.0,4709.0,4: PM,16.25
2: University,705.0,4640.0,4: PM,15.75
2: University,1925.0,3934.0,3: MD,13.25
2: University,1144.0,4609.0,3: MD,14.75
2: University,1321.0,4377.0,3: MD,14.25
2: University,1626.0,4121.0,3: MD,13.75
2: University,2058.0,4101.0,4: PM,17.75
2: University,922.0,4543.0,3: MD,15.25
2: University,1435.0,3917.0,4: PM,18.25
2: University,1e-08,815.0,5: EV,23.75
2: University,171.0,3399.0,5: EV,19.25
2: University,211.0,3361.0,5: EV,19.75
2: University,208.0,3291.0,5: EV,20.25
2: University,223.0,3095.0,5: EV,20.75
2: University,156.0,2702.0,5: EV,21.25
2: University,83.0,2225.0,5: EV,21.75
2: University,62.0,1894.0,5: EV,22.25
2: University,20.0,1483.0,5: EV,22.75
2: University,3.0,1073.0,5: EV,23.25
2: University,2350.0,4829.0,3: MD,12.75
2: University,1207.0,3630.0,4: PM,18.75
2: University,2681.0,7482.0,3: MD,12.25
2: University,209.0,2.0,1: EA,5.75
2: University,3655.0,2471.0,3: MD,11.25
2: University,3070.0,3179.0,3: MD,11.75
2: University,8.645580362965737e-06,19.142280191184728,1: EA,0.25
2: University,2.077477802483302e-06,172.38900700780903,1: EA,0.75
2: University,-1.9333234505265164e-06,343.7782758720066,1: EA,1.25
2: University,2.9901894170495627e-06,100.22735116832723,1: EA,1.75
2: University,0.005276401654333763,3.4458851109443933,1: EA,2.25
2: University,1.0758466372368036,0.017113108233788817,1: EA,2.75
2: University,93.44979201648968,-9.261655552152464e-06,1: EA,3.75
2: University,42.19886087537477,2.497408551053534e-05,1: EA,4.25
2: University,4.4199734382946785,3.415270368372648e-05,1: EA,4.75
2: University,189.0,1e-08,1: EA,5.25
2: University,29.850238861025574,3.7686360605996945e-05,1: EA,3.25
2: University,1123.0,8.0,2: AM,6.25
