RemainingLow,RemainingHigh,Stop,0,-1,-2,-3,-4,-5,-6,-7,-8,-9
0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,2,1,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,1.00,0,0,0
1,8,1,0,1.00,0,0,0,0,0,0,0,0
1,8,2,0,1.00,0,0,0,0,0,0,0,0
1,8,3,0,0,0,0,1.00,0,0,0,0,0
9,14,1,0,0,0,0,0,1.00,0,0,0,0
9,14,2,0,0.08,0.08,0.08,0.15,0.08,0.31,0.15,0.08,0
9,14,3,0,0,0,0,0,0,0,0,0,1.00
15,18,1,0,0,0,0,0.25,0.25,0.25,0.25,0,0
15,18,2,0,0.07,0.07,0,0.21,0.07,0.21,0.21,0.07,0.07
15,18,3,0,1.00,0,0,0,0,0,0,0,0
19,22,1,0,0,0.07,0,0,0.14,0.36,0.14,0.21,0.07
19,22,2,0,0,0,0.09,0.36,0.09,0.09,0.27,0.09,0
19,22,3,0,0,0.50,0,0,0.50,0,0,0,0
23,26,1,0,0,0,0.12,0.06,0.29,0.24,0,0.24,0.06
23,26,2,0,0,0,0.25,0.25,0.25,0,0,0,0.25
23,26,3,0,0,0,0.25,0.25,0.25,0,0,0,0.25
27,48,1,0,0,0,0.14,0.14,0.14,0,0.29,0.14,0.14
27,48,2,0,0,0,0,0,0,0.33,0,0.33,0.33
27,48,3,0,0,0,0,0,0,1.00,0,0.00,0
