WorkTours,RecreationTours,DiningTours,TotalTours,Percent
1,0,0,1,0.030042918
0,1,0,1,0.816881259
1,1,0,2,0.004291845
0,2,0,2,0.050071531
0,0,1,1,0.057224607
0,1,1,2,0.037195994
0,2,1,3,0.001430615
0,1,2,3,0.00286123
