purpose,survey_avgDist,model_avgDist
4: Escort,0,72.75016439208044
5: Individual Maintenance,0,72.79847226644003
6: Individual Discretionary,0,69.946030816604
7: Joint Maintenance,0,73.48254665913733
8: Joint Discretionary,0,70.24907368556131
9: Work-based,0,0.0
Total,0,71.39074831729891
