distbin,purpose,survey_freq,model_freq
1,4: Escort,0.0,0.0
10,4: Escort,0.0,43.82470119521912
11,4: Escort,0.0,83.66533864541833
12,4: Escort,0.0,51.79282868525897
13,4: Escort,0.0,159.3625498007968
14,4: Escort,0.0,996.01593625498
15,4: Escort,0.0,123.50597609561753
16,4: Escort,0.0,450.199203187251
17,4: Escort,0.0,462.1513944223108
18,4: Escort,0.0,1167.3306772908363
19,4: Escort,0.0,1828.6852589641437
2,4: Escort,0.0,0.0
20,4: Escort,0.0,1812.749003984064
21,4: Escort,0.0,2521.912350597609
22,4: Escort,0.0,1944.2231075697207
23,4: Escort,0.0,1011.9521912350598
24,4: Escort,0.0,741.0358565737051
25,4: Escort,0.0,450.199203187251
26,4: Escort,0.0,446.2151394422311
27,4: Escort,0.0,434.2629482071713
28,4: Escort,0.0,274.9003984063745
29,4: Escort,0.0,1039.8406374501992
3,4: Escort,0.0,0.0
30,4: Escort,0.0,398.4063745019921
31,4: Escort,0.0,302.788844621514
32,4: Escort,0.0,366.5338645418327
33,4: Escort,0.0,354.5816733067729
34,4: Escort,0.0,402.390438247012
35,4: Escort,0.0,183.26693227091636
36,4: Escort,0.0,342.62948207171314
37,4: Escort,0.0,390.43824701195217
38,4: Escort,0.0,2199.203187250996
39,4: Escort,0.0,2350.597609561753
4,4: Escort,0.0,63.745019920318725
40,4: Escort,0.0,2143.426294820717
41,4: Escort,0.0,3015.93625498008
5,4: Escort,0.0,11.95219123505976
6,4: Escort,0.0,67.72908366533865
7,4: Escort,0.0,43.82470119521912
8,4: Escort,0.0,15.93625498007968
9,4: Escort,0.0,23.90438247011952
1,5: Individual Maintenance,0.0,0.0
10,5: Individual Maintenance,0.0,55.776892430278885
11,5: Individual Maintenance,0.0,99.601593625498
12,5: Individual Maintenance,0.0,99.601593625498
13,5: Individual Maintenance,0.0,203.18725099601596
14,5: Individual Maintenance,0.0,856.5737051792829
15,5: Individual Maintenance,0.0,111.55378486055776
16,5: Individual Maintenance,0.0,529.8804780876494
17,5: Individual Maintenance,0.0,466.1354581673307
18,5: Individual Maintenance,0.0,1007.9681274900398
19,5: Individual Maintenance,0.0,1617.5298804780878
2,5: Individual Maintenance,0.0,0.0
20,5: Individual Maintenance,0.0,1278.8844621513945
21,5: Individual Maintenance,0.0,1856.5737051792828
22,5: Individual Maintenance,0.0,1223.1075697211156
23,5: Individual Maintenance,0.0,402.390438247012
24,5: Individual Maintenance,0.0,398.4063745019921
25,5: Individual Maintenance,0.0,358.56573705179284
26,5: Individual Maintenance,0.0,290.8366533864542
27,5: Individual Maintenance,0.0,298.804780876494
28,5: Individual Maintenance,0.0,143.42629482071715
29,5: Individual Maintenance,0.0,2589.641434262948
3,5: Individual Maintenance,0.0,0.0
30,5: Individual Maintenance,0.0,454.1832669322709
31,5: Individual Maintenance,0.0,258.9641434262948
32,5: Individual Maintenance,0.0,362.5498007968128
33,5: Individual Maintenance,0.0,254.9800796812749
34,5: Individual Maintenance,0.0,374.5019920318725
35,5: Individual Maintenance,0.0,107.56972111553785
36,5: Individual Maintenance,0.0,298.804780876494
37,5: Individual Maintenance,0.0,302.788844621514
38,5: Individual Maintenance,0.0,1434.2629482071711
39,5: Individual Maintenance,0.0,1936.2549800796808
4,5: Individual Maintenance,0.0,83.66533864541833
40,5: Individual Maintenance,0.0,1342.6294820717133
41,5: Individual Maintenance,0.0,2402.390438247012
5,5: Individual Maintenance,0.0,3.98406374501992
6,5: Individual Maintenance,0.0,107.56972111553785
7,5: Individual Maintenance,0.0,119.5219123505976
8,5: Individual Maintenance,0.0,3.98406374501992
9,5: Individual Maintenance,0.0,43.82470119521912
1,6: Individual Discretionary,0.0,0.0
10,6: Individual Discretionary,0.0,183.26693227091636
11,6: Individual Discretionary,0.0,250.996015936255
12,6: Individual Discretionary,0.0,250.996015936255
13,6: Individual Discretionary,0.0,561.7529880478088
14,6: Individual Discretionary,0.0,3470.1195219123506
15,6: Individual Discretionary,0.0,374.5019920318725
16,6: Individual Discretionary,0.0,1143.4262948207172
17,6: Individual Discretionary,0.0,1207.1713147410358
18,6: Individual Discretionary,0.0,2625.498007968128
19,6: Individual Discretionary,0.0,3808.764940239044
2,6: Individual Discretionary,0.0,0.0
20,6: Individual Discretionary,0.0,3398.406374501992
21,6: Individual Discretionary,0.0,4258.964143426295
22,6: Individual Discretionary,0.0,2505.97609561753
23,6: Individual Discretionary,0.0,1075.6972111553785
24,6: Individual Discretionary,0.0,996.01593625498
25,6: Individual Discretionary,0.0,792.8286852589641
26,6: Individual Discretionary,0.0,772.9083665338645
27,6: Individual Discretionary,0.0,725.0996015936255
28,6: Individual Discretionary,0.0,430.2788844621514
29,6: Individual Discretionary,0.0,5310.756972111554
3,6: Individual Discretionary,0.0,23.90438247011952
30,6: Individual Discretionary,0.0,1167.3306772908363
31,6: Individual Discretionary,0.0,697.2111553784861
