fromZone,toZone,EETrucks
2,10,97.6762961811
2,12,488.52960307
3,10,71.8666149538
3,12,359.442057593
4,6,612.736
6,4,205.924
6,12,1231.624
6,3798,3.498
6,4525,3.498
10,2,87.9428350716
10,3,64.7050933864
10,3798,4.964
10,4525,4.964
12,2,498.263064179
12,3,366.60357916
12,6,1434.006
12,3798,16.226
12,4525,16.226
3668,12,0.01
3798,6,8.294
3798,10,38.792
3798,12,191.718
4525,6,8.294
4525,10,38.792
4525,12,191.718
