fromZone,toZone,EETrucks
12,6,2758.9299
12,2,1765.77
10,2,313.69
6,12,1317.7
6,4,214.3
2,12,1873.28
2,10,373.38
4,6,637.33
3668,12,0.01
4525,12,198.63
3798,12,198.63
4525,10,40.37
3798,10,40.37
4525,6,8.6
3798,6,8.6
12,4525,16.82
12,3798,16.82
10,4525,5.15
10,3798,5.15
6,4525,3.63
6,3798,3.63
