fromZone,toZone,EETrucks
12,4179,8.81
12,6,439.28
12,2,734.76
4179,12,107.23
4179,10,21.77
4179,6,5.18
10,4179,3.92
10,2,129.88
6,12,289.29
6,4179,3.03
6,4,138.46
2,12,318.09
2,10,64.85
4,6,120.06
