fromZone,toZone,EETrucks
2,10,73.19
2,12,359.72
3,10,0.0
3,12,0.0
4,6,134.11
6,4,144.42
6,12,309.04
6,3798,1.63
6,4525,1.63
10,2,138.84
10,3,0.0
10,3798,2.09
10,4525,2.09
12,2,790.39
12,3,0.0
12,6,469.56
12,3798,4.9
12,4525,4.9
3668,12,0.0
3798,6,2.87
3798,10,12.18
3798,12,60.04
4525,6,2.87
4525,10,12.18
4525,12,60.04
