a,mgra,parkarea,hstallsoth,hstallssam,dstallsoth,dstallssam,mstallsoth,mstallssam
1,4012,2,1,61,1,61,1,61
2,4019,2,2,123,2,123,2,123
3,4043,2,1,60,1,60,1,60
4,4058,2,0,23,0,23,0,23
5,4059,2,1,48,1,48,1,48
6,4060,2,1,61,1,61,1,61
7,4061,2,1,62,1,62,1,62
8,4062,2,1,57,1,57,1,57
9,4063,2,1,65,1,65,1,65
10,4074,2,1,66,1,66,1,66
11,4075,2,1,67,1,67,1,67
12,4076,2,1,34,1,34,1,34
13,4077,2,1,33,1,33,1,33
14,4089,2,1,33,1,33,1,33
15,4078,2,1,33,1,33,1,33
16,4090,2,1,33,1,33,1,33
17,4091,2,1,33,1,33,1,33
18,4092,2,1,33,1,33,1,33
19,4093,2,1,33,1,33,1,33
20,4080,2,1,33,1,33,1,33
21,4094,2,1,33,1,33,1,33
22,4081,2,1,31,1,31,1,31
23,4064,2,1,32,1,32,1,32
24,4082,2,0,23,0,23,0,23
25,4095,2,0,24,0,24,0,24
26,4096,2,0,23,0,23,0,23
27,4097,2,0,23,0,23,0,23
28,4083,2,1,31,1,31,1,31
29,4098,2,1,31,1,31,1,31
30,4099,2,1,62,1,62,1,62
31,4065,2,1,48,1,48,1,48
32,4066,2,1,65,1,65,1,65
33,4084,2,1,66,1,66,1,66
34,4067,2,1,48,1,48,1,48
35,4085,2,1,61,1,61,1,61
36,4100,2,1,65,1,65,1,65
37,4068,2,0,275,0,275,0,275
38,4069,2,3,3,0,0,0,0
39,4070,2,0,7,0,7,0,7
40,4101,2,4,270,4,270,4,270
41,4102,2,1,36,1,36,1,36
42,4086,2,0,4,0,4,0,4
43,4071,2,1,56,1,56,1,56
44,4072,2,1,48,1,48,1,48
45,4073,2,2,119,2,119,2,119
46,4087,2,1,69,1,69,1,69
47,4088,2,1,67,1,67,1,67
48,4123,2,1,66,1,66,1,66
49,4124,2,2,114,2,114,2,114
50,4125,2,1,67,1,67,1,67
51,4103,2,1,68,1,68,1,68
52,4126,2,1,67,1,67,1,67
53,4114,2,1,68,1,68,1,68
54,4104,2,1,65,1,65,1,65
55,4105,2,1,65,1,65,1,65
56,4118,2,1,66,1,66,1,66
57,4119,2,1,64,1,64,1,64
58,4120,2,3,219,3,219,3,219
59,4106,2,2,113,2,113,2,113
60,4107,2,1,65,1,65,1,65
61,4108,2,1,65,1,65,1,65
62,4121,2,1,65,1,65,1,65
63,4109,2,1,65,1,65,1,65
64,4110,2,1,66,1,66,1,66
65,4111,2,2,127,2,127,2,127
66,4144,2,1,64,1,64,1,64
67,4145,2,1,65,1,65,1,65
68,4146,2,1,65,1,65,1,65
69,4147,2,1,65,1,65,1,65
70,4148,2,2,110,2,110,2,110
71,4149,2,1,55,1,55,1,55
72,4150,2,1,56,1,56,1,56
73,4151,2,1,34,1,34,1,34
74,4152,2,1,33,1,33,1,33
75,4153,2,1,34,1,34,1,34
76,4154,2,1,32,1,32,1,32
77,4155,2,1,33,1,33,1,33
78,4128,2,1,32,1,32,1,32
79,4156,2,1,64,1,64,1,64
80,4157,2,1,31,1,31,1,31
81,4129,2,0,27,0,27,0,27
82,4207,2,2,132,2,132,2,132
83,4223,2,2,154,2,154,2,154
84,4224,2,1,49,1,49,1,49
85,4225,2,3,173,3,173,3,173
86,4226,2,2,149,2,149,2,149
87,4209,2,2,147,2,147,2,147
88,4325,2,1,97,1,97,1,97
89,4326,2,1,74,1,74,1,74
90,4327,2,1,78,1,78,1,78
91,4328,2,2,152,2,152,2,152
92,4338,1,34,34,34,34,34,34
93,4339,1,27,27,27,27,27,27
94,4340,1,34,34,34,34,34,34
95,4341,1,0,126,0,126,0,126
96,4320,1,36,36,156,156,156,156
97,4342,1,9,9,7,7,7,7
98,4343,1,42,42,42,42,42,42
99,4344,1,31,31,31,31,31,31
100,4345,1,26,26,26,26,26,26
101,4321,1,6,6,6,6,6,6
102,4322,1,23,23,23,23,23,23
103,4346,1,35,58,30,53,30,53
104,4331,1,21,33,21,33,21,33
105,4304,1,78,186,172,280,76,184
106,4305,1,26,26,26,26,26,26
107,4306,1,28,28,26,26,26,26
108,4307,1,15,15,15,15,15,15
