alt,taz,name,mgraOut,mgraRet,region,iePct
1,1,San Ysidro,6417,6634,1,0.0669
2,2,Otay Mesa,6611,6611,1,0.0169
3,3,East Otay Mesa,21629,21629,1,0
4,4,Tecate,20992,20992,1,0.0053
5,5,Jacumba,21187,21187,1,0
6,6,I-8,20906,20906,2,0.0463
7,7,SR78,20511,20511,2,0.0047
8,8,SR79,20078,20078,3,0.0064
9,9,Pala Road,15296,15296,3,0.0096
10,10,I-15,15219,15219,3,0.3985
11,11,Foothill Tollway,14637,14637,4,0
12,12,I-5,14637,14637,4,0.4453
