coefficient_name,value,constrain,purpose,mode,auto_suff,model_counts,target_counts,difference,percent_diff,coef_change,new_value,converged
coef_wait_disc,-0.0225,F,,,,,,,,,-0.0225,True
coef_wait_atwork,-0.048,F,,,,,,,,,-0.048,True
coef_xwalk_work,-0.04,F,,,,,,,,,-0.04,True
coef_xwalk_univ,-0.04,F,,,,,,,,,-0.04,True
coef_xwalk_school,-0.025,F,,,,,,,,,-0.025,True
coef_xwalk_maint,-0.0425,F,,,,,,,,,-0.0425,True
coef_xwalk_disc,-0.0375,F,,,,,,,,,-0.0375,True
coef_xwalk_atwork,-0.08,F,,,,,,,,,-0.08,True
coef_xwait_work,-0.032,F,,,,,,,,,-0.032,True
coef_xwait_univ,-0.032,F,,,,,,,,,-0.032,True
coef_xwait_school,-0.02,F,,,,,,,,,-0.02,True
coef_xwait_maint,-0.034,F,,,,,,,,,-0.034,True
coef_xwait_disc,-0.03,F,,,,,,,,,-0.03,True
coef_xwait_atwork,-0.064,F,,,,,,,,,-0.064,True
coef_xfer_work,-0.024,F,,,,,,,,,-0.024,True
coef_xfer_univ,-0.024,F,,,,,,,,,-0.024,True
coef_xfer_school,-0.015,F,,,,,,,,,-0.015,True
coef_xfer_maint,-0.0255,F,,,,,,,,,-0.0255,True
coef_xfer_disc,-0.0225,F,,,,,,,,,-0.0225,True
coef_xfer_atwork,-0.048,F,,,,,,,,,-0.048,True
coef_xferdrive_work,-0.032,F,,,,,,,,,-0.032,True
coef_xferdrive_univ,-0.032,F,,,,,,,,,-0.032,True
coef_xferdrive_school,-0.02,F,,,,,,,,,-0.02,True
coef_xferdrive_maint,-0.034,F,,,,,,,,,-0.034,True
coef_xferdrive_disc,-0.03,F,,,,,,,,,-0.03,True
coef_xferdrive_atwork,-0.064,F,,,,,,,,,-0.064,True
coef_acctime_work,-0.032,F,,,,,,,,,-0.032,True
coef_acctime_univ,-0.032,F,,,,,,,,,-0.032,True
coef_acctime_school,-0.02,F,,,,,,,,,-0.02,True
coef_acctime_maint,-0.034,F,,,,,,,,,-0.034,True
coef_acctime_disc,-0.03,F,,,,,,,,,-0.03,True
coef_acctime_atwork,-0.064,F,,,,,,,,,-0.064,True
coef_oMix_nmot_work,0.210144,F,,,,,,,,,0.210144,True
coef_oMix_wTran_work,0.0,F,,,,,,,,,0.0,True
coef_oIntDen_nmot_work,0.002998,F,,,,,,,,,0.002998,True
coef_oIntDen_wTran_work,0.0,F,,,,,,,,,0.0,True
coef_dEmpDen_nmot_work,0.020707,F,,,,,,,,,0.020707,True
coef_dEmpDen_wTran_work,0.0,F,,,,,,,,,0.0,True
coef_dEmpDen_dTran_work,0.0,F,,,,,,,,,0.0,True
coef_age1624_sr2_work,-0.21388,F,,,,,,,,,-0.21388,True
coef_age1624_sr3p_work,-1.79023,F,,,,,,,,,-1.79023,True
coef_age1624_nmot_work,0.303216,F,,,,,,,,,0.303216,True
coef_age1624_tran_work,0.794718,F,,,,,,,,,0.794718,True
coef_age4155_sr2_work,-0.30638,F,,,,,,,,,-0.30638,True
coef_age4155_sr3p_work,-0.41025,F,,,,,,,,,-0.41025,True
coef_age4155_nmot_work,-0.17752,F,,,,,,,,,-0.17752,True
coef_age4155_tran_work,-0.42301,F,,,,,,,,,-0.42301,True
coef_age5664_sr2_work,-1.02962,F,,,,,,,,,-1.02962,True
coef_age5664_sr3p_work,-0.85641,F,,,,,,,,,-0.85641,True
coef_age5664_nmot_work,-0.64534,F,,,,,,,,,-0.64534,True
coef_age5664_tran_work,-0.44991,F,,,,,,,,,-0.44991,True
coef_age65pl_sr2_work,-0.67111,F,,,,,,,,,-0.67111,True
coef_age65pl_sr3p_work,-1.43462,F,,,,,,,,,-1.43462,True
coef_age65pl_nmot_work,-1.45334,F,,,,,,,,,-1.45334,True
coef_age65pl_tran_work,-1.1231,F,,,,,,,,,-1.1231,True
coef_female_sr2_work,0.594728,F,,,,,,,,,0.594728,True
coef_female_sr3p_work,0.848064,F,,,,,,,,,0.848064,True
coef_female_tran_work,0.157786,F,,,,,,,,,0.157786,True
coef_female_nmot_work,0.0,F,,,,,,,,,0.0,True
coef_ageund16_bike_work,0.0,F,,,,,,,,,0.0,True
coef_age1624_bike_work,0.0,F,,,,,,,,,0.0,True
coef_age4155_bike_work,-0.73111,F,,,,,,,,,-0.73111,True
coef_age5664_bike_work,-0.64352,F,,,,,,,,,-0.64352,True
coef_age65pl_bike_work,-1.54867,F,,,,,,,,,-1.54867,True
coef_female_bike_work,-1.19364,F,,,,,,,,,-1.19364,True
coef_inc100plus_bike_work,0.641381,F,,,,,,,,,0.641381,True
coef_LUnorm_bike_work,0.083266,F,,,,,,,,,0.083266,True
coef_oMlCoast_bike_work,-1.42018,F,,,,,,,,,-1.42018,True
coef_oMlCoast2p_bike_work,1.335076,F,,,,,,,,,1.335076,True
coef_oMlCoast5p_bike_work,0.079563,F,,,,,,,,,0.079563,True
coef_ageund16_walk_work,2.188395,F,,,,,,,,,2.188395,True
coef_age1624_walk_work,1.430593,F,,,,,,,,,1.430593,True
coef_age4155_walk_work,-0.43207,F,,,,,,,,,-0.43207,True
coef_age5664_walk_work,-0.51999,F,,,,,,,,,-0.51999,True
coef_age65pl_walk_work,-0.83162,F,,,,,,,,,-0.83162,True
coef_female_walk_work,0.0,F,,,,,,,,,0.0,True
coef_inc60100_walk_work,-0.20839,F,,,,,,,,,-0.20839,True
coef_LUnorm_walk_work,0.009309,F,,,,,,,,,0.009309,True
coef_dEmpNorm_walk_work,0.099811,F,,,,,,,,,0.099811,True
coef_hhsize2_sr2_work,1.069642353,F,,,,,,,,,1.069642353,True
coef_hhsize2_sr3p_work,-0.467357298,F,,,,,,,,,-0.467357298,True
coef_hhsize3_sr2_work,1.58018418,F,,,,,,,,,1.58018418,True
coef_hhsize3_sr3p_work,0.654631352,F,,,,,,,,,0.654631352,True
coef_hhsize4p_sr2_work,1.688389262,F,,,,,,,,,1.688389262,True
coef_hhsize4p_sr3p_work,1.49870326,F,,,,,,,,,1.49870326,True
coef_oMix_nmot_univ,0.122315,F,,,,,,,,,0.122315,True
coef_oMix_wTran_univ,0.0,F,,,,,,,,,0.0,True
coef_oIntDen_nmot_univ,0.009072,F,,,,,,,,,0.009072,True
coef_oIntDen_wTran_univ,0.0,F,,,,,,,,,0.0,True
coef_dEmpDen_nmot_univ,0.081786,F,,,,,,,,,0.081786,True
coef_dEmpDen_wTran_univ,0.0,F,,,,,,,,,0.0,True
coef_dEmpDen_dTran_univ,0.0,F,,,,,,,,,0.0,True
coef_age1624_sr2_univ,0.0,F,,,,,,,,,0.0,True
coef_age1624_sr3p_univ,0.0,F,,,,,,,,,0.0,True
coef_age1624_nmot_univ,0.0,F,,,,,,,,,0.0,True
coef_age1624_tran_univ,0.461169,F,,,,,,,,,0.461169,True
coef_age4155_sr2_univ,0.0,F,,,,,,,,,0.0,True
coef_age4155_sr3p_univ,0.0,F,,,,,,,,,0.0,True
coef_age4155_nmot_univ,0.0,F,,,,,,,,,0.0,True
coef_age4155_tran_univ,0.0,F,,,,,,,,,0.0,True
coef_age5664_sr2_univ,0.0,F,,,,,,,,,0.0,True
coef_age5664_sr3p_univ,0.0,F,,,,,,,,,0.0,True
coef_age5664_nmot_univ,0.0,F,,,,,,,,,0.0,True
coef_age5664_tran_univ,0.0,F,,,,,,,,,0.0,True
coef_age65pl_sr2_univ,0.0,F,,,,,,,,,0.0,True
coef_age65pl_sr3p_univ,0.0,F,,,,,,,,,0.0,True
coef_age65pl_nmot_univ,0.0,F,,,,,,,,,0.0,True
coef_age65pl_tran_univ,0.0,F,,,,,,,,,0.0,True
coef_female_sr2_univ,0.0,F,,,,,,,,,0.0,True
coef_female_sr3p_univ,0.0,F,,,,,,,,,0.0,True
coef_female_tran_univ,0.0,F,,,,,,,,,0.0,True
coef_female_nmot_univ,0.0,F,,,,,,,,,0.0,True
coef_ageund16_bike_univ,0.0,F,,,,,,,,,0.0,True
coef_age1624_bike_univ,0.0,F,,,,,,,,,0.0,True
coef_age4155_bike_univ,-0.73111,F,,,,,,,,,-0.73111,True
coef_age5664_bike_univ,-0.64352,F,,,,,,,,,-0.64352,True
coef_age65pl_bike_univ,-1.54867,F,,,,,,,,,-1.54867,True
coef_female_bike_univ,-1.19364,F,,,,,,,,,-1.19364,True
coef_inc100plus_bike_univ,0.641381,F,,,,,,,,,0.641381,True
coef_LUnorm_bike_univ,0.083266,F,,,,,,,,,0.083266,True
coef_oMlCoast_bike_univ,0.0,F,,,,,,,,,0.0,True
coef_oMlCoast2p_bike_univ,0.0,F,,,,,,,,,0.0,True
coef_oMlCoast5p_bike_univ,0.0,F,,,,,,,,,0.0,True
coef_ageund16_walk_univ,2.188395,F,,,,,,,,,2.188395,True
coef_age1624_walk_univ,1.430593,F,,,,,,,,,1.430593,True
coef_age4155_walk_univ,-0.43207,F,,,,,,,,,-0.43207,True
coef_age5664_walk_univ,-0.51999,F,,,,,,,,,-0.51999,True
coef_age65pl_walk_univ,-0.83162,F,,,,,,,,,-0.83162,True
coef_female_walk_univ,0.0,F,,,,,,,,,0.0,True
coef_inc60100_walk_univ,-0.20839,F,,,,,,,,,-0.20839,True
coef_LUnorm_walk_univ,0.009309,F,,,,,,,,,0.009309,True
coef_dEmpNorm_walk_univ,0.099811,F,,,,,,,,,0.099811,True
coef_hhsize2_sr2_univ,1.871179646,F,,,,,,,,,1.871179646,True
coef_hhsize2_sr3p_univ,1.871179646,F,,,,,,,,,1.871179646,True
coef_hhsize3_sr2_univ,1.871179646,F,,,,,,,,,1.871179646,True
coef_hhsize3_sr3p_univ,1.871179646,F,,,,,,,,,1.871179646,True
coef_hhsize4p_sr2_univ,2.426268851,F,,,,,,,,,2.426268851,True
coef_hhsize4p_sr3p_univ,2.426268851,F,,,,,,,,,2.426268851,True
coef_oMix_nmot_school,0.0,F,,,,,,,,,0.0,True
coef_oMix_wTran_school,0.0,F,,,,,,,,,0.0,True
coef_oIntDen_nmot_school,0.002951,F,,,,,,,,,0.002951,True
coef_oIntDen_wTran_school,0.0,F,,,,,,,,,0.0,True
coef_dEmpDen_nmot_school,0.0,F,,,,,,,,,0.0,True
coef_dEmpDen_wTran_school,0.0,F,,,,,,,,,0.0,True
coef_dEmpDen_dTran_school,0.0,F,,,,,,,,,0.0,True
coef_age0105_schb_school,0.0,F,,,,,,,,,0.0,True
coef_age0105_nmot_school,-1.16217,F,,,,,,,,,-1.16217,True
coef_age0105_tran_school,-6.49996,F,,,,,,,,,-6.49996,True
coef_age0612_schb_school,1.448589,F,,,,,,,,,1.448589,True
coef_age0612_nmot_school,-0.57675,F,,,,,,,,,-0.57675,True
coef_age0612_tran_school,-4.5987,F,,,,,,,,,-4.5987,True
coef_age1315_schb_school,1.296494,F,,,,,,,,,1.296494,True
coef_age1315_nmot_school,0.687165,F,,,,,,,,,0.687165,True
coef_age1315_tran_school,-1.18344,F,,,,,,,,,-1.18344,True
coef_female_sr2_school,0.370191,F,,,,,,,,,0.370191,True
coef_female_sr3p_school,0.326161,F,,,,,,,,,0.326161,True
coef_female_tran_school,0.609312,F,,,,,,,,,0.609312,True
coef_female_nmot_school,0.0,F,,,,,,,,,0.0,True
coef_female_schb_school,0.0,F,,,,,,,,,0.0,True
coef_ageund16_bike_school,0.0,F,,,,,,,,,0.0,True
coef_age1624_bike_school,0.0,F,,,,,,,,,0.0,True
coef_age4155_bike_school,-1.16978,F,,,,,,,,,-1.16978,True
coef_age5664_bike_school,-1.02963,F,,,,,,,,,-1.02963,True
coef_age65pl_bike_school,-2.47787,F,,,,,,,,,-2.47787,True
coef_female_bike_school,-1.90983,F,,,,,,,,,-1.90983,True
coef_inc100plus_bike_school,1.026209,F,,,,,,,,,1.026209,True
coef_LUnorm_bike_school,0.133225,F,,,,,,,,,0.133225,True
coef_oMlCoast_bike_school,-2.27229,F,,,,,,,,,-2.27229,True
coef_oMlCoast2p_bike_school,2.136121,F,,,,,,,,,2.136121,True
coef_oMlCoast5p_bike_school,0.127301,F,,,,,,,,,0.127301,True
coef_ageund16_walk_school,3.371151,F,,,,,,,,,3.371151,True
coef_age1624_walk_school,2.126636,F,,,,,,,,,2.126636,True
coef_age4155_walk_school,-0.76078,F,,,,,,,,,-0.76078,True
coef_age5664_walk_school,-0.90034,F,,,,,,,,,-0.90034,True
coef_age65pl_walk_school,-1.38069,F,,,,,,,,,-1.38069,True
coef_female_walk_school,0.0,F,,,,,,,,,0.0,True
coef_inc60100_walk_school,-0.35622,F,,,,,,,,,-0.35622,True
coef_LUnorm_walk_school,0.701592,F,,,,,,,,,0.701592,True
coef_dEmpNorm_walk_school,0.191664,F,,,,,,,,,0.191664,True
coef_hhsize2_sr2_school,0.0,F,,,,,,,,,0.0,True
coef_hhsize2_sr3p_school,0.0,F,,,,,,,,,0.0,True
coef_hhsize3_sr2_school,0.66814,F,,,,,,,,,0.66814,True
coef_hhsize3_sr3p_school,0.66814,F,,,,,,,,,0.66814,True
coef_hhsize4p_sr2_school,0.41147,F,,,,,,,,,0.41147,True
coef_hhsize4p_sr3p_school,2.09725,F,,,,,,,,,2.09725,True
coef_oMix_nmot_maint,0.145634,F,,,,,,,,,0.145634,True
coef_oMix_wTran_maint,0.0,F,,,,,,,,,0.0,True
coef_oIntDen_nmot_maint,0.0,F,,,,,,,,,0.0,True
coef_oIntDen_wTran_maint,0.0,F,,,,,,,,,0.0,True
coef_dEmpDen_nmot_maint,0.0,F,,,,,,,,,0.0,True
coef_dEmpDen_wTran_maint,0.0,F,,,,,,,,,0.0,True
coef_dEmpDen_dTran_maint,0.0,F,,,,,,,,,0.0,True
coef_age1624_sr2_maint,0.0,F,,,,,,,,,0.0,True
coef_age1624_sr3p_maint,0.0,F,,,,,,,,,0.0,True
coef_age1624_nmot_maint,0.0,F,,,,,,,,,0.0,True
coef_age1624_tran_maint,1.621112,F,,,,,,,,,1.621112,True
