VEHCODE,EMFAC2011_MODE,SOV_GP,SOV_PAY,SR2_GP,SR2_HOV,SR2_PAY,SR3_GP,SR3_HOV,SR3_PAY,LHDN,LHDT,MHDN,MHDT,HHDN,HHDT,UBUS
1,LDA - DSL,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2,LDA - GAS,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
3,LDT1 - DSL,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
4,LDT1 - GAS,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
5,LDT2 - DSL,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
6,LDT2 - GAS,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
7,LHD1 - DSL,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
8,LHD1 - GAS,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
9,LHD2 - DSL,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10,LHD2 - GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,MCY - GAS,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
12,MDV - DSL,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
13,MDV - GAS,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
14,MH - DSL,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
15,MH - GAS,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
16,T6 Ag - DSL,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
17,T6 CAIRP heavy - DSL,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
18,T6 CAIRP small - DSL,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
19,T6 instate construction heavy - DSL,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
20,T6 instate construction small - DSL,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
21,T6 instate heavy - DSL,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
22,T6 instate small - DSL,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
23,T6 OOS heavy - DSL,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
24,T6 OOS small - DSL,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
25,T6 public - DSL,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
26,T6 utility - DSL,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
27,T6TS - GAS,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
28,T7 Ag - DSL,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
29,T7 CAIRP - DSL,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
30,T7 CAIRP construction - DSL,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
31,T7 NNOOS - DSL,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
32,T7 NOOS - DSL,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
33,T7 other port - DSL,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
34,T7 POAK - DSL,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
35,T7 POLA - DSL,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
36,T7 public - DSL,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
37,T7 Single - DSL,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
38,T7 single construction - DSL,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
39,T7 SWCV - DSL,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
40,T7 tractor - DSL,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
41,T7 tractor construction - DSL,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
42,T7 utility - DSL,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
43,T7IS - GAS,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
44,PTO - DSL,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
45,SBUS - DSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,SBUS - GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,UBUS - DSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,UBUS - GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,Motor Coach - DSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,OBUS - GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,All Other Buses - DSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
