Supercolonia_ID,Population,Distance_poe0,Distance_poe1,Distance_poe2,Distance_poe3,Distance_poe4
383,160,6.07,5.56,24.46,6.56,29.46
384,211,5.57,5.06,24.23,6.06,29.23
385,160,5.51,5,24.3,6,29.3
386,113,5.47,5,24.6,6,29.6
387,240,6.08,5.57,24.47,6.57,29.47
388,441,5.43,4.96,24.56,5.96,29.56
389,201,6.17,5.64,23.93,6.64,28.93
390,233,6.17,5.64,23.93,6.64,28.93
391,234,6.05,5.52,23.91,6.52,28.91
392,352,6.17,5.53,23.79,6.53,28.79
393,160,5.92,5.41,23.88,6.41,28.88
394,194,5.96,5.46,23.99,6.46,28.99
395,214,5.97,5.46,24,6.46,29
396,277,6.29,5.78,24.31,6.78,29.31
397,208,6.05,5.54,24.44,6.54,29.44
398,4911,6.88,6.38,24.91,7.38,29.91
399,1165,6.28,5.77,24.3,6.77,29.3
400,1723,7.17,6.64,24.62,7.64,29.62
401,1977,6.94,6.43,24.96,7.43,29.96
402,1163,7.02,6.51,25.04,7.51,30.04
403,395,6.4,5.39,23.52,6.39,28.52
405,429,6.26,5.73,23.96,6.73,28.96
406,694,6.59,6.06,24.04,7.06,29.04
407,376,7.14,6.61,24.58,7.61,29.58
408,1104,6.61,6.08,24.05,7.08,29.05
409,1075,7.53,6.62,24.31,7.62,29.31
410,3642,7.58,7.04,25.02,8.04,30.02
411,934,4.43,5.33,25.3,6.33,30.3
412,1047,4.34,4.88,24.86,5.88,29.86
413,169,5.37,4.46,24.2,5.46,29.2
414,99,5.19,4.28,24.11,5.28,29.11
415,125,5.06,4.31,24.14,5.31,29.14
416,263,5.01,4.5,24.33,5.5,29.33
417,1026,5.19,4.68,24.51,5.68,29.51
418,183,5.02,4.9,24.73,5.9,29.73
419,1104,4.99,4.71,24.54,5.71,29.54
420,353,5.03,4.34,24.17,5.34,29.17
421,609,5.14,4.56,24.39,5.56,29.39
422,684,4.61,4.86,24.84,5.86,29.84
423,2746,4.88,4.82,24.65,5.82,29.65
424,836,4.49,5,24.97,6,29.97
425,922,5.65,4.79,24.2,5.79,29.2
426,300,5.84,4.93,23.73,5.93,28.73
427,210,5.85,4.94,23.72,5.94,28.72
428,232,6.07,5.34,23.73,6.34,28.73
429,194,5.79,4.88,23.78,5.88,28.78
430,107,5.73,4.82,23.84,5.82,28.84
431,92,5.66,5.16,24.14,6.16,29.14
432,107,5.64,4.73,23.93,5.73,28.93
433,77,5.6,4.69,24.11,5.69,29.11
434,276,6.15,5.24,23.63,6.24,28.63
435,94,6.13,5.09,23.44,6.09,28.44
436,87,5.91,5,23.66,6,28.66
437,7842,8.31,7.51,25.21,8.51,30.21
441,22,13.35,9.31,17.25,10.31,22.25
442,5118,13.87,9.83,16.94,10.83,21.94
443,5950,13.76,9.87,17.27,10.87,22.27
444,1225,10.66,5.39,19.53,6.39,24.53
446,3013,9.55,4.55,19.13,5.55,24.13
447,1597,9.31,5.43,20.38,6.43,25.38
448,1307,9.52,5.63,20.37,6.63,25.37
451,151,5.82,1.64,21.92,2.64,26.92
453,49,5.78,0.6,21.61,1.6,26.61
454,188,5.88,1.13,21.8,2.13,26.8
455,126,5.88,0.2,21.68,1.2,26.68
456,11142,6.08,0.82,21.07,1.82,26.07
457,2750,6.37,0.3,21.63,1.3,26.63
458,1619,6.67,1.4,20.81,2.4,25.81
459,223,6,1.17,21.31,2.17,26.31
460,281,5.97,1.06,21.42,2.06,26.42
461,1251,6.13,1.31,21.58,2.31,26.58
462,3279,6.47,1.64,21.92,2.64,26.92
463,1535,6.82,1.7,21.25,2.7,26.25
464,1483,6.67,1.55,20.64,2.55,25.64
465,1811,6.68,1.5,20.88,2.5,25.88
467,391,6.32,1.49,21.77,2.49,26.77
468,1690,6.1,1.28,21.21,2.28,26.21
470,1149,6.16,1.01,21.33,2.01,26.33
471,1188,6.54,1.71,21.89,2.71,26.89
475,835,6.62,1.99,21.92,2.99,26.92
476,4454,7.39,2.71,20.96,3.71,25.96
477,1382,7.31,2.17,20.32,3.17,25.32
478,4995,7.6,3.62,21.97,4.62,26.97
479,2934,7.47,3.97,22.32,4.97,27.32
480,1782,7.21,3.21,21.56,4.21,26.56
481,272,7.35,3.35,21.23,4.35,26.23
482,174,7.35,3.35,21.19,4.35,26.19
483,2765,8.73,4.3,20.68,5.3,25.68
484,2799,8.85,4.42,20.8,5.42,25.8
486,1059,7.73,3.3,20.89,4.3,25.89
487,2609,8.13,3.7,20.85,4.7,25.85
488,1473,8.87,4.99,21.1,5.99,26.1
490,2387,8.46,4.57,21.24,5.57,26.24
491,7240,8.03,4.77,22.24,5.77,27.24
492,5215,7.93,3.93,21.44,4.93,26.44
494,5473,9.19,5.94,21.32,6.94,26.32
495,158,8.27,5.85,22.19,6.85,27.19
496,280,6.98,5.42,23.12,6.42,28.12
497,12,6.37,5.09,23.22,6.09,28.22
498,905,7.26,5.7,23.4,6.7,28.4
499,181,7.58,6.36,24.06,7.36,29.06
500,207,7.52,6.42,24.12,7.42,29.12
501,145,7.26,6.35,24.04,7.35,29.04
502,153,6.98,5.63,23.32,6.63,28.32
503,337,7.13,6.21,23.91,7.21,28.91
504,582,7.75,6.53,24.18,7.53,29.18
505,3113,7.74,6.52,24.21,7.52,29.21
506,602,7.44,6.22,23.92,7.22,28.92
507,380,7.5,6.21,23.91,7.21,28.91
508,309,7.59,6.02,23.72,7.02,28.72
509,354,7.67,6.38,24.08,7.38,29.08
510,350,7.63,6.41,24.11,7.41,29.11
511,717,7.76,6.46,24.16,7.46,29.16
