RemainingLow,RemainingHigh,Stop,0,1,2,3,4,5,6,7,8,9,10,11
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0.7561,0.2439,0,0,0,0,0,0,0,0,0,0
1,1,2,0.9507,0.0493,0,0,0,0,0,0,0,0,0,0
1,1,3,0.1274,0.8726,0,0,0,0,0,0,0,0,0,0
2,2,1,0.7942,0.0187,0.1871,0,0,0,0,0,0,0,0,0
2,2,2,0.3621,0.2277,0.4102,0,0,0,0,0,0,0,0,0
2,2,3,0.7984,0.085,0.1166,0,0,0,0,0,0,0,0,0
3,3,1,0.9684,0.0156,0.008,0.008,0,0,0,0,0,0,0,0
3,3,2,0.628,0.2343,0.1377,0,0,0,0,0,0,0,0,0
3,3,3,0.5,0.387,0.113,0,0,0,0,0,0,0,0,0
4,4,1,0.7848,0.114,0.0938,0.0074,0,0,0,0,0,0,0,0
4,4,2,0.4678,0.1912,0.1912,0.1498,0,0,0,0,0,0,0,0
4,4,3,0.434,0.2536,0.3124,0,0,0,0,0,0,0,0,0
5,5,1,0.8697,0.0151,0.0308,0.0459,0.0385,0,0,0,0,0,0,0
5,5,2,0.2407,0.3069,0.3248,0.1276,0,0,0,0,0,0,0,0
5,5,3,0.162,0.162,0.5628,0.1132,0,0,0,0,0,0,0,0
6,6,1,0.7369,0.0039,0.0737,0.1535,0.0253,0.0067,0,0,0,0,0,0
6,6,2,0.026,0.17,0.1256,0.6784,0,0,0,0,0,0,0,0
6,6,3,0.2257,0.2257,0.3229,0.2257,0,0,0,0,0,0,0,0
7,7,1,0.3349,0.0116,0.0393,0.0694,0.0297,0.2212,0.2939,0,0,0,0,0
7,7,2,0,0.3983,0.4668,0.1349,0,0,0,0,0,0,0,0
7,7,3,0.2146,0.4358,0.1349,0.2147,0,0,0,0,0,0,0,0
8,8,1,0.0311,0.0761,0.2377,0.0699,0.0799,0.1966,0.2168,0.0919,0,0,0,0
8,8,2,0.3349,0.0673,0.0944,0.5034,0,0,0,0,0,0,0,0
8,8,3,0.3142,0.3142,0.1858,0.1858,0,0,0,0,0,0,0,0
9,9,1,0.0821,0.0079,0.1177,0.3238,0.1348,0.0064,0.0232,0.275,0.0291,0,0,0
9,9,2,0.0625,0.048,0.2611,0.6284,0,0,0,0,0,0,0,0
9,9,3,0,0.5,0.5,0,0,0,0,0,0,0,0,0
10,10,1,0.1843,0.4053,0.2094,0.1478,0.0275,0.0074,0,0,0.0183,0,0,0
10,10,2,0.7386,0.1269,0,0.1345,0,0,0,0,0,0,0,0
10,10,3,0,1,0,0,0,0,0,0,0,0,0,0
11,39,1,0.0596,0.2051,0.133,0.0664,0.143,0.0469,0.1024,0,0.1687,0.0114,0,0.0635
11,39,2,0.5479,0.2742,0.0756,0.1023,0,0,0,0,0,0,0,0
11,39,3,0.2999,0.5304,0.1289,0.0408,0,0,0,0,0,0,0,0
