Purpose,DurationLo,DurationHi,Outbound,Inbound,Percent
0,0,4,0,0,0.511016323
0,0,4,0,1,0.126987933
0,0,4,0,2,0
0,0,4,0,3,0
0,0,4,1,0,0.102626667
0,0,4,1,1,0.102626667
0,0,4,1,2,0.05224747
0,0,4,1,3,0
0,0,4,2,0,0
0,0,4,2,1,0
0,0,4,2,2,0.104494939
0,0,4,2,3,0
0,0,4,3,0,0
0,0,4,3,1,0
0,0,4,3,2,0
0,0,4,3,3,0
0,4,8,0,0,0.689998324
0,4,8,0,1,0.097585628
0,4,8,0,2,0.031923679
0,4,8,0,3,0.03135337
0,4,8,1,0,0.066658411
0,4,8,1,1,0.026957717
0,4,8,1,2,0
0,4,8,1,3,0
0,4,8,2,0,0.023162903
0,4,8,2,1,0.011792287
0,4,8,2,2,0
0,4,8,2,3,0
0,4,8,3,0,0.02056768
0,4,8,3,1,0
0,4,8,3,2,0
0,4,8,3,3,0
0,8,24,0,0,0.489463522
0,8,24,0,1,0.13706861
0,8,24,0,2,0.034297699
0,8,24,0,3,0.004141641
0,8,24,1,0,0.126616154
0,8,24,1,1,0.015127274
0,8,24,1,2,0.016491461
0,8,24,1,3,0
0,8,24,2,0,0.105439652
0,8,24,2,1,0.011218697
0,8,24,2,2,0.011230685
0,8,24,2,3,0
0,8,24,3,0,0.027566378
0,8,24,3,1,0.021338227
0,8,24,3,2,0
0,8,24,3,3,0
1,0,4,0,0,0.454245855
1,0,4,0,1,0.031777424
1,0,4,0,2,0
1,0,4,0,3,0
1,0,4,1,0,0.159456865
1,0,4,1,1,0.063554848
1,0,4,1,2,0.063554848
1,0,4,1,3,0
1,0,4,2,0,0.227410159
1,0,4,2,1,0
1,0,4,2,2,0
1,0,4,2,3,0
1,0,4,3,0,0
1,0,4,3,1,0
1,0,4,3,2,0
1,0,4,3,3,0
1,4,8,0,0,0.313787784
1,4,8,0,1,0.206314681
1,4,8,0,2,0.265553222
1,4,8,0,3,0.016499399
1,4,8,1,0,0.106194287
1,4,8,1,1,0
1,4,8,1,2,0
1,4,8,1,3,0.016499399
1,4,8,2,0,0.032998797
1,4,8,2,1,0
1,4,8,2,2,0.042152431
1,4,8,2,3,0
1,4,8,3,0,0
1,4,8,3,1,0
1,4,8,3,2,0
1,4,8,3,3,0
1,8,24,0,0,0.241372296
1,8,24,0,1,0.187716834
1,8,24,0,2,0.115562004
1,8,24,0,3,0.071118898
1,8,24,1,0,0.322154066
1,8,24,1,1,0.031037952
1,8,24,1,2,0
1,8,24,1,3,0
1,8,24,2,0,0.031037952
1,8,24,2,1,0
1,8,24,2,2,0
1,8,24,2,3,0
1,8,24,3,0,0
1,8,24,3,1,0
1,8,24,3,2,0
1,8,24,3,3,0
2,0,4,0,0,0.162017278
2,0,4,0,1,0.137258959
2,0,4,0,2,0.121954135
2,0,4,0,3,0.074790855
2,0,4,1,0,0.11451992
2,0,4,1,1,0.180131105
2,0,4,1,2,0.028256335
2,0,4,1,3,0
2,0,4,2,0,0.107251053
2,0,4,2,1,0.025466022
2,0,4,2,2,0
2,0,4,2,3,0
2,0,4,3,0,0.020630597
2,0,4,3,1,0.027723741
2,0,4,3,2,0
2,0,4,3,3,0
2,4,8,0,0,0.020919245
2,4,8,0,1,0.041475398
2,4,8,0,2,0.237608249
2,4,8,0,3,0.242074516
2,4,8,1,0,0.065051101
2,4,8,1,1,0.071202324
2,4,8,1,2,0.066196606
2,4,8,1,3,0.048172634
2,4,8,2,0,0.072755486
2,4,8,2,1,0.049770826
2,4,8,2,2,0
2,4,8,2,3,0.017339228
2,4,8,3,0,0.032755931
2,4,8,3,1,0.017339228
2,4,8,3,2,0
2,4,8,3,3,0.017339228
2,8,24,0,0,0.130773377
2,8,24,0,1,0.079355609
2,8,24,0,2,0.077234146
2,8,24,0,3,0.113029983
2,8,24,1,0,0.153531582
2,8,24,1,1,0
2,8,24,1,2,0.020730132
2,8,24,1,3,0.017653683
2,8,24,2,0,0.048444765
2,8,24,2,1,0.136703219
2,8,24,2,2,0
2,8,24,2,3,0
2,8,24,3,0,0.103650662
2,8,24,3,1,0.118892843
2,8,24,3,2,0
2,8,24,3,3,0
3,0,4,0,0,0.252112189
3,0,4,0,1,0.124782683
3,0,4,0,2,0.062247033
3,0,4,0,3,0.01990337
3,0,4,1,0,0.224597928
3,0,4,1,1,0.036628727
3,0,4,1,2,0.054378738
3,0,4,1,3,0.02833728
3,0,4,2,0,0.101829794
3,0,4,2,1,0.030948247
3,0,4,2,2,0.014864119
3,0,4,2,3,0.003303138
3,0,4,3,0,0.039519536
3,0,4,3,1,0.006547218
3,0,4,3,2,0
3,0,4,3,3,0
3,4,8,0,0,0.095068161
3,4,8,0,1,0.107960908
3,4,8,0,2,0.088758415
3,4,8,0,3,0.105858941
3,4,8,1,0,0.122709018
3,4,8,1,1,0.096541904
3,4,8,1,2,0.048546661
3,4,8,1,3,0.022429002
3,4,8,2,0,0.094696808
3,4,8,2,1,0.042306445
3,4,8,2,2,0.02819445
3,4,8,2,3,0.001978918
3,4,8,3,0,0.078513949
3,4,8,3,1,0.039940443
3,4,8,3,2,0.018580304
3,4,8,3,3,0.007915672
3,8,24,0,0,0.115327459
