RemainingLow,RemainingHigh,Stop,0,-1,-2,-3,-4,-5,-6,-7
0,0,1,1,0,0,0,0,0,0,0
0,0,2,1,0,0,0,0,0,0,0
0,0,3,1,0,0,0,0,0,0,0
1,1,1,0.346406,0.653594,0,0,0,0,0,0
1,1,2,0.375683,0.624317,0,0,0,0,0,0
1,1,3,0.372095,0.627905,0,0,0,0,0,0
2,2,1,0.264774,0.65176,0.083466,0,0,0,0,0
2,2,2,0.472322,0.477588,0.05009,0,0,0,0,0
2,2,3,0.566943,0.407792,0.025265,0,0,0,0,0
3,3,1,0.20906,0.627509,0.149075,0.014356,0,0,0,0
3,3,2,0.262769,0.573289,0.155254,0.008688,0,0,0,0
3,3,3,0.375232,0.539279,0.085489,0,0,0,0,0
4,4,1,0.237958,0.572066,0.172255,0.008208,0.009513,0,0,0
4,4,2,0.248973,0.489475,0.261552,0,0,0,0,0
4,4,3,0.187984,0.561405,0.20155,0.031457,0.017604,0,0,0
5,5,1,0.102695,0.650164,0.203166,0.020211,0.006818,0.016946,0,0
5,5,2,0.08226,0.687812,0.208558,0,0.02137,0,0,0
5,5,3,0.124603,0.576519,0.298878,0,0,0,0,0
6,6,1,0.072376,0.446699,0.382026,0.069661,0.022952,0,0.006286,0
6,6,2,0.215996,0.284501,0.420479,0.079024,0,0,0,0
6,6,3,0.064836,0.625326,0.309838,0,0,0,0,0
7,7,1,0.159356,0.394304,0.329275,0.098061,0.011651,0.007353,0,0
7,7,2,0.145901,0.377305,0.357738,0.119056,0,0,0,0
7,7,3,0.480077,0.215561,0.219303,0,0.085059,0,0,0
8,8,1,0.093444,0.454501,0.331981,0.08737,0.007015,0.01186,0.013829,0
8,8,2,0.058717,0.600129,0.341154,0,0,0,0,0
8,8,3,0.212474,0.212476,0.25635,0.3187,0,0,0,0
9,9,1,0.125125,0.197762,0.567516,0.013917,0.081011,0.014669,0,0
9,9,2,0.24567,0.490643,0.156831,0.058985,0.047871,0,0,0
9,9,3,0.256564,0.230308,0.513128,0,0,0,0,0
10,10,1,0.030307,0.297105,0.52276,0.061617,0.088211,0,0,0
10,10,2,0,0.848758,0.081682,0.06956,0,0,0,0
10,10,3,0,1,0,0,0,0,0,0
11,39,1,0.03390406,0.439902267,0.292154513,0.183569281,0.015231778,0.013035744,0,0.022202357
11,39,2,0.322408098,0.587676247,0.089915655,0,0,0,0,0
11,39,3,0.216019864,0.185269801,0.598710335,0,0,0,0,0
