Purpose,Description,0,1,2,3,4
0,Work,0.254,0.326,0.4,0.257,0.257
1,School,0.041,0.021,0.031,0.023,0.023
2,cargo,0.012,0.012,0.012,0.012,0.012
3,shop,0.547,0.511,0.308,0.549,0.549
4,visit,0.088,0.079,0.108,0.108,0.108
5,other,0.058,0.051,0.141,0.051,0.051
