emp_code,emp_ag,emp_const_non_bldg_prod,emp_const_non_bldg_office,emp_utilities_prod,emp_utilities_office,emp_const_bldg_prod,emp_const_bldg_office,emp_mfg_prod,emp_mfg_office,emp_whsle_whs,emp_trans,emp_retail,emp_prof_bus_svcs,emp_prof_bus_svcs_bldg_maint,emp_pvt_ed_k12,emp_pvt_ed_post_k12_oth,emp_health,emp_personal_svcs_office,emp_amusement,emp_hotel,emp_restaurant_bar,emp_personal_svcs_retail,emp_religious,emp_pvt_hh,emp_state_local_gov_ent,emp_fed_non_mil,emp_fed_mil,emp_state_local_gov_blue,emp_state_local_gov_white,emp_public_ed,emp_own_occ_dwell_mgmt,emp_fed_gov_accts,emp_st_lcl_gov_accts,emp_cap_accts
occ1,0.2676,0.0000,0.6700,0.0000,0.6321,0.0000,0.6919,0.0000,0.7155,0.2103,0.1080,0.1253,0.5841,0.1591,0.7769,0.7381,0.5645,0.6074,0.3340,0.1776,0.1215,0.1504,0.6512,0.0110,0.2360,0.4078,0.0000,0.0000,0.5907,0.7680,0.0000,0.0000,0.0000,0.0000
occ2,0.0800,0.0087,0.0000,0.0353,0.0000,0.0096,0.0000,0.0229,0.0000,0.0141,0.0308,0.0304,0.0179,0.4642,0.1223,0.0557,0.2241,0.1250,0.3760,0.5096,0.7271,0.4131,0.1276,0.9674,0.1708,0.1373,0.0000,0.8742,0.0000,0.0917,0.0000,0.0000,0.0000,0.0000
occ3,0.0482,0.0000,0.3300,0.0000,0.3679,0.0000,0.3081,0.0000,0.2845,0.5339,0.2632,0.6930,0.3478,0.2437,0.0795,0.1708,0.1888,0.2094,0.2131,0.2446,0.1086,0.1217,0.1868,0.0126,0.1690,0.2810,0.0000,0.0000,0.4093,0.1058,0.0000,0.0000,0.0000,0.0000
occ4,0.5408,0.9151,0.0000,0.5967,0.0000,0.9378,0.0000,0.1348,0.0000,0.0752,0.0643,0.0484,0.0330,0.0431,0.0067,0.0124,0.0061,0.0239,0.0355,0.0249,0.0029,0.1912,0.0223,0.0034,0.2014,0.0937,0.0000,0.0797,0.0000,0.0125,0.0000,0.0000,0.0000,0.0000
occ5,0.0633,0.0762,0.0000,0.3680,0.0000,0.0526,0.0000,0.8423,0.0000,0.1665,0.5338,0.1029,0.0171,0.0898,0.0146,0.0229,0.0166,0.0343,0.0414,0.0432,0.0399,0.1236,0.0122,0.0056,0.2228,0.0802,0.0000,0.0461,0.0000,0.0220,0.0000,0.0000,0.0000,0.0000
occ6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
