Model,Alternative,Matrix,Index1,Index2,Value,Comment,Comment2,Comment3,Comment4,Comment5,End
TravelTimeMatrix,L,traffic_skims_MD:MD_SOVGPM_TIME,default,,0,default travel time matrix for light vehicles, ,,TravelTimeMatrix,,End
TravelTimeMatrix,I,traffic_skims_MD:MD_SOVGPM_TIME,default,,0,default travel time matrix for medim vehicles <9.6T, ,,TravelTimeMatrix,,End
TravelTimeMatrix,M,traffic_skims_MD:MD_SOVGPM_TIME,default,,0,default travel time matrix for medium vehicles, ,,TravelTimeMatrix,,End
TravelTimeMatrix,H,traffic_skims_MD:MD_SOVGPM_TIME,default,,0,default travel time matrix for heavy vehicles, ,,TravelTimeMatrix,,End
TripModeL,,,dispersion,,0.2572,,,,,,End
TripModeL,,,portion,,-1.2099,,,,,,End
TripModeI,,,dispersion,,0.2572,,,,,,End
TripModeI,,,portion,,-3.6876,,,,,,End
TripModeM,,,dispersion,,0.2572,,,,,,End
TripModeM,,,portion,,-3.6876,,,,,,End
TripModeH,,,dispersion,,0.2572,,,,,,End
TripModeH,,,portion,,-3.6876,,,,,,End
TripMatrix,L:T,CVM_EA:LT,tripOut,3,6,Light 3:00 to 6:00,toll,,CVM_EA:LT,,End
TripMatrix,L:T,CVM_AM:LT,tripOut,6,9,Light 6:00 to 9:00,toll,,CVM_AM:LT,,End
TripMatrix,L:T,CVM_MD:LT,tripOut,9,15.5,Light 9 to 15:30,toll,,CVM_MD:LT,,End
TripMatrix,L:T,CVM_PM:LT,tripOut,15.5,19,Light 15:30 to 19:00,toll,,CVM_PM:LT,,End
TripMatrix,L:T,CVM_EV:LT,tripOut,19,24,Light 19:00 to 03:00,toll,,CVM_EV:LT,,End
TripMatrix,L:T,CVM_EV:LT,tripOut,0,3,Light 19:00 to 03:00,toll,,CVM_EV:LT,,End
TripMatrix,I:T,CVM_EA:IT,tripOut,3,6,Light 3:00 to 6:00,toll,,CVM_EA:IT,,End
TripMatrix,I:T,CVM_AM:IT,tripOut,6,9,Light 6:00 to 9:00,toll,,CVM_AM:IT,,End
TripMatrix,I:T,CVM_MD:IT,tripOut,9,15.5,Light 9 to 15:30,toll,,CVM_MD:IT,,End
