primary_purpose,distance_bin,total_share,purpose_share
external,0_0.25,,
external,0.25_0.5,,
external,0.5_1,,
external,1_2,,
external,2_3,,
external,3_4,,
external,4_5,,
external,5_7.5,,
external,7.5_10,,
external,10_15,,
external,15_20,,
external,20_30,0.029,0.409
external,30_40,,
external,40_50,0.0029,0.0409
external,50+,0.039,0.5501
res_bus,0_0.25,,
res_bus,0.25_0.5,,
res_bus,0.5_1,,
res_bus,1_2,0,0
res_bus,2_3,0.0037,0.0377
res_bus,3_4,0.0056,0.0571
res_bus,4_5,0.0045,0.0459
res_bus,5_7.5,0.0114,0.1162
res_bus,7.5_10,0.0093,0.0948
res_bus,10_15,0.0187,0.1903
res_bus,15_20,0.0087,0.089
res_bus,20_30,0.0152,0.1549
res_bus,30_40,0.0158,0.1611
res_bus,40_50,0.0035,0.0357
res_bus,50+,0.0017,0.0173
res_per,0_0.25,,
res_per,0.25_0.5,,
res_per,0.5_1,,
res_per,1_2,0,0
res_per,2_3,0.0059,0.0212
res_per,3_4,0.016,0.0576
res_per,4_5,0.0154,0.0555
res_per,5_7.5,0.0279,0.1005
res_per,7.5_10,0.0277,0.0997
res_per,10_15,0.065,0.2341
res_per,15_20,0.0373,0.1343
res_per,20_30,0.0362,0.1304
res_per,30_40,0.0365,0.1314
res_per,40_50,0.005,0.018
res_per,50+,0.0048,0.0173
vis_bus,0_0.25,,
vis_bus,0.25_0.5,,
vis_bus,0.5_1,0.0005,0.0025
vis_bus,1_2,0.0007,0.0035
vis_bus,2_3,0.0337,0.1689
vis_bus,3_4,0.0656,0.3288
vis_bus,4_5,0.0164,0.0822
vis_bus,5_7.5,0.0252,0.1263
vis_bus,7.5_10,0.0147,0.0737
vis_bus,10_15,0.0149,0.0747
vis_bus,15_20,0.0083,0.0416
vis_bus,20_30,0.0062,0.0311
vis_bus,30_40,0.0093,0.0466
vis_bus,40_50,0.0026,0.013
vis_bus,50+,0.0014,0.007
vis_per,0_0.25,,
vis_per,0.25_0.5,0,0
vis_per,0.5_1,0.0004,0.0011
vis_per,1_2,0.0014,0.004
vis_per,2_3,0.031,0.0876
vis_per,3_4,0.0479,0.1354
vis_per,4_5,0.0351,0.0992
vis_per,5_7.5,0.0538,0.1521
vis_per,7.5_10,0.0422,0.1193
vis_per,10_15,0.051,0.1442
vis_per,15_20,0.0155,0.0438
vis_per,20_30,0.0275,0.0777
vis_per,30_40,0.0339,0.0958
vis_per,40_50,0.0103,0.0291
vis_per,50+,0.0037,0.0105
