stop_period,stop_skim_period,purpose,freq
7.25,2: AM,5: Individual Maintenance,1116
7.75,2: AM,5: Individual Maintenance,5585
8.25,2: AM,5: Individual Maintenance,3468
8.75,2: AM,5: Individual Maintenance,8894
9.25,3: MD,5: Individual Maintenance,18143
9.75,3: MD,5: Individual Maintenance,16675
10.25,3: MD,5: Individual Maintenance,26764
10.75,3: MD,5: Individual Maintenance,26843
11.25,3: MD,5: Individual Maintenance,24606
11.75,3: MD,5: Individual Maintenance,32728
12.25,3: MD,5: Individual Maintenance,28089
12.75,3: MD,5: Individual Maintenance,29803
13.25,3: MD,5: Individual Maintenance,47167
13.75,3: MD,5: Individual Maintenance,25991
14.25,3: MD,5: Individual Maintenance,28437
14.75,3: MD,5: Individual Maintenance,35251
15.25,3: MD,5: Individual Maintenance,28532
15.75,4: PM,5: Individual Maintenance,22201
16.25,4: PM,5: Individual Maintenance,17949
16.75,4: PM,5: Individual Maintenance,20083
17.25,4: PM,5: Individual Maintenance,12954
17.75,4: PM,5: Individual Maintenance,18678
18.25,4: PM,5: Individual Maintenance,13168
18.75,4: PM,5: Individual Maintenance,8005
19.25,5: EV,5: Individual Maintenance,7547
19.75,5: EV,5: Individual Maintenance,10569
20.25,5: EV,5: Individual Maintenance,9455
20.75,5: EV,5: Individual Maintenance,7296
21.25,5: EV,5: Individual Maintenance,8446
21.75,5: EV,5: Individual Maintenance,2633
22.25,5: EV,5: Individual Maintenance,1268
22.75,5: EV,5: Individual Maintenance,366
23.25,5: EV,5: Individual Maintenance,81
23.75,5: EV,5: Individual Maintenance,281
24.25,5: EV,5: Individual Maintenance,87
4.75,1: EA,6: Individual Discretionary,2307
5.25,1: EA,6: Individual Discretionary,626
5.75,1: EA,6: Individual Discretionary,402
6.25,2: AM,6: Individual Discretionary,1858
6.75,2: AM,6: Individual Discretionary,2727
7.25,2: AM,6: Individual Discretionary,6070
7.75,2: AM,6: Individual Discretionary,7947
8.25,2: AM,6: Individual Discretionary,11697
8.75,2: AM,6: Individual Discretionary,10955
9.25,3: MD,6: Individual Discretionary,11738
9.75,3: MD,6: Individual Discretionary,14087
10.25,3: MD,6: Individual Discretionary,19140
10.75,3: MD,6: Individual Discretionary,14537
11.25,3: MD,6: Individual Discretionary,20491
11.75,3: MD,6: Individual Discretionary,18321
12.25,3: MD,6: Individual Discretionary,23853
12.75,3: MD,6: Individual Discretionary,23728
13.25,3: MD,6: Individual Discretionary,24785
13.75,3: MD,6: Individual Discretionary,30145
14.25,3: MD,6: Individual Discretionary,13267
14.75,3: MD,6: Individual Discretionary,31133
15.25,3: MD,6: Individual Discretionary,18944
15.75,4: PM,6: Individual Discretionary,16674
16.25,4: PM,6: Individual Discretionary,20728
16.75,4: PM,6: Individual Discretionary,24949
17.25,4: PM,6: Individual Discretionary,21781
17.75,4: PM,6: Individual Discretionary,21834
18.25,4: PM,6: Individual Discretionary,24083
18.75,4: PM,6: Individual Discretionary,18264
19.25,5: EV,6: Individual Discretionary,17574
19.75,5: EV,6: Individual Discretionary,19451
20.25,5: EV,6: Individual Discretionary,15410
20.75,5: EV,6: Individual Discretionary,13066
21.25,5: EV,6: Individual Discretionary,11936
21.75,5: EV,6: Individual Discretionary,5442
22.25,5: EV,6: Individual Discretionary,10059
22.75,5: EV,6: Individual Discretionary,8196
23.25,5: EV,6: Individual Discretionary,2165
23.75,5: EV,6: Individual Discretionary,1788
24.25,5: EV,6: Individual Discretionary,4091
4.75,1: EA,7: Joint Maintenance,0
5.25,1: EA,7: Joint Maintenance,0
5.75,1: EA,7: Joint Maintenance,0
6.25,2: AM,7: Joint Maintenance,0
6.75,2: AM,7: Joint Maintenance,13
7.25,2: AM,7: Joint Maintenance,0
7.75,2: AM,7: Joint Maintenance,341
8.25,2: AM,7: Joint Maintenance,30
8.75,2: AM,7: Joint Maintenance,31
9.25,3: MD,7: Joint Maintenance,178
9.75,3: MD,7: Joint Maintenance,914
10.25,3: MD,7: Joint Maintenance,733
10.75,3: MD,7: Joint Maintenance,3713
11.25,3: MD,7: Joint Maintenance,3701
11.75,3: MD,7: Joint Maintenance,1625
12.25,3: MD,7: Joint Maintenance,6265
12.75,3: MD,7: Joint Maintenance,2974
13.25,3: MD,7: Joint Maintenance,2360
13.75,3: MD,7: Joint Maintenance,2005
14.25,3: MD,7: Joint Maintenance,809
14.75,3: MD,7: Joint Maintenance,1277
15.25,3: MD,7: Joint Maintenance,922
15.75,4: PM,7: Joint Maintenance,1472
16.25,4: PM,7: Joint Maintenance,1777
