esc_type,child_type,freq_out,freq_inb
Ride Share,7: Non-Driving Aged Student,9933.6785,7297.1869
Pure Escort,7: Non-Driving Aged Student,29221.7934,31716.9417
No Escort,7: Non-Driving Aged Student,77712.2253,77918.6254
Ride Share,8: Child To Young for School,5418.1902,3974.9807
Pure Escort,8: Child To Young for School,1276.4904,1406.6183
No Escort,8: Child To Young for School,7983.6067,9296.6883
Ride Share,Total,15351.8687,11272.1676
Pure Escort,Total,30498.2838,33123.56
No Escort,Total,85695.832,87215.3137
