OwnershipCategory,tour_mode,purpose,freq
0: No Vehicles,01: SOV,1: Work,5898
0: No Vehicles,02: Shared Ride 2,1: Work,9426
0: No Vehicles,03: Shared Ride 3+,1: Work,0
0: No Vehicles,04: Walk,1: Work,6309
0: No Vehicles,05: Bike,1: Work,3580
0: No Vehicles,06: Walk to Transit,1: Work,10877
0: No Vehicles,07: PNR to Transit,1: Work,0
0: No Vehicles,08: KNR to Transit,1: Work,2073
0: No Vehicles,09: TNC to Transit,1: Work,0
0: No Vehicles,01: SOV,2: University,7
0: No Vehicles,02: Shared Ride 2,2: University,923
0: No Vehicles,03: Shared Ride 3+,2: University,113
0: No Vehicles,04: Walk,2: University,50
0: No Vehicles,05: Bike,2: University,174
0: No Vehicles,06: Walk to Transit,2: University,3678
0: No Vehicles,07: PNR to Transit,2: University,0
0: No Vehicles,08: KNR to Transit,2: University,368
0: No Vehicles,09: TNC to Transit,2: University,3
0: No Vehicles,01: SOV,3: School,73
0: No Vehicles,02: Shared Ride 2,3: School,2267
0: No Vehicles,03: Shared Ride 3+,3: School,263
0: No Vehicles,04: Walk,3: School,7978
0: No Vehicles,05: Bike,3: School,0
0: No Vehicles,06: Walk to Transit,3: School,699
0: No Vehicles,07: PNR to Transit,3: School,0
0: No Vehicles,08: KNR to Transit,3: School,44
0: No Vehicles,09: TNC to Transit,3: School,10586
0: No Vehicles,01: SOV,5: Individual Maintenance,4068
0: No Vehicles,02: Shared Ride 2,5: Individual Maintenance,13504
0: No Vehicles,03: Shared Ride 3+,5: Individual Maintenance,4570
0: No Vehicles,04: Walk,5: Individual Maintenance,24546
0: No Vehicles,05: Bike,5: Individual Maintenance,4409
0: No Vehicles,06: Walk to Transit,5: Individual Maintenance,5748
0: No Vehicles,07: PNR to Transit,5: Individual Maintenance,0
0: No Vehicles,08: KNR to Transit,5: Individual Maintenance,613
0: No Vehicles,09: TNC to Transit,5: Individual Maintenance,0
0: No Vehicles,01: SOV,6: Individual Discretionary,313
0: No Vehicles,02: Shared Ride 2,6: Individual Discretionary,4389
0: No Vehicles,03: Shared Ride 3+,6: Individual Discretionary,936
0: No Vehicles,04: Walk,6: Individual Discretionary,6965
0: No Vehicles,05: Bike,6: Individual Discretionary,2845
0: No Vehicles,06: Walk to Transit,6: Individual Discretionary,3774
0: No Vehicles,07: PNR to Transit,6: Individual Discretionary,0
0: No Vehicles,08: KNR to Transit,6: Individual Discretionary,1163
0: No Vehicles,09: TNC to Transit,6: Individual Discretionary,0
0: No Vehicles,01: SOV,7: Joint Maintenance,0
0: No Vehicles,02: Shared Ride 2,7: Joint Maintenance,2588
0: No Vehicles,03: Shared Ride 3+,7: Joint Maintenance,78
0: No Vehicles,04: Walk,7: Joint Maintenance,223
0: No Vehicles,05: Bike,7: Joint Maintenance,0
0: No Vehicles,06: Walk to Transit,7: Joint Maintenance,961
0: No Vehicles,07: PNR to Transit,7: Joint Maintenance,0
0: No Vehicles,08: KNR to Transit,7: Joint Maintenance,27
0: No Vehicles,09: TNC to Transit,7: Joint Maintenance,0
0: No Vehicles,01: SOV,8: Joint Discretionary,0
0: No Vehicles,02: Shared Ride 2,8: Joint Discretionary,1129
0: No Vehicles,03: Shared Ride 3+,8: Joint Discretionary,0
0: No Vehicles,04: Walk,8: Joint Discretionary,544
0: No Vehicles,05: Bike,8: Joint Discretionary,0
0: No Vehicles,06: Walk to Transit,8: Joint Discretionary,507
0: No Vehicles,07: PNR to Transit,8: Joint Discretionary,0
0: No Vehicles,08: KNR to Transit,8: Joint Discretionary,95
0: No Vehicles,09: TNC to Transit,8: Joint Discretionary,0
0: No Vehicles,01: SOV,9: Work-based,0
0: No Vehicles,02: Shared Ride 2,9: Work-based,611
0: No Vehicles,03: Shared Ride 3+,9: Work-based,0
0: No Vehicles,04: Walk,9: Work-based,1482
0: No Vehicles,05: Bike,9: Work-based,431
0: No Vehicles,06: Walk to Transit,9: Work-based,208
0: No Vehicles,07: PNR to Transit,9: Work-based,0
0: No Vehicles,08: KNR to Transit,9: Work-based,8
0: No Vehicles,09: TNC to Transit,9: Work-based,0
0: No Vehicles,01: SOV,Total,10358
0: No Vehicles,02: Shared Ride 2,Total,34836
0: No Vehicles,03: Shared Ride 3+,Total,5962
0: No Vehicles,04: Walk,Total,48098
0: No Vehicles,05: Bike,Total,11439
0: No Vehicles,06: Walk to Transit,Total,26452
0: No Vehicles,07: PNR to Transit,Total,0
0: No Vehicles,08: KNR to Transit,Total,4392
0: No Vehicles,09: TNC to Transit,Total,10588
1: 1+ Veh/Adults > Veh,01: SOV,1: Work,183788
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,1: Work,66918
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,1: Work,12000
1: 1+ Veh/Adults > Veh,04: Walk,1: Work,3446
1: 1+ Veh/Adults > Veh,05: Bike,1: Work,10150
1: 1+ Veh/Adults > Veh,06: Walk to Transit,1: Work,18732
1: 1+ Veh/Adults > Veh,07: PNR to Transit,1: Work,1763
1: 1+ Veh/Adults > Veh,08: KNR to Transit,1: Work,4870
1: 1+ Veh/Adults > Veh,09: TNC to Transit,1: Work,0
1: 1+ Veh/Adults > Veh,01: SOV,2: University,8715
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,2: University,7373
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,2: University,4412
1: 1+ Veh/Adults > Veh,04: Walk,2: University,2342
1: 1+ Veh/Adults > Veh,05: Bike,2: University,514
1: 1+ Veh/Adults > Veh,06: Walk to Transit,2: University,10506
1: 1+ Veh/Adults > Veh,07: PNR to Transit,2: University,602
1: 1+ Veh/Adults > Veh,08: KNR to Transit,2: University,1940
