period,skim_period,purpose,freq_dep,freq_arr
9.75,3: MD,4: Escort,3446.565388,6848.462033
9.75,3: MD,6: Individual Discretionary,19769.71354,12876.83901
9.75,3: MD,5: Individual Maintenance,33910.30394,11802.78946
9.75,3: MD,8: Joint Discretionary,4315.16537,224.014395
9.75,3: MD,7: Joint Maintenance,2610.993121,847.8556733
9.75,3: MD,3: School,1056.07364,890.614755
9.75,3: MD,Total,104011.5441,47316.19801
9.75,3: MD,2: University,4019.915962,3762.403562
9.75,3: MD,1: Work,27302.44272,3249.43529
10.25,3: MD,9: Work-based,10266.99569,4606.032479
10.25,3: MD,4: Escort,2305.952345,4618.886177
10.25,3: MD,6: Individual Discretionary,14741.32639,10792.01398
10.25,3: MD,5: Individual Maintenance,26984.22975,12845.26953
10.25,3: MD,8: Joint Discretionary,991.0863735,2210.733347
10.25,3: MD,7: Joint Maintenance,6830.59537,957.3610946
10.25,3: MD,3: School,551.6352333,378.83659
10.25,3: MD,Total,88692.42658,41416.45754
10.25,3: MD,2: University,5667.203441,2605.273891
10.25,3: MD,1: Work,20353.40199,2402.050457
10.75,3: MD,9: Work-based,9718.914432,8565.175385
10.75,3: MD,4: Escort,2844.289939,2861.761433
10.75,3: MD,6: Individual Discretionary,20992.4945,10083.2673
10.75,3: MD,5: Individual Maintenance,22937.74091,16186.92193
10.75,3: MD,8: Joint Discretionary,3188.907783,536.09151
10.75,3: MD,7: Joint Maintenance,3883.858308,3195.928676
10.75,3: MD,3: School,571.70576,692.58772
10.75,3: MD,Total,88652.66015,46284.2996
10.75,3: MD,2: University,5596.13554,1386.25007
10.75,3: MD,1: Work,18918.61298,2776.315575
11.25,3: MD,9: Work-based,18840.79615,6047.625114
11.25,3: MD,4: Escort,7514.500877,6885.93046
11.25,3: MD,6: Individual Discretionary,32486.88414,9536.770687
11.25,3: MD,5: Individual Maintenance,26066.32561,18416.42316
11.25,3: MD,8: Joint Discretionary,2535.499542,1149.503337
11.25,3: MD,7: Joint Maintenance,2190.873415,2700.842512
11.25,3: MD,3: School,1670.093718,2182.221612
11.25,3: MD,Total,109957.2384,56927.78185
11.25,3: MD,2: University,4393.893603,3953.42205
11.25,3: MD,1: Work,14258.3713,6055.042919
11.75,3: MD,9: Work-based,22546.94945,13521.16514
11.75,3: MD,4: Escort,6225.367873,3797.616359
11.75,3: MD,6: Individual Discretionary,15587.35785,13929.10179
11.75,3: MD,5: Individual Maintenance,17527.09667,23279.47542
11.75,3: MD,8: Joint Discretionary,967.2614686,1580.585328
11.75,3: MD,7: Joint Maintenance,1992.780812,4269.264283
11.75,3: MD,3: School,289.3820568,3239.83731
11.75,3: MD,Total,83668.66137,79035.84055
11.75,3: MD,2: University,4728.193788,3369.493426
11.75,3: MD,1: Work,13804.27141,12049.30148
12.25,3: MD,9: Work-based,30151.36925,16377.23968
12.25,3: MD,4: Escort,6432.920675,4410.841764
12.25,3: MD,6: Individual Discretionary,18380.79144,13466.94998
12.25,3: MD,5: Individual Maintenance,23650.49095,29109.79992
12.25,3: MD,8: Joint Discretionary,749.4955717,1340.161479
12.25,3: MD,7: Joint Maintenance,2748.243372,6898.761201
12.25,3: MD,3: School,1442.411827,2116.376302
12.25,3: MD,Total,106601.8279,91701.8236
12.25,3: MD,2: University,3280.813309,5259.74949
12.25,3: MD,1: Work,19765.2915,12721.94378
12.75,3: MD,9: Work-based,18336.74964,29221.82669
12.75,3: MD,4: Escort,9190.382931,5972.566089
12.75,3: MD,6: Individual Discretionary,16375.39719,19671.31178
12.75,3: MD,5: Individual Maintenance,27687.05105,26001.50709
12.75,3: MD,8: Joint Discretionary,1829.733712,5425.55054
12.75,3: MD,7: Joint Maintenance,1905.343259,5152.408249
12.75,3: MD,3: School,1395.243956,5705.861536
12.75,3: MD,Total,94256.42452,123986.6528
12.75,3: MD,2: University,1441.52943,12186.46964
12.75,3: MD,1: Work,16094.99334,14649.15116
13.25,3: MD,9: Work-based,12941.71453,26944.17261
13.25,3: MD,4: Escort,6434.809988,6109.280757
13.25,3: MD,6: Individual Discretionary,14074.76339,12870.6336
13.25,3: MD,5: Individual Maintenance,22162.53194,21423.60472
13.25,3: MD,8: Joint Discretionary,1303.142565,1952.236657
13.25,3: MD,7: Joint Maintenance,1339.121758,2901.507967
13.25,3: MD,3: School,1818.741777,10769.03862
13.25,3: MD,Total,81989.14578,109002.7958
13.25,3: MD,2: University,3248.762337,9754.235341
13.25,3: MD,1: Work,18665.55749,16278.08557
13.75,3: MD,9: Work-based,13097.68255,22565.93281
13.75,3: MD,4: Escort,12096.82263,8815.631428
13.75,3: MD,6: Individual Discretionary,11821.23879,28149.96592
13.75,3: MD,5: Individual Maintenance,22293.02531,25727.68421
13.75,3: MD,8: Joint Discretionary,1287.710218,3919.244859
13.75,3: MD,7: Joint Maintenance,1949.128573,1963.469808
13.75,3: MD,3: School,882.8301816,4868.747841
13.75,3: MD,Total,72131.09506,120859.6594
13.75,3: MD,2: University,965.8960768,11599.63455
13.75,3: MD,1: Work,7736.760735,13249.34799
14.25,3: MD,9: Work-based,11045.0362,14480.06463
14.25,3: MD,4: Escort,24183.87584,12438.06639
14.25,3: MD,6: Individual Discretionary,14860.5306,13858.14384
14.25,3: MD,5: Individual Maintenance,31979.08964,25203.42021
14.25,3: MD,8: Joint Discretionary,317.3492617,1298.745775
14.25,3: MD,7: Joint Maintenance,2795.050483,1291.75698
14.25,3: MD,3: School,2754.056059,18693.2567
14.25,3: MD,Total,100826.2321,116793.5906
14.25,3: MD,2: University,3989.294906,6977.920373
14.25,3: MD,1: Work,8901.949145,22552.2157
14.75,3: MD,9: Work-based,9038.936195,11198.22293
14.75,3: MD,4: Escort,32791.15878,29045.95497
14.75,3: MD,6: Individual Discretionary,11454.00804,15929.90728
14.75,3: MD,5: Individual Maintenance,26729.56232,37700.75249
14.75,3: MD,8: Joint Discretionary,1076.366773,1723.812266
14.75,3: MD,7: Joint Maintenance,1252.369895,1946.197045
14.75,3: MD,3: School,1615.602623,46663.6329
14.75,3: MD,Total,95423.55761,188869.1309
14.75,3: MD,2: University,1676.328531,12945.01317
14.75,3: MD,1: Work,9789.224453,31715.63789
15.25,3: MD,9: Work-based,5609.169395,11570.51624
15.25,3: MD,4: Escort,20885.26733,27620.9804
15.25,3: MD,6: Individual Discretionary,14643.35266,20538.80608
15.25,3: MD,5: Individual Maintenance,22971.37386,29372.25189
15.25,3: MD,8: Joint Discretionary,2825.70304,750.680205
15.25,3: MD,7: Joint Maintenance,1443.60304,2411.409748
15.25,3: MD,3: School,3731.41135,40608.08859
15.25,3: MD,Total,84363.29243,186661.3511
15.25,3: MD,2: University,1512.711063,5754.03527
15.25,3: MD,1: Work,10740.70069,48034.58272
15.75,4: PM,9: Work-based,3134.707587,9797.816592
15.75,4: PM,4: Escort,15360.84866,31092.14677
15.75,4: PM,6: Individual Discretionary,18514.46544,25937.68617
15.75,4: PM,5: Individual Maintenance,20476.21387,26538.85684
15.75,4: PM,8: Joint Discretionary,945.2968454,935.8222867
15.75,4: PM,7: Joint Maintenance,2885.457855,1719.25221
15.75,4: PM,3: School,1440.85757,39638.96683
15.75,4: PM,Total,75799.87986,202517.8612
15.75,4: PM,2: University,3691.264248,10914.74351
15.75,4: PM,1: Work,9350.767775,55942.56998
16.25,4: PM,9: Work-based,2334.121235,4554.819492
16.25,4: PM,4: Escort,19495.48628,20161.11581
16.25,4: PM,6: Individual Discretionary,17555.11225,18525.228
16.25,4: PM,5: Individual Maintenance,16215.53755,30088.29051
16.25,4: PM,8: Joint Discretionary,3674.007146,1642.627451
16.25,4: PM,7: Joint Maintenance,3261.651338,1616.365968
16.25,4: PM,3: School,1907.459293,18197.50776
16.25,4: PM,Total,72886.41427,162446.8059
16.25,4: PM,2: University,2592.928543,4315.884408
16.25,4: PM,1: Work,5850.110634,63344.96649
16.75,4: PM,9: Work-based,2087.537678,4591.095276
16.75,4: PM,4: Escort,18739.95793,17134.90972
16.75,4: PM,6: Individual Discretionary,21811.07941,15693.21446
16.75,4: PM,5: Individual Maintenance,12496.10905,22986.07235
16.75,4: PM,8: Joint Discretionary,5976.042158,1436.134773
16.75,4: PM,7: Joint Maintenance,3336.986029,4223.46112
16.75,4: PM,3: School,4021.709396,28761.45666
16.75,4: PM,Total,78811.33917,194544.9324
16.75,4: PM,2: University,3427.265434,1776.658698
16.75,4: PM,1: Work,6914.65209,97941.92935
17.25,4: PM,9: Work-based,1646.470732,1718.445393
17.25,4: PM,4: Escort,15617.13023,22519.4069
17.25,4: PM,6: Individual Discretionary,35306.29878,18890.794
17.25,4: PM,5: Individual Maintenance,13806.57352,28300.3783
17.25,4: PM,8: Joint Discretionary,4331.270807,1535.11359
17.25,4: PM,7: Joint Maintenance,2006.816178,2659.874609
17.25,4: PM,3: School,2999.007443,19189.80741
17.25,4: PM,Total,84001.56509,210872.706
17.25,4: PM,2: University,1949.1784,5421.676694
17.25,4: PM,1: Work,6338.81901,110637.2091
17.75,4: PM,9: Work-based,2609.508325,2033.866025
17.75,4: PM,4: Escort,15187.99068,14654.66573
17.75,4: PM,6: Individual Discretionary,34569.10258,24787.43728
17.75,4: PM,5: Individual Maintenance,18652.20081,14755.67535
17.75,4: PM,8: Joint Discretionary,9572.717796,2266.50445
17.75,4: PM,7: Joint Maintenance,2500.034187,2193.08608
17.75,4: PM,3: School,1887.685212,15342.94203
17.75,4: PM,Total,98600.60851,177678.5626
17.75,4: PM,2: University,7172.164649,5376.275903
17.75,4: PM,1: Work,6449.204268,96268.1098
18.25,4: PM,9: Work-based,1840.07492,1604.247805
18.25,4: PM,4: Escort,16173.70706,15786.84662
18.25,4: PM,6: Individual Discretionary,34689.77712,24455.06648
18.25,4: PM,5: Individual Maintenance,13135.48357,25965.53521
18.25,4: PM,8: Joint Discretionary,6933.528492,5256.043662
18.25,4: PM,7: Joint Maintenance,1298.955857,3615.84542
18.25,4: PM,3: School,1941.04822,16849.87826
18.25,4: PM,Total,87391.61889,202236.1576
18.25,4: PM,2: University,6137.766614,9811.740439
18.25,4: PM,1: Work,5241.277035,98890.95374
18.75,4: PM,9: Work-based,774.7795054,2157.152465
18.75,4: PM,4: Escort,10190.06254,9989.667946
18.75,4: PM,6: Individual Discretionary,34398.70418,20876.25963
18.75,4: PM,5: Individual Maintenance,6373.610845,15362.70327
18.75,4: PM,8: Joint Discretionary,6697.701958,5451.30049
18.75,4: PM,7: Joint Maintenance,1815.441351,2194.059084
18.75,4: PM,3: School,1814.687282,7977.090901
18.75,4: PM,Total,69972.08559,142636.1124
18.75,4: PM,2: University,1083.237418,10733.3384
18.75,4: PM,1: Work,6823.860501,67894.54024
19.25,5: EV,9: Work-based,557.8626267,416.4861667
19.25,5: EV,4: Escort,9121.015608,16975.91997
19.25,5: EV,6: Individual Discretionary,21520.46274,24518.59756
19.25,5: EV,5: Individual Maintenance,16360.82209,14516.73496
19.25,5: EV,8: Joint Discretionary,4749.772862,6486.540973
19.25,5: EV,7: Joint Maintenance,4367.914353,2126.754702
19.25,5: EV,3: School,165.85982,12507.36744
19.25,5: EV,Total,64038.38395,140759.7147
19.25,5: EV,2: University,1762.763421,4058.736874
19.25,5: EV,1: Work,5431.910425,59152.57606
19.75,5: EV,9: Work-based,82.4535,615.40582
19.75,5: EV,4: Escort,6814.332262,8009.201055
19.75,5: EV,6: Individual Discretionary,13443.24387,22992.75541
19.75,5: EV,5: Individual Maintenance,6890.65094,12149.01517
19.75,5: EV,8: Joint Discretionary,2147.001451,6397.876612
19.75,5: EV,7: Joint Maintenance,924.8622935,2472.555275
19.75,5: EV,3: School,1078.78678,7309.036137
19.75,5: EV,Total,33155.75162,106687.2227
19.75,5: EV,2: University,706.05799,4069.672146
19.75,5: EV,1: Work,1068.362533,42671.70508
20.25,5: EV,9: Work-based,447.76845,298.5123
20.25,5: EV,4: Escort,2429.283585,11772.48551
20.25,5: EV,6: Individual Discretionary,11072.0604,25633.61318
20.25,5: EV,5: Individual Maintenance,5904.543572,13395.427
20.25,5: EV,8: Joint Discretionary,806.7462866,8406.087298
20.25,5: EV,7: Joint Maintenance,753.8998733,2081.854757
20.25,5: EV,3: School,402.2394083,10758.85235
20.25,5: EV,Total,23802.39083,117055.703
20.25,5: EV,2: University,109.600075,3539.166926
20.25,5: EV,1: Work,1876.24918,41169.7037
20.75,5: EV,9: Work-based,766.4076,1031.489145
20.75,5: EV,4: Escort,1738.615793,7104.251193
20.75,5: EV,6: Individual Discretionary,5423.427791,30973.14881
20.75,5: EV,5: Individual Maintenance,1521.78022,8119.578391
20.75,5: EV,8: Joint Discretionary,435.4476017,5755.569377
20.75,5: EV,7: Joint Maintenance,73.455475,2721.508077
20.75,5: EV,3: School,424.1205667,9496.367896
20.75,5: EV,Total,11427.00752,102619.2894
20.75,5: EV,2: University,153.84335,9168.892287
20.75,5: EV,1: Work,889.9091198,28248.48426
21.25,5: EV,9: Work-based,943.9466,659.73532
21.25,5: EV,4: Escort,1779.132857,5270.89182
21.25,5: EV,6: Individual Discretionary,5145.386622,25702.18623
21.25,5: EV,5: Individual Maintenance,2387.895648,6188.8949
21.25,5: EV,8: Joint Discretionary,600.5040133,3428.999532
21.25,5: EV,7: Joint Maintenance,125.7579767,735.3369517
21.25,5: EV,3: School,0.0,2063.408923
21.25,5: EV,Total,11827.22388,76712.68045
21.25,5: EV,2: University,13.762245,10442.6961
21.25,5: EV,1: Work,830.8379203,22220.53068
21.75,5: EV,9: Work-based,525.23835,955.48789
21.75,5: EV,4: Escort,549.6016892,2779.177372
21.75,5: EV,6: Individual Discretionary,4437.547729,17789.67701
21.75,5: EV,5: Individual Maintenance,2827.926379,8391.686812
21.75,5: EV,8: Joint Discretionary,41.405275,1919.267814
21.75,5: EV,7: Joint Maintenance,670.95133,708.2208317
21.75,5: EV,3: School,0.0,2704.633397
21.75,5: EV,Total,10329.99671,58717.47062
21.75,5: EV,2: University,460.9153,4801.758456
21.75,5: EV,1: Work,816.4106596,18667.56104
22.25,5: EV,9: Work-based,149.25615,331.1788
22.25,5: EV,4: Escort,443.41602,3047.498
22.25,5: EV,6: Individual Discretionary,5464.788801,11671.15239
22.25,5: EV,5: Individual Maintenance,179.9311133,7283.066952
22.25,5: EV,8: Joint Discretionary,65.0568,1738.129552
22.25,5: EV,7: Joint Maintenance,86.9997,827.30709
22.25,5: EV,3: School,0.0,785.5288112
22.25,5: EV,Total,7061.940991,42782.33063
22.25,5: EV,2: University,346.6534,4007.875412
22.25,5: EV,1: Work,325.8390067,13090.59362
22.75,5: EV,9: Work-based,298.5123,300.8472
22.75,5: EV,4: Escort,51.79902667,2524.064465
22.75,5: EV,6: Individual Discretionary,927.15736,13527.27174
22.75,5: EV,5: Individual Maintenance,433.85604,848.0897967
22.75,5: EV,8: Joint Discretionary,0.0,616.1741167
22.75,5: EV,7: Joint Maintenance,0.0,234.1964635
22.75,5: EV,3: School,0.0,0.0
22.75,5: EV,Total,2884.638897,30794.95541
22.75,5: EV,2: University,47.60705,2779.771718
22.75,5: EV,1: Work,1125.70712,9964.53991
23.25,5: EV,9: Work-based,298.5123,447.76845
23.25,5: EV,4: Escort,1178.308558,330.6402083
23.25,5: EV,6: Individual Discretionary,874.3374511,7271.766457
23.25,5: EV,5: Individual Maintenance,346.896115,921.453295
23.25,5: EV,8: Joint Discretionary,0.0,264.244105
23.25,5: EV,7: Joint Maintenance,13.44415,421.7703
23.25,5: EV,3: School,0.0,335.70571
23.25,5: EV,Total,3224.245914,16720.19998
23.25,5: EV,2: University,159.52201,213.5536354
23.25,5: EV,1: Work,353.22533,6513.297817
23.75,5: EV,9: Work-based,0.0,0.0
23.75,5: EV,4: Escort,16.9786,1283.372451
23.75,5: EV,6: Individual Discretionary,321.30709,4515.192478
23.75,5: EV,5: Individual Maintenance,13.01136,124.813035
23.75,5: EV,8: Joint Discretionary,0.0,90.16099333
23.75,5: EV,7: Joint Maintenance,0.0,13.44415
23.75,5: EV,3: School,0.0,0.0
23.75,5: EV,Total,1451.671464,15527.09875
23.75,5: EV,2: University,0.0,1836.875921
23.75,5: EV,1: Work,1100.374414,7663.23972
24.25,5: EV,9: Work-based,0.0,0.0
24.25,5: EV,4: Escort,2983.216681,5185.000606
24.25,5: EV,6: Individual Discretionary,2335.779993,9816.392034
24.25,5: EV,5: Individual Maintenance,284.505505,1928.211952
24.25,5: EV,8: Joint Discretionary,273.9411667,382.5678867
24.25,5: EV,7: Joint Maintenance,16.3259,29.39392
24.25,5: EV,3: School,33.09688,31.41696
24.25,5: EV,Total,10665.62369,32689.22827
24.25,5: EV,2: University,331.0038667,2692.363862
24.25,5: EV,1: Work,4407.7537,12623.88105
