trip_mode,tour_mode,purpose,value
01: SOV,01: SOV,1: Work,2483874
02: Shared Ride 2,01: SOV,1: Work,0
03: Shared Ride 3+,01: SOV,1: Work,0
04: Walk,01: SOV,1: Work,0
05: Bike,01: SOV,1: Work,0
06: Walk to Transit,01: SOV,1: Work,0
07: PNR to Transit,01: SOV,1: Work,0
08: KNR to Transit,01: SOV,1: Work,0
09: TNC to Transit,01: SOV,1: Work,0
01: SOV,02: Shared Ride 2,1: Work,278922
02: Shared Ride 2,02: Shared Ride 2,1: Work,301180
03: Shared Ride 3+,02: Shared Ride 2,1: Work,922
04: Walk,02: Shared Ride 2,1: Work,20785
05: Bike,02: Shared Ride 2,1: Work,0
06: Walk to Transit,02: Shared Ride 2,1: Work,0
07: PNR to Transit,02: Shared Ride 2,1: Work,0
08: KNR to Transit,02: Shared Ride 2,1: Work,0
09: TNC to Transit,02: Shared Ride 2,1: Work,0
01: SOV,03: Shared Ride 3+,1: Work,112755
02: Shared Ride 2,03: Shared Ride 3+,1: Work,38576
03: Shared Ride 3+,03: Shared Ride 3+,1: Work,100966
04: Walk,03: Shared Ride 3+,1: Work,7089
05: Bike,03: Shared Ride 3+,1: Work,0
06: Walk to Transit,03: Shared Ride 3+,1: Work,0
07: PNR to Transit,03: Shared Ride 3+,1: Work,0
08: KNR to Transit,03: Shared Ride 3+,1: Work,0
09: TNC to Transit,03: Shared Ride 3+,1: Work,0
01: SOV,04: Walk,1: Work,0
02: Shared Ride 2,04: Walk,1: Work,0
03: Shared Ride 3+,04: Walk,1: Work,0
04: Walk,04: Walk,1: Work,25593
05: Bike,04: Walk,1: Work,0
06: Walk to Transit,04: Walk,1: Work,0
07: PNR to Transit,04: Walk,1: Work,0
08: KNR to Transit,04: Walk,1: Work,0
09: TNC to Transit,04: Walk,1: Work,0
01: SOV,05: Bike,1: Work,8070
02: Shared Ride 2,05: Bike,1: Work,5732
03: Shared Ride 3+,05: Bike,1: Work,1031
04: Walk,05: Bike,1: Work,902
05: Bike,05: Bike,1: Work,27305
06: Walk to Transit,05: Bike,1: Work,0
07: PNR to Transit,05: Bike,1: Work,0
08: KNR to Transit,05: Bike,1: Work,0
09: TNC to Transit,05: Bike,1: Work,0
01: SOV,06: Walk to Transit,1: Work,0
02: Shared Ride 2,06: Walk to Transit,1: Work,1656
03: Shared Ride 3+,06: Walk to Transit,1: Work,565
04: Walk,06: Walk to Transit,1: Work,2804
05: Bike,06: Walk to Transit,1: Work,84
06: Walk to Transit,06: Walk to Transit,1: Work,68600
07: PNR to Transit,06: Walk to Transit,1: Work,0
08: KNR to Transit,06: Walk to Transit,1: Work,0
09: TNC to Transit,06: Walk to Transit,1: Work,0
01: SOV,07: PNR to Transit,1: Work,4262
02: Shared Ride 2,07: PNR to Transit,1: Work,3945
03: Shared Ride 3+,07: PNR to Transit,1: Work,1001
04: Walk,07: PNR to Transit,1: Work,935
05: Bike,07: PNR to Transit,1: Work,0
06: Walk to Transit,07: PNR to Transit,1: Work,1752
07: PNR to Transit,07: PNR to Transit,1: Work,6943
08: KNR to Transit,07: PNR to Transit,1: Work,34
09: TNC to Transit,07: PNR to Transit,1: Work,0
01: SOV,08: KNR to Transit,1: Work,0
02: Shared Ride 2,08: KNR to Transit,1: Work,14432
03: Shared Ride 3+,08: KNR to Transit,1: Work,2204
04: Walk,08: KNR to Transit,1: Work,3083
05: Bike,08: KNR to Transit,1: Work,0
06: Walk to Transit,08: KNR to Transit,1: Work,3033
07: PNR to Transit,08: KNR to Transit,1: Work,0
08: KNR to Transit,08: KNR to Transit,1: Work,9612
09: TNC to Transit,08: KNR to Transit,1: Work,0
01: SOV,13: School Bus,1: Work,0
02: Shared Ride 2,13: School Bus,1: Work,0
03: Shared Ride 3+,13: School Bus,1: Work,0
04: Walk,13: School Bus,1: Work,0
05: Bike,13: School Bus,1: Work,0
06: Walk to Transit,13: School Bus,1: Work,0
07: PNR to Transit,13: School Bus,1: Work,0
08: KNR to Transit,13: School Bus,1: Work,0
09: TNC to Transit,13: School Bus,1: Work,0
01: SOV,Total,1: Work,2887883
02: Shared Ride 2,Total,1: Work,365521
03: Shared Ride 3+,Total,1: Work,106689
04: Walk,Total,1: Work,61192
05: Bike,Total,1: Work,27390
06: Walk to Transit,Total,1: Work,73385
07: PNR to Transit,Total,1: Work,6943
08: KNR to Transit,Total,1: Work,9646
09: TNC to Transit,Total,1: Work,0
01: SOV,01: SOV,2: University,147841
02: Shared Ride 2,01: SOV,2: University,0
03: Shared Ride 3+,01: SOV,2: University,0
04: Walk,01: SOV,2: University,0
05: Bike,01: SOV,2: University,0
06: Walk to Transit,01: SOV,2: University,0
07: PNR to Transit,01: SOV,2: University,0
08: KNR to Transit,01: SOV,2: University,0
09: TNC to Transit,01: SOV,2: University,0
01: SOV,02: Shared Ride 2,2: University,17176
02: Shared Ride 2,02: Shared Ride 2,2: University,36342
03: Shared Ride 3+,02: Shared Ride 2,2: University,0
04: Walk,02: Shared Ride 2,2: University,4900
05: Bike,02: Shared Ride 2,2: University,0
06: Walk to Transit,02: Shared Ride 2,2: University,0
07: PNR to Transit,02: Shared Ride 2,2: University,0
08: KNR to Transit,02: Shared Ride 2,2: University,0
09: TNC to Transit,02: Shared Ride 2,2: University,0
01: SOV,03: Shared Ride 3+,2: University,4477
02: Shared Ride 2,03: Shared Ride 3+,2: University,4191
03: Shared Ride 3+,03: Shared Ride 3+,2: University,20180
04: Walk,03: Shared Ride 3+,2: University,1256
05: Bike,03: Shared Ride 3+,2: University,0
06: Walk to Transit,03: Shared Ride 3+,2: University,0
07: PNR to Transit,03: Shared Ride 3+,2: University,0
08: KNR to Transit,03: Shared Ride 3+,2: University,0
09: TNC to Transit,03: Shared Ride 3+,2: University,0
01: SOV,04: Walk,2: University,0
02: Shared Ride 2,04: Walk,2: University,0
03: Shared Ride 3+,04: Walk,2: University,0
04: Walk,04: Walk,2: University,5740
05: Bike,04: Walk,2: University,0
06: Walk to Transit,04: Walk,2: University,0
07: PNR to Transit,04: Walk,2: University,0
08: KNR to Transit,04: Walk,2: University,0
09: TNC to Transit,04: Walk,2: University,0
01: SOV,05: Bike,2: University,343
02: Shared Ride 2,05: Bike,2: University,100
03: Shared Ride 3+,05: Bike,2: University,95
04: Walk,05: Bike,2: University,121
05: Bike,05: Bike,2: University,577
06: Walk to Transit,05: Bike,2: University,0
07: PNR to Transit,05: Bike,2: University,0
08: KNR to Transit,05: Bike,2: University,0
09: TNC to Transit,05: Bike,2: University,0
01: SOV,06: Walk to Transit,2: University,0
02: Shared Ride 2,06: Walk to Transit,2: University,1357
03: Shared Ride 3+,06: Walk to Transit,2: University,209
04: Walk,06: Walk to Transit,2: University,4699
05: Bike,06: Walk to Transit,2: University,18
06: Walk to Transit,06: Walk to Transit,2: University,29772
07: PNR to Transit,06: Walk to Transit,2: University,0
08: KNR to Transit,06: Walk to Transit,2: University,0
09: TNC to Transit,06: Walk to Transit,2: University,836
01: SOV,07: PNR to Transit,2: University,326
02: Shared Ride 2,07: PNR to Transit,2: University,1469
03: Shared Ride 3+,07: PNR to Transit,2: University,412
04: Walk,07: PNR to Transit,2: University,528
05: Bike,07: PNR to Transit,2: University,0
06: Walk to Transit,07: PNR to Transit,2: University,931
07: PNR to Transit,07: PNR to Transit,2: University,1783
08: KNR to Transit,07: PNR to Transit,2: University,0
09: TNC to Transit,07: PNR to Transit,2: University,0
01: SOV,08: KNR to Transit,2: University,0
02: Shared Ride 2,08: KNR to Transit,2: University,0
03: Shared Ride 3+,08: KNR to Transit,2: University,0
04: Walk,08: KNR to Transit,2: University,8142
05: Bike,08: KNR to Transit,2: University,0
06: Walk to Transit,08: KNR to Transit,2: University,4575
07: PNR to Transit,08: KNR to Transit,2: University,0
08: KNR to Transit,08: KNR to Transit,2: University,3259
09: TNC to Transit,08: KNR to Transit,2: University,0
01: SOV,13: School Bus,2: University,0
02: Shared Ride 2,13: School Bus,2: University,0
03: Shared Ride 3+,13: School Bus,2: University,0
04: Walk,13: School Bus,2: University,0
05: Bike,13: School Bus,2: University,0
06: Walk to Transit,13: School Bus,2: University,0
07: PNR to Transit,13: School Bus,2: University,0
08: KNR to Transit,13: School Bus,2: University,0
09: TNC to Transit,13: School Bus,2: University,0
01: SOV,Total,2: University,170163
02: Shared Ride 2,Total,2: University,43459
03: Shared Ride 3+,Total,2: University,20896
04: Walk,Total,2: University,25385
05: Bike,Total,2: University,595
06: Walk to Transit,Total,2: University,35279
07: PNR to Transit,Total,2: University,1783
08: KNR to Transit,Total,2: University,3259
09: TNC to Transit,Total,2: University,836
01: SOV,01: SOV,3: School,46479
02: Shared Ride 2,01: SOV,3: School,0
03: Shared Ride 3+,01: SOV,3: School,0
04: Walk,01: SOV,3: School,0
05: Bike,01: SOV,3: School,0
06: Walk to Transit,01: SOV,3: School,0
07: PNR to Transit,01: SOV,3: School,0
08: KNR to Transit,01: SOV,3: School,0
09: TNC to Transit,01: SOV,3: School,0
01: SOV,02: Shared Ride 2,3: School,19417
02: Shared Ride 2,02: Shared Ride 2,3: School,534295
03: Shared Ride 3+,02: Shared Ride 2,3: School,0
04: Walk,02: Shared Ride 2,3: School,28879
05: Bike,02: Shared Ride 2,3: School,0
06: Walk to Transit,02: Shared Ride 2,3: School,0
07: PNR to Transit,02: Shared Ride 2,3: School,0
08: KNR to Transit,02: Shared Ride 2,3: School,0
09: TNC to Transit,02: Shared Ride 2,3: School,0
01: SOV,03: Shared Ride 3+,3: School,3123
02: Shared Ride 2,03: Shared Ride 3+,3: School,125373
03: Shared Ride 3+,03: Shared Ride 3+,3: School,640877
04: Walk,03: Shared Ride 3+,3: School,35332
05: Bike,03: Shared Ride 3+,3: School,0
06: Walk to Transit,03: Shared Ride 3+,3: School,0
07: PNR to Transit,03: Shared Ride 3+,3: School,0
08: KNR to Transit,03: Shared Ride 3+,3: School,0
09: TNC to Transit,03: Shared Ride 3+,3: School,0
01: SOV,04: Walk,3: School,0
02: Shared Ride 2,04: Walk,3: School,0
03: Shared Ride 3+,04: Walk,3: School,0
04: Walk,04: Walk,3: School,64424
05: Bike,04: Walk,3: School,0
06: Walk to Transit,04: Walk,3: School,0
07: PNR to Transit,04: Walk,3: School,0
08: KNR to Transit,04: Walk,3: School,0
09: TNC to Transit,04: Walk,3: School,0
01: SOV,05: Bike,3: School,0
02: Shared Ride 2,05: Bike,3: School,63
03: Shared Ride 3+,05: Bike,3: School,280
04: Walk,05: Bike,3: School,197
05: Bike,05: Bike,3: School,15102
