Description,value,coefficient_name
,-0.06453852113757118,coef_asc_dur_0_4_stops_0out_0in
,-999.0,coef_asc_dur_0_4_stops_0out_1in
,-999.0,coef_asc_dur_0_4_stops_0out_2in
,-999.0,coef_asc_dur_0_4_stops_0out_3in
,-2.772588722239781,coef_asc_dur_0_4_stops_1out_0in
,-999.0,coef_asc_dur_0_4_stops_1out_1in
,-999.0,coef_asc_dur_0_4_stops_1out_2in
,-999.0,coef_asc_dur_0_4_stops_1out_3in
,-0.6931471805599453,coef_asc_dur_4_8_stops_0out_0in
,-1.5404450422804823,coef_asc_dur_4_8_stops_0out_1in
,-2.639057335615259,coef_asc_dur_4_8_stops_0out_2in
,-2.639057335615259,coef_asc_dur_4_8_stops_0out_3in
,-1.9459101480553134,coef_asc_dur_4_8_stops_1out_0in
,-999.0,coef_asc_dur_4_8_stops_1out_1in
,-999.0,coef_asc_dur_4_8_stops_1out_2in
,-999.0,coef_asc_dur_4_8_stops_1out_3in
,-1.1826954055628616,coef_asc_dur_8_24_stops_0out_0in
,-0.9082585612968908,coef_asc_dur_8_24_stops_0out_1in
,-2.33537491115037,coef_asc_dur_8_24_stops_0out_2in
,-3.028522091710315,coef_asc_dur_8_24_stops_0out_3in
,-3.4339871894851464,coef_asc_dur_8_24_stops_1out_0in
,-2.33537491115037,coef_asc_dur_8_24_stops_1out_1in
,-999.0,coef_asc_dur_8_24_stops_1out_2in
,-4.127134401045091,coef_asc_dur_8_24_stops_1out_3in
