periods_left_min,periods_left_max,stop_num,outbound,duration_offset,prob
22,22,1,False,7,0.0
23,23,1,False,7,0.0
24,24,1,False,7,0.034482759
25,25,1,False,7,0.0
26,26,1,False,7,0.0
27,47,1,False,7,0.0
0,0,1,False,8,0.0
1,1,1,False,8,0.0
2,2,1,False,8,0.0
3,3,1,False,8,0.0
4,4,1,False,8,0.0
5,5,1,False,8,0.0
6,6,1,False,8,0.0
7,7,1,False,8,0.0
8,8,1,False,8,0.0
9,9,1,False,8,0.0
10,10,1,False,8,0.0
11,11,1,False,8,0.0
12,12,1,False,8,0.0
13,13,1,False,8,0.0
14,14,1,False,8,0.0
15,15,1,False,8,0.0
16,16,1,False,8,0.0
17,17,1,False,8,0.023809524
18,18,1,False,8,0.0
19,19,1,False,8,0.0
20,20,1,False,8,0.0
21,21,1,False,8,0.0
22,22,1,False,8,0.0
23,23,1,False,8,0.0
24,24,1,False,8,0.0
25,25,1,False,8,0.041666667
26,26,1,False,8,0.0
27,47,1,False,8,0.0
0,0,1,False,9,0.0
1,1,1,False,9,0.0
2,2,1,False,9,0.0
3,3,1,False,9,0.0
4,4,1,False,9,0.0
5,5,1,False,9,0.0
6,6,1,False,9,0.0
7,7,1,False,9,0.0
8,8,1,False,9,0.0
9,9,1,False,9,0.0
10,10,1,False,9,0.0
11,11,1,False,9,0.0
12,12,1,False,9,0.0
13,13,1,False,9,0.0
14,14,1,False,9,0.0
15,15,1,False,9,0.0
16,16,1,False,9,0.0
17,17,1,False,9,0.0
18,18,1,False,9,0.018181818
19,19,1,False,9,0.0
20,20,1,False,9,0.0
21,21,1,False,9,0.0
22,22,1,False,9,0.0
23,23,1,False,9,0.0
24,24,1,False,9,0.0
25,25,1,False,9,0.0
26,26,1,False,9,0.0
27,47,1,False,9,0.0
0,0,1,False,10,0.0
1,1,1,False,10,0.0
2,2,1,False,10,0.0
3,3,1,False,10,0.0
4,4,1,False,10,0.0
5,5,1,False,10,0.0
6,6,1,False,10,0.0
7,7,1,False,10,0.0
8,8,1,False,10,0.0
9,9,1,False,10,0.0
10,10,1,False,10,0.0
11,11,1,False,10,0.0
12,12,1,False,10,0.0
13,13,1,False,10,0.0
14,14,1,False,10,0.0
15,15,1,False,10,0.0
16,16,1,False,10,0.0
17,17,1,False,10,0.0
18,18,1,False,10,0.0
19,19,1,False,10,0.0
20,20,1,False,10,0.0
21,21,1,False,10,0.0
22,22,1,False,10,0.0
23,23,1,False,10,0.026315789
24,24,1,False,10,0.0
25,25,1,False,10,0.0
26,26,1,False,10,0.0
27,47,1,False,10,0.0
0,0,1,False,11,0.0
1,1,1,False,11,0.0
2,2,1,False,11,0.0
3,3,1,False,11,0.0
4,4,1,False,11,0.0
5,5,1,False,11,0.0
6,6,1,False,11,0.0
7,7,1,False,11,0.0
8,8,1,False,11,0.0
9,9,1,False,11,0.0
10,10,1,False,11,0.0
11,11,1,False,11,0.0
12,12,1,False,11,0.0
13,13,1,False,11,0.0
14,14,1,False,11,0.0
15,15,1,False,11,0.0
16,16,1,False,11,0.0
17,17,1,False,11,0.0
18,18,1,False,11,0.0
19,19,1,False,11,0.0
20,20,1,False,11,0.0
21,21,1,False,11,0.0
22,22,1,False,11,0.0
23,23,1,False,11,0.0
24,24,1,False,11,0.0
25,25,1,False,11,0.0
26,26,1,False,11,0.0
27,47,1,False,11,0.0
0,0,1,True,0,1.0
0,0,2,True,0,1.0
0,0,3,True,0,0.0
1,8,1,True,0,0.0
1,8,2,True,0,0.0
1,8,3,True,0,0.0
9,14,1,True,0,0.0
9,14,2,True,0,0.0
9,14,3,True,0,0.0
15,18,1,True,0,0.0
15,18,2,True,0,0.0
15,18,3,True,0,0.0
19,22,1,True,0,0.0
19,22,2,True,0,0.0
19,22,3,True,0,0.0
23,26,1,True,0,0.0
23,26,2,True,0,0.0
23,26,3,True,0,0.0
27,47,1,True,0,0.0
27,47,2,True,0,0.0
27,47,3,True,0,0.0
0,0,1,True,-1,0.0
0,0,2,True,-1,0.0
0,0,3,True,-1,0.0
1,8,1,True,-1,1.0
1,8,2,True,-1,1.0
1,8,3,True,-1,0.0
9,14,1,True,-1,0.0
9,14,2,True,-1,0.08
9,14,3,True,-1,0.0
15,18,1,True,-1,0.0
15,18,2,True,-1,0.07
15,18,3,True,-1,1.0
19,22,1,True,-1,0.0
19,22,2,True,-1,0.0
19,22,3,True,-1,0.0
23,26,1,True,-1,0.0
23,26,2,True,-1,0.0
23,26,3,True,-1,0.0
27,47,1,True,-1,0.0
27,47,2,True,-1,0.0
27,47,3,True,-1,0.0
0,0,1,True,-2,0.0
0,0,2,True,-2,0.0
0,0,3,True,-2,0.0
1,8,1,True,-2,0.0
1,8,2,True,-2,0.0
1,8,3,True,-2,0.0
9,14,1,True,-2,0.0
9,14,2,True,-2,0.08
9,14,3,True,-2,0.0
15,18,1,True,-2,0.0
15,18,2,True,-2,0.07
15,18,3,True,-2,0.0
19,22,1,True,-2,0.07
19,22,2,True,-2,0.0
19,22,3,True,-2,0.5
23,26,1,True,-2,0.0
23,26,2,True,-2,0.0
23,26,3,True,-2,0.0
27,47,1,True,-2,0.0
27,47,2,True,-2,0.0
27,47,3,True,-2,0.0
0,0,1,True,-3,0.0
0,0,2,True,-3,0.0
0,0,3,True,-3,0.0
1,8,1,True,-3,0.0
1,8,2,True,-3,0.0
1,8,3,True,-3,0.0
9,14,1,True,-3,0.0
9,14,2,True,-3,0.08
9,14,3,True,-3,0.0
15,18,1,True,-3,0.0
15,18,2,True,-3,0.0
15,18,3,True,-3,0.0
19,22,1,True,-3,0.0
19,22,2,True,-3,0.09
