"name","value"
"total_population",2922537.3985
"total_households",1113623.9327
"total_tours",3969343.1307492
"total_trips",11665893.5435132
"total_stops",3683532.57159872
"total_vmt",48179138.26063
"total_population_for_rates",3157650.92813784
