"TOURPURP","IS_INBOUND","TOD","MAX_AGE_PERTYPE","shop","main","eati","visi","disc"
5,0,1,1,697.22079,47.05056,373.06015,90.865575,78.80176
6,0,1,1,13.01136,2509.13588859362,108.51381,0,21.51064
7,0,1,1,38.44992,70.85377,530.940415,493.015235,46.0023733333333
8,0,1,1,25.6665,0,0,160.316605,0
9,0,1,1,204.11568,0,502.234736666667,13.01724,625.507461666667
5,1,1,1,1928.70497301815,78.37416,264.679376784975,0,178.546863451642
6,1,1,1,679.302765,1065.42965666667,809.245953333333,26.952195,52.24288
7,1,1,1,936.785651666667,29.43804,110.91044,88.95026,0
8,1,1,1,278.767975,154.998066666667,202.303891666667,32.87028,0
9,1,1,1,1340.20299421768,134.4777,1012.25283255101,13.01724,216.87881267164
5,0,1,2,493.100861666667,82.361025,661.31563,0,0
6,0,1,2,14.820825,132.055555,65.576215,0,0
7,0,1,2,144.350391666667,0,58.4862301469432,0,0
8,0,1,2,32.55095,0,13.02516,128.078266666667,0
9,0,1,2,106.45159830755,119.5541,54.2434583333333,235.0561,185.517368690013
5,1,1,2,429.8244,13.02286,310.97171,0,13.02286
6,1,1,2,637.037173333333,386.89643,343.99757,0,3.92064
7,1,1,2,62.92027,32.53965,49.510635,18.00537,0
8,1,1,2,0,13.02516,0,0,0
9,1,1,2,211.226177049129,83.3928570491291,261.83053,34.256925,659.892208147548
5,0,1,3,51.401495,0,89.67422,0,65.0568
6,0,1,3,126.196454336796,69.4714846683981,0,154.9262,27.1845646683981
7,0,1,3,8.76825,0,372.810635,0,0
8,0,1,3,3.94122,0,0,0,0
9,0,1,3,29.95848,159.486473333333,291.530898333333,0,297.186333333333
5,1,1,3,498.33005,45.591735,261.472695,0,94.56195
6,1,1,3,62.60342,339.091809909288,111.18542,16.2642,0
7,1,1,3,638.1357,0,516.4748,0,519.8948
8,1,1,3,0,0,0,0,0
9,1,1,3,438.129495,276.3608,307.884926666667,0,205.727325
5,0,1,4,640.69996,844.889553333333,246.132752858779,874.4127,0
6,0,1,4,1589.51715156841,539.10025,0,0,0
7,0,1,4,262.31812,481.010685,282.27943,270.95468,0
8,0,1,4,0,10.75532,21.7678666666667,32.959075,0
9,0,1,4,1223.275285,1968.65182961189,820.276501666667,269.362415,652.689446663835
5,1,1,4,3058.34318439793,172.132132858779,953.318263969246,76.222725,0
6,1,1,4,1043.92354965732,326.40696,1612.70992666667,0,97.3238
7,1,1,4,1711.90252,481.09161,104.907193333333,0,34.70306
8,1,1,4,107.9612,0,117.921325,33.13162,0
9,1,1,4,1434.90945831078,207.383145,737.71536,545.89494,1525.87022
5,0,1,5,460.965138970889,171.904720768853,410.049825,13.01136,66.0502
6,0,1,5,135.938076036464,1773.9634,1359.616,0,0
7,0,1,5,408.4201,383.245266666667,97.5852,13.01136,0
8,0,1,5,0,0,0,13.01136,0
9,0,1,5,1173.11754094675,91.0417339725758,138.242799243479,4.89995,340.069055
5,1,1,5,1134.19968443928,140.01116,230.10709,0,65.5173
6,1,1,5,4237.95244687062,2063.07549097592,1401.09697667243,13.10346,0
7,1,1,5,806.08306699339,19.5998,87.1210477491738,13.01136,70.6100727491738
8,1,1,5,0,0,21.8391,34.85046,0
9,1,1,5,5263.13762962361,3326.03291038013,117.7367,0,220.518007959661
