"PERTYPE","freq_inm","freq_m","freq_nm","freq_atwork","freq_escort","freq"
1,0,0,0,0,0,31250.8137866667
1,0,0,0,0,1,13284.6708883333
1,0,0,0,0,2,7009.847875
1,0,0,0,0,3,534.54072
1,0,0,0,0,4,46.04483
1,0,0,0,1,1,16.27155
1,0,0,0,1,2,175.243633333333
1,0,0,0,2,0,109.9866
1,0,0,0,2,1,887.555856666667
1,0,0,0,5,1,13.01136
1,0,0,1,0,0,10117.1837583333
1,0,0,1,0,1,264.19051
1,0,0,1,0,2,146.076525
1,0,0,1,0,3,269.12867
1,0,0,2,0,0,860.697723333333
1,0,0,2,0,1,137.087315
1,0,0,2,0,2,21.7086
1,0,0,3,0,0,21.7800333333333
1,0,1,0,0,0,494189.693963333
1,0,1,0,0,1,20611.6452883333
1,0,1,0,0,2,3016.50917333333
1,0,1,0,0,3,730.75428
1,0,1,0,0,4,10.322425
1,0,1,0,1,0,81881.5829816667
1,0,1,0,1,1,3069.647855
1,0,1,0,1,2,29.98426
1,0,1,0,1,3,175.243633333333
1,0,1,0,2,0,13585.692515
1,0,1,0,2,1,1670.94940833333
1,0,1,0,2,2,8.6518
1,0,1,0,3,0,3134.50946333333
1,0,1,0,3,1,26.43558
1,0,1,0,4,0,236.419106666667
1,0,1,0,4,2,74.966325
1,0,1,0,5,0,341.16989
1,0,1,0,6,0,78.143485
1,0,1,0,7,0,27.95832
1,0,1,0,8,0,57.285455
1,0,1,1,0,0,30619.7389866667
1,0,1,1,0,1,1640.13391666667
1,0,1,1,0,2,2520.606985
1,0,1,1,0,3,322.69435
1,0,1,1,1,0,9347.26859
1,0,1,1,1,1,34.77662
1,0,1,1,2,0,1300.690315
1,0,1,1,3,0,137.51768
1,0,1,1,5,0,29.29256
1,0,1,2,0,0,460.339525
1,0,1,2,1,0,308.89136
1,0,1,2,4,0,11.19115
1,0,2,0,0,0,31994.8744366667
1,0,2,0,0,1,2084.78068833333
1,0,2,0,0,2,52.7891433333333
1,0,2,0,0,3,19.624975
1,0,2,0,1,0,2618.8104
1,0,2,0,1,1,6.92144
1,0,2,0,2,0,1434.68595333333
1,0,2,0,3,0,397.26239
1,0,2,0,18,0,149.25615
1,0,2,1,0,0,1867.38357666667
1,0,2,1,1,0,199.81857
1,0,2,1,3,0,390.34095
1,0,2,2,0,0,66.74332
1,0,2,2,1,0,66.74332
1,0,3,0,0,0,1901.34409833333
1,0,3,0,0,1,338.610675
1,0,3,0,1,0,158.268395
1,0,4,0,0,0,972.314973333334
1,0,4,0,2,0,428.722566666667
1,0,4,1,0,0,297.3314
1,1,0,1,0,0,77711.4193416667
1,1,0,1,0,1,7748.96489166667
1,1,0,1,0,2,1999.83083333333
1,1,0,1,0,3,1980.164025
1,1,0,1,0,4,4.9156
1,1,0,1,1,0,1145.92511833333
1,1,0,1,2,0,94.418125
1,1,0,1,2,1,6.98054
1,1,0,1,5,0,16.368325
1,1,0,2,0,0,6035.512935
1,1,0,2,0,1,946.030025
1,1,0,2,0,2,188.563785
1,1,0,2,0,3,3.9314
1,1,0,2,1,0,23.77154
1,1,0,2,2,0,639.68985
1,1,0,3,0,0,482.285155
1,1,0,4,0,0,21.22585
1,1,1,1,0,0,81249.11397
1,1,1,1,0,1,5404.22809
1,1,1,1,0,2,112.25874
1,1,1,1,0,3,632.79701
1,1,1,1,0,4,17.02152
1,1,1,1,1,0,22507.6835683333
1,1,1,1,1,1,2086.633535
1,1,1,1,1,2,338.781825
1,1,1,1,2,0,3637.24901833333
1,1,1,1,2,1,133.34891
1,1,1,1,3,0,535.132255
1,1,1,1,3,1,416.98788
1,1,1,1,4,0,160.3506
1,1,1,1,5,0,26.15828
1,1,1,2,0,0,2608.64261833333
1,1,1,2,0,1,260.914266666667
1,1,1,2,0,3,172.64794
1,1,1,2,1,0,291.971535
1,1,1,2,1,2,26.71604
1,1,1,2,2,0,43.1394333333333
1,1,1,3,0,0,465.26665
1,1,2,1,0,0,6056.044315
1,1,2,1,0,1,398.596371666667
1,1,2,1,0,2,225.84828
1,1,2,1,1,0,516.682525
1,1,2,1,2,0,130.234525
1,1,2,1,2,2,6.74566666666667
1,1,2,2,0,0,391.24466
1,1,2,2,0,2,17.9255333333333
1,1,3,1,0,0,125.040541666667
1,1,3,1,0,1,190.6423
1,1,4,1,1,0,428.722566666667
1,2,0,2,0,0,24886.2383083333
1,2,0,2,0,1,3572.72000333333
1,2,0,2,0,2,588.758598333333
1,2,0,2,0,3,16.26845
1,2,0,2,0,4,133.17302
1,2,0,2,1,0,11.5308666666667
1,2,0,2,3,0,5.0983
1,2,0,3,0,0,1998.07294166667
1,2,0,3,0,1,283.085598333333
1,2,0,4,0,0,29.58104
1,2,1,2,0,0,9076.72102
1,2,1,2,0,1,786.738023333333
1,2,1,2,0,2,1660.868425
1,2,1,2,0,3,20.164825
1,2,1,2,1,0,1349.03950333333
1,2,1,2,1,1,6.5805
1,2,1,2,2,0,216.242301666667
1,2,1,2,3,0,30.25812
1,2,1,2,4,0,13.12992
1,2,1,2,5,0,13.12248
1,2,1,3,0,0,564.503705
1,2,1,3,0,1,1348.144555
1,2,1,4,0,0,55.2161
1,2,2,2,0,0,1065.41824833333
1,2,2,2,1,0,7.28102
1,2,3,2,0,0,21.7431
1,3,0,3,0,0,4688.72097666667
1,3,0,3,0,1,852.513551666667
1,3,0,3,0,2,155.30795
1,3,0,3,0,3,13.01136
1,3,0,3,1,0,207.66582
1,3,0,4,0,0,175.287726666667
1,3,1,3,0,0,865.55933
1,3,1,3,0,1,208.14144
1,3,1,3,1,0,85.44692
1,3,1,3,2,0,22.33642
1,3,1,4,0,0,122.622275
1,3,2,3,0,0,34.9027
1,4,0,4,0,0,980.405383333333
1,4,0,5,0,0,21.7678666666667
1,4,1,4,0,0,188.671265
1,5,0,5,0,0,182.865593333333
2,0,0,0,0,0,7722.95365166667
2,0,0,0,0,1,5475.38315166667
2,0,0,0,0,2,917.65677
2,0,0,0,0,3,479.354166666667
2,0,0,0,0,5,33.318975
2,0,0,0,3,1,16.2642
2,0,0,1,0,0,3308.52237333333
2,0,0,1,0,1,96.17773
2,0,0,1,0,2,51.16647
2,0,0,2,0,0,677.868701666667
2,0,0,2,0,1,3.91996
2,0,0,3,0,0,278.521733333333
2,0,1,0,0,0,59610.6483266667
2,0,1,0,0,1,4057.47546666667
2,0,1,0,0,2,162.707375
2,0,1,0,0,3,21.80995
2,0,1,0,0,4,583.6336
2,0,1,0,1,0,4387.729685
2,0,1,0,1,1,1578.31956666667
2,0,1,0,1,2,13.2166
2,0,1,0,1,3,13.0147
2,0,1,0,2,0,495.617756666667
2,0,1,0,2,1,13.02516
2,0,1,0,2,2,374.991333333333
2,0,1,0,3,0,34.738
2,0,1,1,0,0,4869.97872666667
2,0,1,1,0,1,564.82731
2,0,1,1,0,2,74.253555
2,0,1,1,0,3,26.71604
2,0,1,1,1,0,592.43828
2,0,1,1,1,2,13.01136
2,0,1,1,2,0,13.05294
2,0,1,1,3,2,13.01136
2,0,1,2,0,0,8.84872
2,0,1,2,0,1,16.271825
2,0,1,2,4,0,253.8552
2,0,2,0,0,0,4046.88200166667
2,0,2,0,0,1,1243.15931333333
2,0,2,0,0,2,13.01136
2,0,2,0,1,0,1101.913565
2,0,2,0,2,0,16.3851
2,0,2,0,3,0,10.85332
2,0,2,1,0,0,547.541066666667
2,0,3,0,0,0,803.98948
2,0,3,0,0,1,534.9216
2,0,3,0,1,0,74.54205
2,1,0,1,0,0,23944.50413
2,1,0,1,0,1,3715.60823833333
2,1,0,1,0,2,1806.42090833333
2,1,0,1,0,3,886.15873
2,1,0,1,0,6,33.318975
2,1,0,1,1,0,24.58608
2,1,0,1,2,0,38.020625
2,1,0,2,0,0,3139.548845
2,1,0,2,0,1,862.454216666667
2,1,0,3,0,0,42.1559933333333
2,1,1,1,0,0,11059.42368
2,1,1,1,0,1,2887.81284833333
2,1,1,1,0,2,429.855846666667
2,1,1,1,0,3,77.4193466666667
2,1,1,1,1,0,939.143073333333
2,1,1,1,2,0,257.78214
2,1,1,1,3,0,121.169025
2,1,1,2,0,0,388.586346666667
2,1,1,2,0,1,115.930526666667
2,1,1,2,1,0,25.6095066666667
2,1,2,1,0,0,1481.03425833333
2,1,2,1,0,1,42.42199
2,1,2,1,0,2,258.1278
2,1,2,1,1,0,16.27155
2,1,2,2,0,0,74.21125
2,1,2,2,0,1,13.0147
2,1,2,2,0,2,13.01136
2,1,3,1,0,0,16.3327
2,2,0,2,0,0,9096.719475
2,2,0,2,0,1,1455.168645
2,2,0,2,0,2,815.921853333333
2,2,0,2,0,3,431.3447
2,2,0,2,0,5,33.318975
2,2,0,2,1,0,312.6123
2,2,0,3,0,0,918.671796666666
2,2,0,3,0,2,13.02836
2,2,0,4,0,0,13.10198
2,2,1,2,0,0,3107.07630833333
2,2,1,2,0,1,392.993263333333
2,2,1,2,0,2,282.27108
2,2,1,2,0,3,258.1278
2,2,1,2,1,0,13.05294
2,2,1,3,0,0,579.5626
2,2,2,2,0,0,507.453733333333
2,2,2,2,0,1,13.14568
2,2,3,2,1,0,8.98956666666667
2,3,0,3,0,0,2690.81916333333
2,3,0,3,0,1,296.26178
2,3,0,3,0,2,72.1980666666667
2,3,0,4,0,0,4.89995
2,3,1,3,0,0,264.6954
2,3,1,3,0,1,637.1551
2,3,2,3,0,0,6.5676
2,3,2,3,1,0,77.4699
2,4,0,4,0,0,316.498201666667
2,4,0,4,0,1,1809.2259
2,4,0,5,0,2,257.36188
2,4,1,4,0,0,20.57745
2,5,0,5,0,0,126.0269
3,0,0,0,0,0,15458.6203283333
3,0,0,0,0,1,3506.187785
3,0,0,0,0,2,1723.48648833333
3,0,0,0,0,3,201.345625
3,0,0,0,0,4,16.2642
3,0,0,1,0,0,4552.76277833333
3,0,0,1,0,1,235.77324
3,0,0,1,0,2,395.960975
3,0,0,1,0,4,16.2642
3,0,0,1,0,5,13.01136
3,0,0,2,0,0,460.08526
3,0,0,2,0,1,276.8295
3,0,0,2,0,2,3.91996
3,0,1,0,0,0,97462.983815
3,0,1,0,0,1,7049.06319666667
3,0,1,0,0,2,565.740971666666
3,0,1,0,0,3,25.022125
3,0,1,0,1,0,485.488296666667
3,0,1,0,1,1,25.66762
3,0,1,0,1,4,16.35245
3,0,1,0,2,0,17.02808
3,0,1,1,0,0,5633.11647166667
3,0,1,1,0,1,188.05936
3,0,1,1,0,2,1308.54416
3,0,1,2,0,0,366.00233
3,0,2,0,0,0,13774.5782966667
3,0,2,0,0,1,656.95665
3,0,2,0,0,3,153.84335
3,0,2,0,1,0,208.60845
3,0,2,0,1,1,13.01136
3,0,2,1,0,0,582.30198
3,0,3,0,0,0,1031.112235
3,0,3,0,0,1,326.48035
3,0,3,1,0,0,62.60338
3,0,4,0,0,0,32.83905
3,1,0,1,0,0,20561.52173
3,1,0,1,0,1,4529.49385166667
3,1,0,1,0,2,961.933145
3,1,0,1,0,3,330.012185
3,1,0,1,0,4,309.94586
3,1,0,1,0,5,304.99006
3,1,0,2,0,0,1551.08594833333
3,1,0,2,0,1,255.358411666667
3,1,0,2,0,2,71.827325
3,1,0,2,0,3,116.50694
3,1,0,3,0,0,257.94462
3,1,0,3,0,1,26.21608
3,1,1,1,0,0,21449.2386066667
3,1,1,1,0,1,1147.937525
3,1,1,1,0,2,351.64262
3,1,1,1,0,5,761.2681
3,1,1,1,1,0,723.760615
3,1,1,1,1,1,13.05294
3,1,1,1,2,0,60.12122
3,1,1,1,3,0,3.91996
3,1,1,2,0,0,2618.3457
3,1,1,2,0,1,162.7654
3,1,1,3,0,0,257.28726
3,1,2,1,0,0,2383.15436833333
3,1,2,1,0,1,311.568421666667
3,1,2,1,0,2,57.2369666666667
3,1,2,2,0,0,13.06802
3,1,3,1,0,0,91.9356
3,1,3,2,1,0,32.83905
3,2,0,2,0,0,7296.52098666667
3,2,0,2,0,1,693.533453333333
3,2,0,2,0,2,14.44076
3,2,0,2,0,3,75.787745
3,2,0,3,0,0,1316.254005
3,2,0,3,0,1,706.37135
3,2,0,4,0,0,13.01136
3,2,1,2,0,0,6462.13207333333
3,2,1,2,0,1,1553.79226
3,2,1,2,0,2,10.75532
3,2,1,2,2,0,318.107575
3,2,1,3,0,0,691.803001666667
3,2,2,2,0,0,473.28672
3,2,2,3,0,2,116.50694
3,2,3,2,0,0,16.89435
3,2,4,2,0,0,13.06802
3,3,0,3,0,0,1285.94701166667
3,3,0,3,0,2,25.022125
3,3,0,4,0,0,13.01136
3,3,0,5,0,0,16.449575
3,3,1,3,0,0,511.659656666667
3,4,0,4,0,0,63.849225
3,4,0,4,0,1,26.21608
3,4,0,5,0,0,53.31324
3,5,0,5,0,0,375.848075
3,6,0,6,0,0,143.055125
3,6,1,6,0,0,515.0285
4,0,0,0,0,0,24135.79277
4,0,0,0,0,1,12838.5145233333
4,0,0,0,0,2,8827.22117166667
4,0,0,0,0,3,605.378281666667
4,0,0,0,0,4,1385.373855
4,0,0,0,0,5,290.893
4,0,0,0,0,6,290.893
4,0,0,1,0,0,28766.025155
4,0,0,1,0,1,1587.18596
4,0,0,1,0,2,2806.54118666667
4,0,0,1,0,3,193.307745
4,0,0,2,0,0,2418.05600833333
4,0,0,2,0,1,518.666515
4,0,0,2,0,2,23.233115
4,0,0,3,0,0,431.49571
4,0,0,3,0,2,195.90678
4,0,0,4,0,0,3.93482
4,1,0,1,0,0,90031.4809083333
4,1,0,1,0,1,9995.14762833333
4,1,0,1,0,2,6539.67097166667
4,1,0,1,0,3,1874.01719
4,1,0,1,0,4,1481.27812666667
4,1,0,2,0,0,8946.398655
4,1,0,2,0,1,2408.756155
4,1,0,2,0,2,204.38787
4,1,0,2,0,3,240.510885
4,1,0,3,0,0,758.05653
4,1,0,3,0,1,26.02272
4,1,0,3,0,2,303.54046
4,1,0,4,0,0,26.03496
4,1,0,4,0,1,28.059125
4,2,0,2,0,0,22640.13114
4,2,0,2,0,1,5347.21519333333
4,2,0,2,0,2,2181.693505
4,2,0,2,0,3,404.774115
4,2,0,2,0,4,887.038753333333
4,2,0,2,0,6,334.2205
4,2,0,3,0,0,1557.01807
4,2,0,3,0,1,430.1738
4,2,0,3,0,2,26.14268
4,2,0,4,0,0,357.99998
4,2,0,4,0,1,288.051333333333
4,3,0,3,0,0,2609.72736333333
4,3,0,3,0,1,3580.13005166667
4,3,0,3,0,2,16.93132
4,3,0,3,0,3,437.33152
4,3,0,4,0,0,285.67933
4,3,0,4,0,1,46.81796
4,4,0,4,0,0,1123.99028
4,4,0,4,0,1,8.70626
4,4,0,7,0,0,28.059125
