"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9"
"1",586848.223321487,88531.5636682435,37617.6762931193,0,3174.52654893177,349.647635,400.613464057714,0,21.91304
"2",0,332154.994793078,74065.4633160778,0,2667.97577333333,2341.6335839696,601.621768333333,216.013695,21.91304
"3",0,882.42038,330398.61587121,0,623.58819,1229.83579,675.28425,670.46635,0
"4",33188.358813927,27358.8294374501,20742.3302402462,152505.154493408,1592.7852268314,5531.39451336825,548.018741666667,124.21402,21.91304
"5",0,0,0,0,28829.7728810562,16.2642,131.1007,0,0
"6",0,0,0,0,0,37210.5577152035,877.428631666667,508.618706666666,0
"7",0,0,0,0,0,0,1598.90077739105,0,0
"8",0,0,0,0,0,0,0,951.268053333333,0
"9",0,0,0,0,0,0,0,0,10.95652
"10",0,10316.1516221844,0,0,0,1849.3913483537,10.8479,6.92144,0
"11",1428.466815,1574.73595487222,440.56571,1111.1617,38.45812,600.057108333333,97.0927566666667,76.34315,0
