"purpose","stop_purp","freq"
"work","1",81416.2952178488
"univ","1",9112.06517213485
"sch","1",171.904898936167
"esco","1",4644.26831833333
"imain","1",5264.3690567023
"idisc","1",10528.3003684852
"jmain","1",16.449575
"jdisc","1",0
"atwork","1",161013.656576527
"Total","1",272167.309183968
"work","10",365848.625093521
"univ","10",4267.16728
"sch","10",0
"esco","10",4252.77679166667
"imain","10",2893.318645
"idisc","10",10706.1536393561
"jmain","10",0
"jdisc","10",0
"atwork","10",33568.2163958266
"Total","10",421536.257845371
"work","2",17845.3084973382
"univ","2",92423.7473456475
"sch","2",0
"esco","2",719.598804324995
"imain","2",3402.91885750841
"idisc","2",9778.3401137729
"jmain","2",13.01136
"jdisc","2",62.60338
"atwork","2",0
"Total","2",124245.528358592
"work","3",1910.91941368595
"univ","3",0
"sch","3",125332.648286648
"esco","3",10178.9492710201
"imain","3",2255.18446025153
"idisc","3",8053.01160823377
"jmain","3",0
"jdisc","3",0
"atwork","3",0
"Total","3",147730.713039839
"work","4",233640.010976034
"univ","4",37905.2270509503
"sch","4",98929.933535624
"esco","4",131131.296600366
"imain","4",83517.7080667605
"idisc","4",93985.771842804
"jmain","4",1110.94642833333
"jdisc","4",1181.00109
"atwork","4",2319.47310950885
"Total","4",683721.368700382
"work","5",188331.908741497
"univ","5",18941.9439737264
"sch","5",25484.1195807197
"esco","5",54447.4269466651
"imain","5",198593.136548213
"idisc","5",128905.391630504
"jmain","5",17933.0937592959
"jdisc","5",16891.5461737822
"atwork","5",5974.20973356487
"Total","5",655502.777087968
"work","6",109245.987016174
"univ","6",12422.7992948532
"sch","6",16045.0735732727
"esco","6",30218.4003511456
"imain","6",114633.140893234
"idisc","6",49579.4831425163
"jmain","6",10799.9648327749
"jdisc","6",8042.93891768039
"atwork","6",3860.96318243462
"Total","6",354848.751204085
"work","7",170315.343182604
"univ","7",16625.4368337031
"sch","7",24387.2201097007
"esco","7",32411.4194008773
"imain","7",86678.1746569545
"idisc","7",90738.7730101827
"jmain","7",9612.72358528543
"jdisc","7",6853.79176302394
"atwork","7",21310.8497677347
"Total","7",458933.732310066
"work","8",28006.5896483333
"univ","8",6886.10632666667
"sch","8",5188.98499041781
"esco","8",13710.9079516667
"imain","8",23605.6352819182
"idisc","8",39727.4198766667
"jmain","8",1279.202565
"jdisc","8",2480.20464166667
"atwork","8",1673.827705
"Total","8",122558.878987336
"work","9",99562.3059532843
"univ","9",16203.0955344674
"sch","9",38202.3414399765
"esco","9",7347.52599732864
"imain","9",30061.7585325051
"idisc","9",124266.367001806
"jmain","9",763.74025812004
"jdisc","9",5650.9646152152
"atwork","9",476.927031666667
"Total","9",322535.026364369
