"HH_ID","JTRIP_ID","NUMBER_HH","PERSON_1","PERSON_2","PERSON_3","PERSON_4","PERSON_5","PERSON_6","PERSON_7","PERSON_8","PERSON_9","COMPOSITION","DAYNO","uid"
161000385,1,2,1,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161000385-1"
161000385,2,2,1,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161000385-2"
161000385,3,2,1,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161000385-3"
161000914,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161000914-1"
161001149,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161001149-1"
161001149,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161001149-2"
161001149,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161001149-3"
161001149,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161001149-4"
161001149,5,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161001149-5"
161005029,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161005029-1"
161005029,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161005029-2"
161005029,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161005029-3"
161005366,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161005366-1"
161005366,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161005366-2"
161005366,3,2,2,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161005366-3"
161005366,4,2,2,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161005366-4"
161005366,5,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161005366-5"
161005366,6,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161005366-6"
161005366,7,2,2,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161005366-7"
161005366,8,3,2,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161005366-8"
161006270,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161006270-1"
161006270,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161006270-2"
161006270,3,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161006270-3"
161006270,4,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161006270-4"
161006612,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161006612-1"
161006612,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161006612-2"
