"distbin","District_1","District_2","District_3","District_4","District_5","District_6","District_7","District_8","Total"
1,1180.5937,1638.7322,6185.2057,1288.1676,0,19.8719,74.9585,0,10387.5296
2,604.7971,1293.9129,6884.1246,3293.9463,99.8147,2711.4106,3731.7034,0,18619.7096
3,42.5421,1701.065,8212.1147,2552.2638,3485.7447,1286.1677,2933.1069,0,20213.0049
4,0,1343.2729,5012.4573,4589.3127,5645.6374,0,2475.3035,0,19065.9838
5,0,2020.378,3916.4576,2578.0533,2021.2576,1420.3714,65.0861,0,12021.604
6,218.4484,3676.9999,3127.5543,53.7766,1923.5398,3931.7851,0,0,12932.1041
7,19.5998,4539.1597,1664.7496,2990.9695,19.5998,65.4989,4108.0896,0,13407.6669
8,46.7944,325.7482,2755.1096,234.301,2604.7479,390.55,3827.4369,0,10184.688
9,0,4800.4691,65.0568,53.7766,1955.6811,0,85.7667,0,6960.7503
10,346.5031,713.9232,2994.5004,2011.8513,19.8926,0,2610.3932,0,8697.0638
11,0,2026.0684,5612.8678,0,119.004,196.1508,0,0,7954.091
12,0,5309.5722,0,1067.7899,1301.7526,0,74.9585,0,7754.0732
13,0,93.2719,966.7697,0,2877.9632,465.2948,65.0861,0,4468.3857
14,0,3494.0286,1009.3575,1365.5337,0,380.7918,0,0,6249.7116
15,490.4891,1389.3637,4275.9509,1277.6886,185.1901,2182.5979,0,0,9801.2803
16,39.1996,1670.9522,771.5783,1812.5605,0,1227.6755,1615.1667,0,7137.1328
17,228.9121,462.6689,1040.001,481.8667,0,0,1615.1646,0,3828.6133
18,0,310.761,2821.7742,172.7965,130.6035,81.5077,1561.3638,0,5078.8067
19,0,75.139,150.6297,59.7574,65.2632,230.7149,65.0889,0,646.5931
20,0,65.3982,1448.0743,433.6075,75.1838,66.02,135.1568,0,2223.4406
21,0,0,0,0,65.0568,0,0,0,65.0568
22,0,0,65.0568,0,65.0568,0,0,0,130.1136
23,0,0,0,2100.9465,0,0,65.0861,0,2166.0326
24,0,0,149.7626,0,0,0,0,0,149.7626
25,0,0,0,65.1587,0,69.0306,0,0,134.1893
26,0,0,0,0,0,0,1561.3638,0,1561.3638
27,0,0,0,1240.3085,118.6226,0,0,0,1358.9311
28,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,1277.3032,0,0,1277.3032
33,0,0,0,0,0,0,1258.7349,0,1258.7349
34,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,1292.3212,0,0,1292.3212
36,0,0,0,0,0,702.3128,65.087,0,767.3998
37,0,0,0,0,0,0,0,0,0
38,0,0,0,0,1268.7232,0,120.466,0,1389.1892
39,0,0,65.0568,0,0,0,65.0861,0,130.1429
40,19.7455,76.4864,0,0,0,0,19.7499,0,115.9818
41,0,0,0,0,0,0,0,0,0
42,0,19.8579,0,0,0,0,67.2212,0,87.0791
43,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
