"HH_ID","PER_ID","DAYNO","freq_work","freq_schl","freq_inm","freq_m","freq_joint","freq_atwork","freq_escort","freq_nm","total_tours","PERTYPE","finalweight"
161000385,1,1,0,0,2,0,0,0,1,2,3,2,80.3913758087042
161000385,2,1,0,0,0,0,0,0,0,0,0,4,72.3921613532421
161000385,3,1,0,1,0,1,0,0,0,0,1,7,67.1719
161000385,4,1,0,1,1,1,0,0,0,1,2,7,67.1719
161000451,1,1,0,0,1,0,0,0,0,1,1,4,21.2813020271578
161000451,2,1,0,0,1,0,0,0,0,1,1,5,19.6086
161000525,1,1,0,0,1,0,0,0,0,1,1,3,16.3158
161000525,1,2,0,0,0,0,0,0,0,0,0,3,16.3158
161000525,1,3,0,0,1,0,0,0,0,1,1,3,16.3158
161000525,1,4,0,0,1,0,0,0,1,1,2,3,16.3158
161000914,1,3,0,0,1,0,0,0,0,1,1,2,16.2642
161000914,1,4,0,0,1,0,0,0,0,1,1,2,16.2642
161000914,2,1,0,0,1,0,0,0,0,1,1,1,16.2642
161000914,2,3,0,0,2,0,0,0,0,2,2,1,16.2642
161000914,2,4,1,0,0,1,0,0,0,0,1,1,16.2642
161000914,2,7,1,0,0,1,0,0,0,0,1,1,16.2642
161001149,1,1,0,0,0,0,1,0,0,1,1,5,79.3308
161001149,2,1,0,0,0,0,1,0,0,1,1,5,79.3308
161001183,1,1,0,0,1,0,0,0,0,1,1,5,66.5221
161001183,2,1,0,0,1,0,0,0,0,1,1,5,66.5221
161001213,1,1,0,0,1,0,0,0,0,1,1,5,153.5603
161001780,1,2,1,0,1,1,0,0,0,1,2,1,176.67895
161001780,1,7,1,0,1,1,2,0,0,3,4,1,176.67895
161001780,2,2,1,0,0,1,2,0,0,2,3,1,176.67895
161001780,2,7,1,0,0,1,0,0,0,0,1,1,176.67895
161001780,3,7,0,0,0,0,2,0,0,2,2,7,176.67895
161001780,4,2,0,0,1,0,2,0,0,3,3,7,176.67895
161001780,4,7,0,0,0,0,0,0,0,0,0,7,176.67895
161001903,1,1,2,0,1,2,0,0,0,1,3,1,13.01136
161001903,1,2,1,0,1,1,0,0,0,1,2,1,13.01136
161001903,1,3,1,0,1,1,0,0,0,1,2,1,13.01136
161001903,1,4,1,0,2,1,0,0,0,2,3,1,13.01136
161001903,1,7,1,0,1,1,0,0,0,1,2,1,13.01136
161001905,1,1,1,0,1,1,0,0,0,1,2,1,19.53632
161001905,1,2,1,0,1,1,0,0,0,1,2,1,19.53632
161001905,1,3,1,0,1,1,0,0,0,1,2,1,19.53632
161001905,1,4,1,0,1,1,0,0,0,1,2,1,19.53632
161001905,1,7,1,0,0,1,0,0,0,0,1,1,19.53632
161002145,1,1,1,0,1,1,0,0,0,1,2,1,21.226101008107
161002323,1,1,0,0,1,0,0,0,0,1,1,1,21.1618236064427
161002328,1,1,0,0,0,0,0,0,0,0,0,5,65.9601
161003226,1,1,1,0,0,1,0,1,0,0,2,1,8.37082
161003226,1,2,1,0,0,1,0,1,0,0,2,1,8.37082
161003226,1,3,1,0,0,1,0,1,0,0,2,1,8.37082
161003226,1,4,1,0,0,1,0,3,0,0,4,1,8.37082
161003226,2,1,1,0,0,1,0,0,0,0,1,1,8.37082
161003226,2,2,1,0,0,1,0,0,0,0,1,1,8.37082
161003226,2,3,1,0,0,1,0,1,0,0,2,1,8.37082
161003226,2,4,1,0,0,1,0,0,0,0,1,1,8.37082
161003226,2,7,0,0,1,0,0,0,0,1,1,1,8.37082
161003832,1,1,0,0,4,0,0,0,0,4,4,5,96.93655
161003832,1,3,0,0,0,0,0,0,1,0,1,5,96.93655
161003832,1,4,0,0,2,0,0,0,0,2,2,5,96.93655
161003832,1,7,0,0,2,0,0,0,0,2,2,5,96.93655
161003841,1,2,0,0,2,0,0,0,0,2,2,1,4.942425
161003841,1,3,0,0,2,0,0,0,0,2,2,1,4.942425
161003841,1,4,0,0,1,0,0,0,0,1,1,1,4.942425
161003841,1,7,0,0,1,0,0,0,0,1,1,1,4.942425
161004258,1,4,1,0,0,1,0,1,0,0,2,1,32.67005
161004258,1,7,1,0,0,1,0,1,0,0,2,1,32.67005
161004309,1,1,1,0,0,1,0,0,0,0,1,1,4.944875
161004309,1,2,1,0,1,1,0,1,0,1,3,1,4.944875
161004309,1,4,0,0,4,0,0,0,0,4,4,1,4.944875
161004309,1,7,1,0,0,1,0,0,0,0,1,1,4.944875
161004424,1,2,1,0,2,1,0,0,0,2,3,1,11.7795
161004424,1,3,1,0,0,1,0,0,0,0,1,1,11.7795
161004424,1,7,1,0,1,1,0,0,0,1,2,1,11.7795
161004727,1,1,1,0,1,1,0,1,0,1,3,1,13.03172
161004727,1,2,1,0,1,1,0,1,0,1,3,1,13.03172
161004727,1,3,1,0,0,1,0,0,0,0,1,1,13.03172
161004727,1,4,1,0,1,1,0,0,0,1,2,1,13.03172
161004727,1,7,1,0,0,1,0,1,0,0,2,1,13.03172
161004727,2,2,0,1,0,1,0,0,0,0,1,7,13.03172
161004727,2,4,0,1,0,1,0,0,0,0,1,7,13.03172
