"distbin","PURPOSE","freq"
20,"jmain",10.75532
21,"jmain",3.93248
22,"jmain",0
23,"jmain",0
24,"jmain",78.37416
25,"jmain",0
26,"jmain",0
27,"jmain",13.01136
28,"jmain",0
29,"jmain",0
3,"jmain",4902.7526568864
30,"jmain",0
31,"jmain",0
32,"jmain",0
33,"jmain",0
34,"jmain",16.2642
35,"jmain",0
36,"jmain",0
37,"jmain",0
38,"jmain",0
39,"jmain",0
4,"jmain",4417.57618990174
40,"jmain",0
41,"jmain",0
42,"jmain",0
5,"jmain",1549.61145952544
6,"jmain",2056.20896542981
7,"jmain",1010.42876
8,"jmain",296.421903333333
9,"jmain",295.021118333333
1,"jdisc",1422.15436190335
10,"jdisc",2108.83498794522
11,"jdisc",287.15498
12,"jdisc",437.977193333334
13,"jdisc",541.77068830755
14,"jdisc",24.600295
15,"jdisc",21.6958666666667
16,"jdisc",0
17,"jdisc",248.552835236687
18,"jdisc",13.01722
19,"jdisc",16.364025
2,"jdisc",20969.0565358563
20,"jdisc",0
21,"jdisc",26.1360333333333
22,"jdisc",62.60338
23,"jdisc",0
24,"jdisc",0
25,"jdisc",78.11
26,"jdisc",62.1522
27,"jdisc",27.813025
28,"jdisc",22.8829
29,"jdisc",108.581406082507
3,"jdisc",5777.76524505508
30,"jdisc",0
31,"jdisc",90.6592039798307
32,"jdisc",0
33,"jdisc",0
34,"jdisc",0
35,"jdisc",0
36,"jdisc",0
37,"jdisc",65.0568
38,"jdisc",0
39,"jdisc",0
4,"jdisc",1496.41748941584
40,"jdisc",0
41,"jdisc",0
42,"jdisc",0
5,"jdisc",3284.54992330755
6,"jdisc",1458.10385819596
7,"jdisc",446.081981666667
8,"jdisc",854.101616666667
9,"jdisc",375.290562749174
1,"atwork",4434.3291558695
10,"atwork",1534.141915
11,"atwork",174.998756666667
12,"atwork",697.085419343804
13,"atwork",752.402989343804
14,"atwork",903.737364343804
15,"atwork",36.01705
16,"atwork",179.41034
17,"atwork",109.172721666667
18,"atwork",828.895306666667
19,"atwork",21.7195666666667
2,"atwork",186892.981398966
20,"atwork",253.8552
21,"atwork",0
22,"atwork",12.38148
23,"atwork",653.21832
24,"atwork",17.37895
25,"atwork",0
26,"atwork",4.89995
27,"atwork",0
28,"atwork",15.673665
29,"atwork",0
3,"atwork",9578.46388076196
30,"atwork",0
31,"atwork",0
32,"atwork",0
33,"atwork",0
34,"atwork",8.856335
35,"atwork",0
36,"atwork",267.037389343804
37,"atwork",0
38,"atwork",0
39,"atwork",0
4,"atwork",7880.85493789439
40,"atwork",0
41,"atwork",0
42,"atwork",1655.65160166667
5,"atwork",2127.91334865223
6,"atwork",6963.66045370932
7,"atwork",1091.23348965891
8,"atwork",618.933753333333
9,"atwork",203.955765
1,"Total",170156.976477542
10,"Total",45938.1083074968
11,"Total",41871.0365010098
12,"Total",39972.0808331157
13,"Total",26514.4694075215
14,"Total",21159.0348213467
15,"Total",14134.3227769104
16,"Total",13530.5982006149
17,"Total",11808.2732328099
18,"Total",10268.5625228612
19,"Total",12601.6305757421
2,"Total",1522968.90028832
20,"Total",12099.0702530658
21,"Total",10388.8068888936
22,"Total",4438.80457933061
23,"Total",5108.64557551575
24,"Total",5372.14950865266
25,"Total",4359.19110419282
26,"Total",6176.666477201
27,"Total",4183.71973029311
28,"Total",5118.868055
29,"Total",7036.6588467057
3,"Total",469792.440019135
30,"Total",2195.25246
31,"Total",1851.15208897983
32,"Total",2123.34446833333
33,"Total",2880.47253739381
34,"Total",6273.2215339108
35,"Total",1189.29449666667
36,"Total",4310.33824553377
37,"Total",1696.19295833333
38,"Total",409.99997
39,"Total",893.93285971978
4,"Total",273122.943855005
40,"Total",954.303228333333
41,"Total",1104.12619
42,"Total",17295.5374773113
5,"Total",193530.238947116
6,"Total",129596.713741264
7,"Total",91803.5332883007
8,"Total",58057.4544692454
9,"Total",49249.0572630209
