"jtf","freq"
"1",1,985690.642535
"2",2,26128.1496466667
"3",3,28672.0036
"4",4,25821.83914
"5",5,5614.435815
"6",6,31933.3933
"7",7,667.161013333333
"8",8,376.86528
"9",9,399.752633333333
"10",10,176.67895
"11",11,1144.79105666667
"12",12,702.381423333333
"13",13,1126.798255
"14",14,54.17708
"15",15,1629.89825
"16",16,729.85876
"17",17,62.58902
"18",18,538.024926666667
"19",19,296.60538
"20",20,1560.46188166667
"21",21,297.424753333333
"COMPOSITION","freq"
"1",1,84022.6794366881
"2",2,31.014825
"3",3,61771.4299317217
"NUMBER_HH","freq"
"1",2,113438.740186447
"2",3,22650.6063000155
"3",4,9237.72946194767
"4",5,498.048245
"COMPOSITION","NUMBER_HH","freq"
"1",1,2,82947.4030541707
"2",1,3,1075.2763825174
"3",2,2,31.014825
"4",3,2,30460.322307276
"5",3,3,21575.3299174981
"6",3,4,9237.72946194767
"7",3,5,498.048245
"HHSIZE","jointCat","freq"
"1",1,0,273346.6021
"2",2,0,313276.046313333
"3",2,1,43893.01374
"4",2,2,3811.96844666667
"5",3,0,160346.306943333
"6",3,1,23566.37166
"7",3,2,1759.22679666667
"8",4,0,133000.661915
"9",4,1,25402.7634616667
"10",4,2,2760.81772333333
"11",5,0,105721.025263333
"12",5,1,25307.67264
"13",5,2,1431.45569666667
