"","work","univ","sch","imain","idisc","jmain","jdisc","atwork"
"1",161372.5576969,21718.379796085,2759.18931718951,52281.8799859159,30850.2357102464,0,0,15390.5730035301
"2",58756.852608924,18372.6990810642,10058.0904668424,74013.5321405452,37539.8326078303,18546.8922338746,13549.562597649,8853.77152648795
"3",10536.0841407564,10995.2430707229,31393.5131148256,66685.4107806855,22973.2636627392,2227.80852063565,2256.90669666667,272.095867156839
"4",3025.8797179944,5836.53352734026,9518.13864940168,20279.3627215876,23775.8049398266,285.362565138166,2980.30841255539,6125.23137237633
"5",8912.0680604694,1281.0828482506,890.01408,422.98644477427,3138.60159751972,16.2642,23.6952101469432,70.37015
"6",12725.5084072569,22751.5274835092,2490.62359699865,3560.58444819168,5749.79701800947,0,0,1644.90508343168
"7",2890.30607412365,3818.20353073183,0,78.6000120822351,210.26415,0,0,0
"8",22.29278,7.8966,19.5998,19.5998,320.233058333333,0,0,0
"9",0,32.5443,5243.31124,78.37416,0,0,0,11.18528
"10",0,0,0,0,0,0,17.3036,0
"11",272.87221,0,27.3518,528.1046,0,0,0,2537.35455
