"PERTYPE","freq_inm","freq_m","freq_nm","freq_atwork","freq_escort","freq"
1,0,0,0,0,0,35336.1113270803
1,0,0,0,0,1,15211.0866768406
1,0,0,0,0,2,7863.6360344576
1,0,0,0,0,3,534.54072
1,0,0,0,0,4,46.04483
1,0,0,0,1,1,16.27155
1,0,0,0,1,2,175.243633333333
1,0,0,0,2,0,109.9866
1,0,0,0,2,1,887.555856666667
1,0,0,0,5,1,13.01136
1,0,0,1,0,0,11365.7018640326
1,0,0,1,0,1,264.19051
1,0,0,1,0,2,146.076525
1,0,0,1,0,3,269.12867
1,0,0,2,0,0,860.697723333333
1,0,0,2,0,1,137.087315
1,0,0,2,0,2,21.7086
1,0,0,3,0,0,21.7800333333333
1,0,1,0,0,0,535660.156705416
1,0,1,0,0,1,21448.564270776
1,0,1,0,0,2,3030.34116753576
1,0,1,0,0,3,730.75428
1,0,1,0,0,4,10.322425
1,0,1,0,1,0,85279.9309159952
1,0,1,0,1,1,3096.21138383913
1,0,1,0,1,2,29.98426
1,0,1,0,1,3,175.243633333333
1,0,1,0,2,0,14213.6615813795
1,0,1,0,2,1,1670.94940833333
1,0,1,0,2,2,8.6518
1,0,1,0,3,0,3421.79418110444
1,0,1,0,3,1,26.43558
1,0,1,0,4,0,262.418727311006
1,0,1,0,4,2,74.966325
1,0,1,0,5,0,341.16989
1,0,1,0,6,0,78.143485
1,0,1,0,7,0,27.95832
1,0,1,0,8,0,57.285455
1,0,1,1,0,0,32476.225917724
1,0,1,1,0,1,1640.13391666667
1,0,1,1,0,2,3015.16873461189
1,0,1,1,0,3,322.69435
1,0,1,1,1,0,9416.07214436612
1,0,1,1,1,1,34.77662
1,0,1,1,2,0,1300.690315
1,0,1,1,3,0,137.51768
1,0,1,1,5,0,29.29256
1,0,1,2,0,0,460.339525
1,0,1,2,1,0,308.89136
1,0,1,2,4,0,11.19115
1,0,2,0,0,0,34546.7979447124
1,0,2,0,0,1,2084.78068833333
1,0,2,0,0,2,52.7891433333333
1,0,2,0,0,3,19.624975
1,0,2,0,1,0,2642.86378084684
1,0,2,0,1,1,6.92144
1,0,2,0,2,0,1436.30375360273
1,0,2,0,3,0,397.26239
1,0,2,0,18,0,149.25615
1,0,2,1,0,0,1867.38357666667
1,0,2,1,1,0,199.81857
1,0,2,1,3,0,390.34095
1,0,2,2,0,0,66.74332
1,0,2,2,1,0,66.74332
1,0,3,0,0,0,1901.34409833333
1,0,3,0,0,1,338.610675
1,0,3,0,1,0,158.268395
1,0,4,0,0,0,972.314973333334
1,0,4,0,2,0,428.722566666667
1,0,4,1,0,0,297.3314
1,1,0,1,0,0,84039.0449720767
1,1,0,1,0,1,7804.39186636258
1,1,0,1,0,2,1999.83083333333
1,1,0,1,0,3,1993.71261485378
1,1,0,1,0,4,4.9156
1,1,0,1,1,0,1145.92511833333
1,1,0,1,2,0,94.418125
1,1,0,1,2,1,6.98054
1,1,0,1,5,0,16.368325
1,1,0,2,0,0,6064.12722618328
1,1,0,2,0,1,1107.48897538445
1,1,0,2,0,2,188.563785
