"","work","univ","sch","imain","idisc","jmain","jdisc","atwork"
"1",603774.784444554,57308.3543823817,11578.9543692143,234695.667517616,202273.064842923,0,0,98609.6998752926
"2",126348.758800789,15059.8685847506,69325.3787219062,191505.420662012,104162.37925618,40057.3941389554,31416.8210244536,24499.692996549
"3",77535.8605864944,10481.8420058748,207746.076794363,259595.123124456,115759.603234829,15937.5263249344,23722.9415703033,12740.6412540316
"4",5389.25814093579,2872.40131447387,10723.7214854821,25320.9887828844,48098.7598033032,1318.28336166667,5296.23192723309,45211.752615126
"5",11544.4452857646,261.522096666667,6178.56747014538,1523.7735255041,8394.97667719917,49.6325533333333,48.9738216666667,939.35962
"6",8252.81981212004,6667.89369904641,1025.83350849334,5606.29946830399,4828.34752915869,32.6518,0,1245.11133
"7",7510.94664509081,1087.39819166667,32.5284,529.391885,860.614272391047,0,0,26.748675
"8",31.13366,0,0,401.965395,533.93539,0,0,0
"9",102.3792,2990.82885134925,5746.37968520564,0,10.95652,0,0,13.01768
"10",0,0,0,0,0,0,220.039455,0
"11",901.597717965292,16.2642,781.54264,349.163935,675.660438333333,0,0,888.501303333333
