"","DAYNO","PERTYPE","DAP","freq"
"1",1,1,"H",75746.9459505969
"2",1,1,"M",406683.807449566
"3",1,1,"N",73676.0705964428
"4",1,2,"H",15039.0866393447
"5",1,2,"M",68799.7623257813
"6",1,2,"N",30849.3389436224
"7",1,3,"H",28949.2219168986
"8",1,3,"M",104411.175585195
"9",1,3,"N",18683.9707903238
"10",1,4,"H",93096.4229732533
"11",1,4,"N",140776.990146202
"12",1,5,"H",94051.337421925
"13",1,5,"N",141079.249295759
"14",1,6,"H",13539.1222012261
"15",1,6,"M",41829.0155912157
"16",1,6,"N",5737.99773190998
"17",1,7,"H",19876.9854233333
"18",1,7,"M",121347.22407
"19",1,7,"N",19947.7475783333
"20",1,8,"H",18484.5126616667
"21",1,8,"M",15365.3652816667
"22",1,8,"N",26974.2668366667
"23",2,1,"H",8597.08933754236
"24",2,1,"M",148256.07599492
"25",2,1,"N",23337.8688574733
"26",2,2,"H",3245.1449337076
"27",2,2,"M",17485.5407712663
"28",2,2,"N",9959.62042578706
"29",2,3,"H",3603.91775
"30",2,3,"M",28262.8072525482
"31",2,3,"N",11742.104405442
"32",2,4,"H",8740.18017612645
"33",2,4,"N",30660.7114197541
"34",2,5,"H",16111.5728202462
"35",2,5,"N",19948.9320855199
"36",2,6,"H",3946.2850105171
"37",2,6,"M",7825.12508386709
"38",2,6,"N",2795.23314369636
"39",2,7,"H",9429.55911166667
"40",2,7,"M",41691.2344316667
"41",2,7,"N",12390.5425866667
"42",2,8,"H",5943.11717833333
"43",2,8,"M",9103.80803166667
"44",2,8,"N",17611.9960866667
"45",3,1,"H",12504.4145082234
"46",3,1,"M",140970.157926112
"47",3,1,"N",27893.6679009978
"48",3,2,"H",5083.68974333333
"49",3,2,"M",16015.6190302557
"50",3,2,"N",9310.03215173037
"51",3,3,"H",6786.9621017082
"52",3,3,"M",30594.0940713254
"53",3,3,"N",7000.55259083287
"54",3,4,"H",18799.6229030044
"55",3,4,"N",34683.99711011
"56",3,5,"H",8174.82173721625
"57",3,5,"N",13073.0080607462
"58",3,6,"H",2068.18981000099
"59",3,6,"M",14606.9033926444
"60",3,6,"N",1741.02330253445
"61",3,7,"H",8558.35466666667
"62",3,7,"M",47474.3925933333
"63",3,7,"N",12423.9531116667
"64",3,8,"H",6470.317685
"65",3,8,"M",8660.56902833333
"66",3,8,"N",16186.9121833333
"67",4,1,"H",7957.462475
"68",4,1,"M",106637.429461667
"69",4,1,"N",27758.1037783333
"70",4,2,"H",2460.81804333333
"71",4,2,"M",9037.59309
"72",4,2,"N",7925.23775333333
"73",4,3,"H",8398.57703166667
"74",4,3,"M",11601.1604883333
"75",4,3,"N",10192.9682466667
"76",4,4,"H",5814.39729666667
"77",4,4,"N",22085.841135
"78",4,5,"H",4522.95550166667
"79",4,5,"N",7676.13389333333
"80",4,6,"H",2793.88037070227
"81",4,6,"M",5545.39743773409
"82",4,6,"N",1722.45345477999
"83",4,7,"H",14344.8295916667
"84",4,7,"M",31187.8638433333
"85",4,7,"N",11316.4923866667
"86",4,8,"H",4376.20728833333
"87",4,8,"M",6916.568925
"88",4,8,"N",13251.9251333333
"89",7,1,"H",13008.146125
"90",7,1,"M",115653.571623333
"91",7,1,"N",30161.8669833333
"92",7,2,"H",3153.548015
"93",7,2,"M",9891.32164166667
"94",7,2,"N",8943.35808
"95",7,3,"H",3991.40887833333
"96",7,3,"M",23052.292675
"97",7,3,"N",8067.55637166667
"98",7,4,"H",8509.57227
"99",7,4,"N",25137.3451116667
"100",7,5,"H",4229.57641166667
"101",7,5,"N",11432.52885
"102",7,6,"H",3545.88172676442
"103",7,6,"M",7000.56772573544
"104",7,6,"N",3051.04972200908
"105",7,7,"H",13436.4979833333
"106",7,7,"M",37562.624335
"107",7,7,"N",15163.5663866667
"108",7,8,"H",7517.682205
"109",7,8,"M",5839.93783166667
"110",7,8,"N",11061.3906433333
