"HH_ID","JTOUR_ID","NUMBER_HH","PERSON_1","PERSON_2","PERSON_3","PERSON_4","PERSON_5","PERSON_6","PERSON_7","PERSON_8","PERSON_9","COMPOSITION","JOINT_PURP","DAYNO","uid","finalweight","TOURMODE","AUTOSUFF","ANCHOR_DEPART_BIN","ANCHOR_ARRIVE_BIN","TOUR_DUR_BIN","DIST","DISTMILE","OUTBOUND_STOPS","INBOUND_STOPS","TOTAL_STOPS","SKIMDIST"
161001149,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,7,1,"161001149-1",79.3308,2,1,1,2,5,10.50449,0.00198948674242424,3,0,3,3.327321
161005366,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,3,3,1,"161005366-1",13.01136,2,2,21,22,2,4.913318,0.000930552651515152,0,0,0,2.456659
161005366,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,4,1,"161005366-2",13.01136,2,2,24,25,2,18.0612,0.00342068181818182,0,0,0,9.154645
161006270,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,9,1,"161006270-1",16.89435,2,2,27,34,8,4.74026,0.000897776515151515,1,0,1,2.21894
161006745,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,9,1,"161006745-1",13.06802,5,2,27,29,3,13.663994,0.00258787765151515,0,0,0,6.919148
161007426,1,3,1,2,3,NA,NA,NA,NA,NA,NA,3,5,1,"161007426-1",644.34205,3,2,29,33,5,27.862795,0.00527704450757576,1,0,1,6.295942
161007647,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,9,1,"161007647-1",4.89995,2,2,25,31,7,31.367156,0.00594074924242424,0,0,0,16.092102
161009004,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,5,1,"161009004-1",70.7411585504953,2,1,20,22,3,7.979195,0.00151121117424242,0,0,0,3.966061
161009344,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,5,1,"161009344-1",19.5998,2,2,26,28,3,3.727171,0.000705903598484849,0,2,2,1.370533
161009538,1,2,1,4,NA,NA,NA,NA,NA,NA,NA,3,5,1,"161009538-1",96.3239,2,2,34,35,2,9.948872,0.00188425606060606,0,0,0,2.989402
161009682,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,9,1,"161009682-1",66.74332,4,2,27,30,4,2.532254,0.000479593560606061,0,0,0,1.266127
161012877,1,4,1,2,3,4,NA,NA,NA,NA,NA,3,7,1,"161012877-1",172.64794,3,1,16,19,4,4.780516,0.000905400757575758,0,1,1,2.214549
161013286,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,5,1,"161013286-1",13.01136,2,2,14,17,4,14.957857,0.00283292746212121,0,0,0,7.551535
161013468,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,8,1,"161013468-1",9.3827,4,2,28,30,3,1.766954,0.000334650378787879,0,0,0,0.883477
161013533,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,1,1,"161013533-1",16.89435,2,2,7,8,2,1.894554,0.000358817045454545,0,0,0,0.947277
161015092,1,3,2,3,4,NA,NA,NA,NA,NA,NA,3,3,1,"161015092-1",13.01136,3,2,8,9,2,3.161296,0.000598730303030303,0,0,0,1.580648
161015092,2,3,2,3,4,NA,NA,NA,NA,NA,NA,3,3,1,"161015092-2",13.01136,3,2,20,30,11,4.92222,0.000932238636363636,1,0,1,1.580648
161015948,1,3,1,4,5,NA,NA,NA,NA,NA,NA,3,5,1,"161015948-1",97.98315,3,2,9,15,7,33.002415,0.00625045738636364,1,1,2,15.582943
161016298,1,4,2,3,4,5,NA,NA,NA,NA,NA,3,6,1,"161016298-1",71.52245,3,2,22,26,5,15.147652,0.00286887348484848,0,0,0,7.647407
161018806,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,5,1,"161018806-1",16.5444,2,1,18,22,5,14.135024,0.00267708787878788,1,1,2,7.045791
161019100,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,6,1,"161019100-1",65.5173,2,2,16,23,8,27.765565,0.00525862973484848,1,0,1,9.184061
