"","work","univ","sch","esc","imain","idisc","jmain","jdisc","atwork"
"1",778.873278101852,1951.15866483622,2528.51429665462,52515.7225421479,22441.4667049526,21321.2975542105,2150.41992333333,1760.64370013817,46624.5955750025
"2",6928.2272783506,4587.08877364999,10425.6541049995,161962.956172268,100377.849827445,70617.8081111127,11348.6194268806,7789.02045462305,76063.7405386256
"3",9233.06766434152,2840.33010868867,1484.31330333333,62473.5749214513,88521.6997478863,51656.8482202109,12308.426879097,12572.386169193,49615.2702345915
"4",9127.42135433641,3506.1416822321,2856.230785,23480.8152315919,70519.0034682303,73948.5277133993,12278.5575479905,11400.3691286275,21359.9257946574
"5",10397.3244264281,10808.6037422192,2454.88869,17710.416247354,63897.9748907418,64871.1130636458,8487.20607487931,14056.9150242421,10459.7274993473
"6",13376.8079569838,9956.91960478189,5071.35052271104,13489.821503939,46831.4018040203,55943.5253895933,5708.00949527369,9275.47538862046,4450.14462446842
"7",15475.1590344543,11696.4759410693,2490.276585,7939.38824122897,31321.0705334116,43761.6558306624,5972.3566420699,11126.5915121571,2105.33934274797
"8",15931.1316757739,8588.72386979999,3553.08506166667,4188.83187173247,19261.3436605437,26180.1896423789,3418.68954164574,2676.49294,3097.69916311364
"9",25367.088535995,8693.8492762396,4351.99401796914,4602.13628209585,17817.2008702619,26982.7667560663,1277.95445890678,1530.15239100497,1937.7648930639
"10",32482.7244754945,11141.9530254619,8316.161152379,4289.69443994467,14670.8692710918,22785.0719157162,268.268058646981,3748.65204622959,598.044163333333
"11",15524.0760210127,7614.42518521837,2413.402485,2068.46633288961,4933.60180698185,13109.8484224768,285.621775,1148.87488523669,1854.55138037599
"12",19149.5992611812,13870.2129708021,7758.654813671,4873.81355998766,6542.04176339722,11757.8834750034,1851.877095,149.867135,508.022424343804
"13",19512.6079938322,4739.29486046975,4809.30232844542,2210.48428593498,11199.3860089882,8048.61166174934,69.0357,220.839098333333,1260.90799
"14",21062.0183594899,10599.2889557691,14555.3611185281,942.215987493977,3558.50610371429,5669.08391073288,143.12684,209.953103979831,55.39846
"15",24822.2982612964,7374.65488434316,34758.8140944138,3997.55679334094,2906.73595471772,7677.98241373108,37.9398846683981,77.58984,2403.95478437217
"16",22012.0456020122,8796.19524454795,35661.8292059736,6188.79190147263,3413.974345,6792.64448211838,0,3.94056,0
"17",29864.485793813,2198.09517371515,25637.8096410017,1572.89385318303,2005.15857666667,3322.38126789942,0,34.7071266666667,41.10956
"18",52053.3918909418,5469.74263777572,28113.4168202624,1130.68107333333,974.777721959769,4852.67306666667,0,0,0
"19",75093.6463896412,5396.16641079762,21447.4951900552,2100.50334166667,1672.82783644431,2942.35246503033,0,162.329711056724,0
"20",121663.493482132,1739.44105326487,22619.4124200108,1326.26198706573,2389.83186435389,2092.453385,0,0,6.92468
"21",120917.072996396,8027.83801426126,13370.9639016274,2788.16580641054,526.652965,4094.62866698008,0,0,0
"22",95945.2012233509,2840.04025030099,10642.713361542,775.659113333333,962.3938062975,994.232328333333,0,0,0
"23",78084.3137188401,3355.5427678369,7792.84128391897,1803.2204966462,617.888400545585,1538.44264436946,27.1798611189139,611.995312125633,13.15808
"24",45077.373897753,6764.5110624576,11591.1238097212,1796.01744666667,134.76298,1577.82987617923,0,0,0
"25",35548.2377350695,3856.47637016595,9213.49392480008,597.205990352445,326.839181835613,1206.68928289692,0,0,0
"26",24438.9511768859,885.8951,3177.42975333333,591.289445,175.80604,341.393238787288,0,30.25812,0
"27",33897.6703374983,1609.49194108154,3940.86818301673,1151.24442,305.314665740908,629.458220514482,0,0,0
"28",23041.8143204273,2554.36014870932,6736.48458173183,19.1382,0,62.1859144067802,0,0,0
"29",11028.6619916759,324.70947,2379.16184783444,52.3963,0,59.9473133333334,0,0,0
"30",12004.4641873857,316.1517026924,377.100203700961,11.7244,1154.7624,56.0703620271578,0,0,0
"31",2678.47152382765,3467.89058754709,2521.66490973033,0,1217.52943333333,457.51476,0,0,0
"32",5449.65469347779,1467.85059443353,16.2642,0,0,21.6856,0,0,0
"33",1750.02254567382,0,0,0,0,0,0,0,0
"34",1664.01784237372,13.01136,26.15706,120.624433333333,0,11.60256,0,0,0
"35",618.923849659789,520.4546,17.98248,0,0,77.826175,0,0,0
"36",204.76724,0,0,0,0,0,0,0,0
"37",17.98248,0,0,0,0,6.53326666666667,0,0,0
"38",0,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0,0
