"TOURPURP","TRIP_ID","tempid","freq1.x","freq2.x","freq3.x","freq4.x","freq5.x","freq6.x","freq7.x","freq8.x","freq9.x","freq10.x","freq11.x","freq12.x","freq13.x","freq14.x","freq15.x","freq16.x","freq17.x","freq18.x","freq19.x","freq20.x","freq21.x","freq22.x","freq23.x","freq24.x","freq25.x","freq26.x","freq27.x","freq28.x","freq29.x","freq30.x","freq31.x","freq32.x","freq33.x","freq34.x","freq35.x","freq36.x","freq37.x","freq38.x","freq39.x","freq40.x","IS_INBOUND.x","NEXT_DEST_ARR_BIN","freq1.y","freq2.y","freq3.y","freq4.y","freq5.y","freq6.y","freq7.y","freq8.y","freq9.y","freq10.y","freq11.y","freq12.y","freq13.y","freq14.y","freq15.y","freq16.y","freq17.y","freq18.y","freq19.y","freq20.y","freq21.y","freq22.y","freq23.y","freq24.y","freq25.y","freq26.y","freq27.y","freq28.y","freq29.y","freq30.y","freq31.y","freq32.y","freq33.y","freq34.y","freq35.y","freq36.y","freq37.y","freq38.y","freq39.y","freq40.y","tempid1","IS_INBOUND.y","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","p1","p2","p3","p4","p5","p6","p7","p8"
6,1,61401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.5741236064427,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,611,1,0,0,0,230986.134159749,206.29942484885,480.62922,160.64065395618,96.5741236064427,0,0,0,0.995929192892562,0.000889488974874224,0.00207230045602709,0.000692624764782054,0.000416392911754403
6,2,61402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.4123,0,0,0,635.379838606443,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,612,1,847.916329369798,1346.99274920444,960.453708817127,20809.9608270628,0,0,0,635.379838606443,0.0344671578594354,0.0547542370800321,0.0390417172683587,0.845909177628569,0,0,0,0.0258277101636049
6,3,61403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,1,704.070265,999.08219,1463.42698789233,9232.70792601993,0,0,3.96048,0,0.0567649920066498,0.0805500464209153,0.117987401825617,0.744378249833137,0,0,0.000319309913680982,0
6,4,61404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,1,352.295873333333,271.42589,538.790843333333,8536.9321432963,0,0,0,0,0.036321241309682,0.0279836523633001,0.0555486274959596,0.880146478831058,0,0,0,0
7,1,71011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711,1,0,158.6616,62.31361,163265.839492307,3468.55594768866,3824.71115333333,1420.12091166667,587.484216045078,0,0.000918245986262444,0.000360636866589164,0.944892789481383,0.0200740921375547,0.0221353223789596,0.00821887795878322,0.00340003519046783
7,2,71012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712,1,1104.595995,343.931377701361,990.59108,10111.8746135137,2360.30646,142.68654,60.43699,1277.28955,0.0673874671632043,0.0209820282946491,0.0604324333763885,0.616889452398019,0.1439938898822,0.00870479756617371,0.00368704548767435,0.0779228858316917
7,3,71013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713,1,1154.35962833333,491.65309,876.429423333333,6446.2360457559,1622.947025,0,39.31134,32.71615,0.108251802693376,0.0461055047196264,0.0821884815448112,0.604505437831021,0.152194287481934,0,0.00368647977358352,0.00306800595564853
7,4,71014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,1,312.139366666667,143.480865,356.73110440678,3953.24032,54.675535,8.70626,0,4.9137,0.0645731596355845,0.0296822951210472,0.0737979794020557,0.817818082311275,0.0113108836204127,0.00180108879829076,0,0.00101651111133383
7,1,71021,0,158.6616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711,1,0,158.6616,62.31361,163265.839492307,3468.55594768866,3824.71115333333,1420.12091166667,587.484216045078,0,0.000918245986262444,0.000360636866589164,0.944892789481383,0.0200740921375547,0.0221353223789596,0.00821887795878322,0.00340003519046783
7,2,71022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712,1,1104.595995,343.931377701361,990.59108,10111.8746135137,2360.30646,142.68654,60.43699,1277.28955,0.0673874671632043,0.0209820282946491,0.0604324333763885,0.616889452398019,0.1439938898822,0.00870479756617371,0.00368704548767435,0.0779228858316917
