"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9"
"1",4229988.20515041,733402.683288999,356516.838017636,0,19027.7187316715,12826.4201516955,6923.8613742061,53.94744,467.83034
"2",0,2401651.5669657,495375.666100167,0,13030.8147382314,22659.1032028295,9883.08653962086,721.22115,1587.46938845512
"3",0,6459.45945814042,2378433.37759353,0,3274.72624,10951.6973749326,2747.58643,2278.25703,3441.82543790726
"4",150369.370603862,97568.1246607115,84312.1422433174,646354.605726107,4404.03557950966,59829.9461225125,4635.64545255828,193.65968,277.01312
"5",0,0,0,0,108962.061313198,719.729522545849,131.1007,0,91.5968
"6",0,0,0,0,0,313722.365895704,9934.18517967598,585.986666666666,0
"7",0,0,0,0,0,0,29728.0152888619,0,0
"8",0,0,0,0,0,0,167.69894,1575.21656833333,0
"9",0,0,0,0,0,4442.9299556395,0,0,27116.1352187995
"10",0,39189.1452044298,0,0,129.91678,4499.1368933537,478.841953333333,6.92144,0
"11",12467.3086681085,8563.3115227827,9050.42743508454,4960.90555166667,102.782506666667,2747.713515,625.326176666667,76.34315,0
