"tempid","freq1","freq2","freq3","freq4","freq5","freq6","freq7","freq8","freq9","freq10","freq11","freq12","freq13","freq14","freq15","freq16","freq17","freq18","freq19","freq20","freq21","freq22","freq23","freq24","freq25","freq26","freq27","freq28","freq29","freq30","freq31","freq32","freq33","freq34","freq35","freq36","freq37","freq38","freq39","freq40","TOURPURP","IS_INBOUND","PREV_ORIG_DEP_BIN","TRIP_ID","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","total"
60272,0,0,0,0,0,0,0,0,19.5998,65.3989,77.78952,65.1776,19.5998,0,33.35554,39.5222,1290.639,0,65.3985,81.0302,206.114,52.04544,297.90528,118.996455,0,463.696426666667,3137.68957500761,50.18688,0,0,0,19.7672,0,0,0,0,0,0,0,0,6,0,27,2,3137.68957500761,3187.87645500761,3187.87645500761,3187.87645500761,3187.87645500761,3207.64365500761,3207.64365500761,3207.64365500761,3207.64365500761,6103.91231667427
60273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88055,715.473099999999,0,0,0,162.9396,0,0,0,709.76179,221.20946,0,0,0,0,0,0,0,0,0,0,0,0,6,0,27,3,709.76179,930.97125,930.97125,930.97125,930.97125,930.97125,930.97125,930.97125,930.97125,1819.2645
60274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.446175,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,27,4,29.446175,29.446175,29.446175,29.446175,29.446175,29.446175,29.446175,29.446175,29.446175,29.446175
60281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1868.73475075754,0,0,0,0,0,0,0,0,0,0,0,0,6,0,28,1,1868.73475075754,1868.73475075754,1868.73475075754,1868.73475075754,1868.73475075754,1868.73475075754,1868.73475075754,1868.73475075754,1868.73475075754,1868.73475075754
60282,0,0,0,0,0,0,0,0,1779.93104,173.27745,7.90688,65.0568,1214.16184,1008.634,52.39955,143.206373333333,0,0,0,14.803875,810.89586,98.23014,271.88048,2034.92464,93.23014,222.49248,620.00016,175.39514,420.906254179485,299.75419,0,32.6316,0,0,0,0,0,0,0,0,6,0,28,2,175.39514,596.301394179485,896.055584179485,896.055584179485,928.687184179485,928.687184179485,928.687184179485,928.687184179485,928.687184179485,9539.71889251282
60283,0,0,0,0,0,0,0,0,0,425.3942,0,0,0,0,0,0,0,0,52.04544,81.25698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,28,3,0,0,0,0,0,0,0,0,0,558.69662
60284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88055,0,0,0,0,0,0,0,0,0,0,102.6674,0,0,0,0,0,0,0,0,0,6,0,28,4,0,0,0,102.6674,102.6674,102.6674,102.6674,102.6674,102.6674,112.54795
60291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2468.25841122251,0,0,0,0,0,0,0,0,0,0,0,6,0,29,1,2468.25841122251,2468.25841122251,2468.25841122251,2468.25841122251,2468.25841122251,2468.25841122251,2468.25841122251,2468.25841122251,2468.25841122251,2468.25841122251
60292,0,0,0,0,0,0,0,0,0,85.9314,0,65.1301,0,0,65.0894,48.7926,81.34424,65.1258,165.96812,1029.14904,34.6227,1268.93518,0,0,11.75988,0,54.2672,0,39.3793,10.75532,0,0,0,0,0,0,0,0,0,0,6,0,29,2,39.3793,50.13462,50.13462,50.13462,50.13462,50.13462,50.13462,50.13462,50.13462,3026.25028
60293,0,0,0,0,0,0,0,0,0,0,49.049175,0,0,0,0,0,32.31648,0,0,0,0,0,0,0,0,0,0,0,19.5998,3.95088,0,0,0,0,0,0,0,0,0,0,6,0,29,3,19.5998,23.55068,23.55068,23.55068,23.55068,23.55068,23.55068,23.55068,23.55068,104.916335
