"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9","tourmode10","tourmode11","tourmode12"
"1",61263,1586,105,0,0,0,0,0,0,2574,2016,6738
"2",0,14007,465,0,0,0,0,0,0,2492,2123,6836
"3",0,0,3026,0,0,0,0,0,0,2579,2180,6832
"4",0,220,185,18131,0,1,0,0,0,624,266,1029
"5",0,0,0,0,249,0,0,0,0,9555,9313,31228
"6",0,0,0,0,0,204,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0
"10",4121,822,182,8693,41,26,0,0,0,860,522,1469
"11",3417,844,165,3948,24,14,0,0,0,479,425,927
"12",11318,2554,549,16053,54,61,0,0,0,1546,1046,3321
"13",0,0,0,0,0,0,0,0,0,0,0,0
