"distbin","District_1","District_2","District_3","District_4","District_5","District_6","District_7","District_8","Total"
1,7151.0776,2633.6942,10149.2968,7025.6181,6758.0357,3465.1314,3132.96,0,40315.8138
2,1220.9641,12812.1103,16664.239,2331.5375,9127.524,6307.0023,8529.7807,0,56993.1579
3,1303.9622,7299.0481,14454.6172,7218.7132,6811.106,6819.701,7883.2025,0,51790.3502
4,282.7968,16792.8212,16377.5476,7551.4927,5584.4767,11894.1127,5633.5887,0,64116.8364
5,269.7468,8014.5758,16656.1014,3950.2965,5819.8784,6560.8403,6080.4849,0,47351.9241
6,974.2289,12030.4317,21934.6416,8484.2052,5596.0849,5039.0921,3035.126,0,57093.8104
7,246.3954,12903.6501,14009.6179,5437.705,5883.5834,7155.5329,5215.146,0,50851.6307
8,257.8277,14886.9029,18991.7179,2146.7468,5818.5547,8941.241,8014.3935,0,59057.3845
9,752.292,14424.944,25134.1936,2980.0754,7462.2459,6803.0991,7529.8587,0,65086.7087
10,634.9438,17645.7837,17195.8688,3644.1581,5860.9269,5366.0454,5691.7248,0,56039.4515
11,39.391,10436.1809,13929.6067,3733.1284,4296.6431,3898.063,428.5819,0,36761.595
12,117.5281,7202.8715,11258.9269,5491.4274,2208.6357,6100.5039,4927.7563,0,37307.6498
13,308.2377,10783.7743,14283.1452,7433.1599,7531.2385,6315.3289,2555.4959,0,49210.3804
14,141.3186,6085.3853,9305.0173,5950.9675,5793.7092,2084.5327,4194.0045,0,33554.9351
15,1124.1999,12696.0062,10491.253,4882.3617,7027.2002,1224.7389,6914.0853,0,44359.8452
16,832.4856,7961.4081,9512.0204,9382.2991,6311.1071,2843.9719,4593.451,0,41436.7432
17,263.7868,6827.9988,13599.126,12237.6569,3294.5771,2837.0035,4420.354,0,43480.5031
18,325.0575,3213.8226,9562.7375,4065.2869,4715.2883,5239.0816,2887.2726,0,30008.547
19,75.5493,7770.0669,16412.1765,4887.5982,4031.5054,1529.8684,2216.4933,0,36923.258
20,39.5185,3355.8469,3254.9089,2720.8336,10090.329,507.6914,422.628,0,20391.7563
21,148.5119,446.864,7505.3135,2855.8497,6764.7093,1401.9831,6354.6417,0,25477.8732
22,79.0174,1621.9183,2154.2429,4440.0723,1492.1863,2047.7653,2031.52,0,13866.7225
23,39.521,2322.4897,3341.1846,1196.2438,4191.9722,2104.3305,1323.821,0,14519.5628
24,420.3247,387.4311,2304.2323,1392.1643,3193.5218,665.6703,2565.472,0,10928.8165
25,59.3041,944.1374,3497.1236,2740.3343,1447.7072,289.1163,1727.7671,0,10705.49
26,19.7672,434.9907,2468.8425,1855.3306,2898.9303,2243.1143,2363.9289,0,12284.9045
27,19.7455,1561.3164,3049.8989,4909.2986,297.9513,1631.4096,1481.3483,0,12950.9686
28,0,374.0145,1833.2791,65.4771,1588.7042,833.3768,1345.5518,0,6040.4035
29,0,198.1472,752.9162,357.2763,84.6859,65.6781,183.9731,0,1642.6768
30,0,201.5184,2529.8267,65.6496,150.0882,4267.8964,267.1086,0,7482.0879
31,0,142.2809,0,183.992,65.2631,712.4592,336.3245,0,1440.3197
32,19.7514,210.3757,139.0417,65.1586,1317.9402,84.6606,2271.8063,0,4108.7345
33,0,869.6476,565.0505,0,249.7969,1519.0496,1527.6358,0,4731.1804
34,19.7672,170.6552,0,130.2154,114.6194,317.3351,173.6696,0,926.2619
35,19.7455,65.8822,245.9648,65.6714,65.3401,266.9634,0,0,729.5674
36,19.7672,679.7302,0,0,195.7196,156.3941,380.3488,0,1431.9599
37,0,0,494.7613,0,1338.9885,65.4098,1694.4035,0,3593.5631
38,0,0,104.4645,65.7202,65.0568,1354.9194,579.5019,0,2169.6628
39,0,537.3334,0,0,65.1258,1320.5259,1423.3026,0,3346.2877
40,19.7415,0,0,1340.5237,1341.1231,1206.459,130.1746,0,4038.0219
41,0,1549.652,0,0,65.0568,224.8515,65.0861,0,1904.6464
42,19.7672,0,0,0,0,0,65.0862,0,84.8534
43,0,0,0,0,1342.5356,476.9421,65.0862,0,1884.5639
44,0,0,0,0,146.6497,256.0033,0,0,402.653
45,0,0,0,0,0,1290.8545,1396.4509,0,2687.3054
46,0,0,0,0,0,65.0568,65.0861,0,130.1429
47,0,0,74.8401,0,0,0,35.948,0,110.7881
48,0,0,171.1385,0,0,295.0386,1585.5056,0,2051.6827
49,0,0,65.8224,0,119.1071,0,401.2546,0,586.1841
50,0,0,463.9399,0,0,0,65.0885,0,529.0284
51,0,114.6893,0,0,1548.6598,503.2004,1479.5967,527.1281,4173.2743
