"DAYNO","HH_ID","JTRIP_ID","uid","NUMBER_HH","PERSON_1","PERSON_2","PERSON_3","PERSON_4","PERSON_5","PERSON_6","PERSON_7","PERSON_8","PERSON_9","COMPOSITION","TOUR_ID","JTOUR_ID","finalweight","stops","TOURPURP","DEST_PURP","TRIPMODE","TOURMODE","OTAZ","DTAZ","TOUROTAZ","TOURDTAZ","DEST_DEP_BIN","ORIG_DEP_BIN","IS_INBOUND","ANCHOR_DEPART_HOUR","ANCHOR_DEPART_MIN","DEST_ARR_BIN","ORIG_ARR_BIN","ANCHOR_DEPART_BIN","ANCHOR_ARRIVE_BIN","DEST_IS_TOUR_ORIG","PERTYPE_1","PERTYPE_2","PERTYPE_3","PERTYPE_4","PERTYPE_5","PERTYPE_6","PERTYPE_7","PERTYPE_8","PERTYPE_9","AGE_1","AGE_2","AGE_3","AGE_4","AGE_5","AGE_6","AGE_7","AGE_8","AGE_9","MAX_AGE","MAX_AGE_PERTYPE"
1,161001149,1,"1-161001149-1",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,79.3308,1,7,5,2,2,2726,2544,2726,2547,1,1,0,3,0,1,1,1,2,0,5,5,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,13,5
1,161001149,2,"1-161001149-2",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,79.3308,1,7,5,2,2,2544,2547,2726,2547,1,1,0,3,0,1,1,1,2,0,5,5,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,13,5
1,161001149,3,"1-161001149-3",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,79.3308,1,7,5,2,2,2547,2564,2726,2547,1,1,0,3,0,1,1,1,2,0,5,5,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,13,5
1,161001149,4,"1-161001149-4",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,79.3308,0,7,7,2,2,2564,2547,2726,2547,2,1,0,3,0,2,1,1,2,0,5,5,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,13,5
1,161001149,5,"1-161001149-5",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,79.3308,0,7,0,2,2,2547,2726,2726,2547,40,2,1,3,0,40,2,1,2,1,5,5,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,13,5
1,161005366,3,"1-161005366-3",2,2,4,NA,NA,NA,NA,NA,NA,NA,3,4,1,13.01136,0,4,4,2,2,1808,1756,1808,1756,22,21,0,14,44,22,21,21,22,0,4,7,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,7,4
1,161005366,4,"1-161005366-4",2,2,4,NA,NA,NA,NA,NA,NA,NA,3,4,1,13.01136,0,4,0,2,2,1756,1808,1808,1756,24,22,1,14,44,24,22,21,22,1,4,7,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,7,4
1,161005366,5,"1-161005366-5",2,2,3,NA,NA,NA,NA,NA,NA,NA,3,5,2,13.01136,0,4,4,2,2,1808,2147,1808,2147,24,24,0,16,8,24,24,24,25,0,4,6,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,7,4
1,161005366,6,"1-161005366-6",2,2,3,NA,NA,NA,NA,NA,NA,NA,3,5,2,13.01136,0,4,0,2,2,2147,1808,1808,2147,27,24,1,16,8,27,24,24,25,1,4,6,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,7,4
1,161006270,2,"1-161006270-2",2,1,3,NA,NA,NA,NA,NA,NA,NA,3,3,1,16.89435,1,9,9,2,2,1136,950,1136,950,27,27,0,17,38,27,27,27,34,0,1,7,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,7,1
1,161006270,3,"1-161006270-3",2,1,3,NA,NA,NA,NA,NA,NA,NA,3,3,1,16.89435,0,9,9,4,2,950,950,1136,950,33,27,0,17,38,33,27,27,34,0,1,7,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,7,1
1,161006270,4,"1-161006270-4",2,1,3,NA,NA,NA,NA,NA,NA,NA,3,3,1,16.89435,0,9,0,2,2,950,1136,1136,950,40,33,1,17,38,40,33,27,34,1,1,7,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,7,1
1,161006745,1,"1-161006745-1",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,2,1,13.06802,0,9,9,5,5,2335,2230,2335,2230,28,27,0,17,39,28,27,27,29,0,1,1,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,6,1
1,161006745,2,"1-161006745-2",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,2,1,13.06802,0,9,0,5,5,2230,2335,2335,2230,40,28,1,17,39,40,28,27,29,1,1,1,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,6,1
1,161007426,3,"1-161007426-3",3,1,2,3,NA,NA,NA,NA,NA,NA,3,2,1,644.34205,1,5,7,3,3,1279,817,1279,759,31,29,0,18,50,31,29,29,33,0,1,2,8,0,0,0,0,0,0,5,6,1,0,0,0,0,0,0,6,2
1,161007426,4,"1-161007426-4",3,1,2,3,NA,NA,NA,NA,NA,NA,3,2,1,644.34205,0,5,5,3,3,817,759,1279,759,33,31,0,18,50,33,31,29,33,0,1,2,8,0,0,0,0,0,0,5,6,1,0,0,0,0,0,0,6,2
1,161007426,5,"1-161007426-5",3,1,2,3,NA,NA,NA,NA,NA,NA,3,2,1,644.34205,0,5,0,3,3,759,1279,1279,759,40,33,1,18,50,40,33,29,33,1,1,2,8,0,0,0,0,0,0,5,6,1,0,0,0,0,0,0,6,2
1,161007647,1,"1-161007647-1",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,2,1,4.89995,0,9,9,2,2,3515,2034,3515,2034,30,25,0,16,39,30,25,25,31,0,5,2,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,11,2
1,161007647,2,"1-161007647-2",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,2,1,4.89995,0,9,0,2,2,2034,3515,3515,2034,40,30,1,16,39,40,30,25,31,1,5,2,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,11,2
1,161009004,1,"1-161009004-1",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,4,1,70.7411585504953,0,5,5,2,2,1645,1811,1645,1811,21,20,0,14,10,21,20,20,22,0,4,5,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,11,5
