"TOURPURP","IS_INBOUND","TOD","PERSONTYPE","work","univ","scho","esco","shop","main","eati","visi","disc"
1,0,1,1,29954.1623948857,3587.59335408289,0,93772.7667661205,19674.3168843284,15763.2311056711,46535.3893487367,2142.69515833333,12881.6563632927
2,0,1,1,2831.93766537599,1827.02999333333,0,5039.17132612797,483.1519,320.267826666667,556.393785,97.7493466666667,653.474195
4,0,1,1,2150.92949,0,0,22502.0845913337,4616.62635074005,4274.71930074005,2712.2172,843.113441666667,1278.01056008781
5,0,1,1,1235.33296,22.5648,0,3633.80372984266,15561.5206266012,6443.27936656027,7345.0565390416,622.135843333333,2026.918445
6,0,1,1,1885.05647666667,0,0,5124.56209398933,3626.64118769586,15323.5369391344,3355.09039333333,2088.16794666667,1291.60069703353
7,0,1,1,1724.41322166667,0,0,2449.80097229703,5045.4792,1465.579865,7573.17611635739,4984.64552666667,3106.555305
8,0,1,1,3033.12516166667,0,0,4594.34713833333,1295.477995,1164.84038166667,2661.77343,5162.935305,1965.41514333333
9,0,1,1,2665.0549316733,4238.04023185956,0,9369.44860932783,6921.5502082375,8179.3246793242,10931.7808075964,2898.07081166667,22427.7850084083
10,0,1,1,0,0,0,1927.76349678176,1323.32606606042,2503.7071753189,9231.19293425435,1620.882125,123.092371666667
13,0,1,1,5700.99899756849,0,0,2125.74568166667,1283.87790367493,77.2537466666667,3947.84187075024,550.099776666666,1197.45363618968
1,1,1,1,22181.8134395799,5870.73300025249,0,97318.4831656773,120494.75382926,71279.819842445,85899.4406760702,14044.4032783333,74307.0086566498
2,1,1,1,735.021115,2431.96405291372,0,4010.11011575198,1763.26548383467,1349.83799941487,2545.05537537599,659.981221666667,1555.478652168
4,1,1,1,925.766608333333,193.582475,0,15685.2743826575,8510.70822707961,1832.245425,6534.52069414681,792.487683333333,834.96427
5,1,1,1,12.01564,0,0,1544.27673900773,17998.0253562148,1384.14889073518,8154.69538103551,2429.07678,1380.85316666667
6,1,1,1,359.73144,0,0,5206.76514347473,12354.3447195958,10785.7672829641,6983.24518950655,1327.77332333333,1003.2993129425
7,1,1,1,0,0,0,784.422806666667,5267.10270666667,1414.86158833333,3915.89448,1407.76175833333,2581.36769540249
8,1,1,1,0,0,0,384.790961666667,1155.953655,31.941775,422.102666666667,767.211821666667,0
9,1,1,1,199.92687,3.93894,0,4721.27444166667,14926.037936965,1877.07548197819,4893.60792797343,1889.98710166667,4125.68180957888
10,1,1,1,150946.309008393,0,0,391.709612727088,4500.43709750444,1331.12332711573,11390.5440768137,7.89398,279.668193333333
13,1,1,1,0,0,0,1477.26162833333,218.535868297807,40.6717597205281,266.241083914733,0,0
1,0,2,1,6699.27626333333,147.753345,0,7856.96242038965,12811.9840243822,6839.0663519467,9331.25919916974,1127.82056,4039.64811919354
1,1,2,1,434.02573,0,0,600.123845,1222.61790833333,309.25014,2071.94139333333,1169.71393333333,262.944343333333
1,0,1,2,1431.55624706577,0,0,12737.3802252756,1310.54488682019,1067.10426661072,5312.22380863659,268.84762,2609.28564362931
4,0,1,2,216.51666,0,0,9174.57413179843,832.451447887811,3985.52371093498,1937.11267831287,249.87182,68.561315
5,0,1,2,49.7591516666667,0,0,1150.28356333333,6611.03176067527,4831.50887339026,2452.79174330496,318.21753,672.479356960201
6,0,1,2,0,0,0,2936.55804637338,1719.06786333333,3476.19275806272,354.32898306272,141.244783333333,430.573093047865
7,0,1,2,134.926496676784,0,0,952.904781666667,1197.60700666667,588.825165,1436.77761427197,885.19813,193.2313
8,0,1,2,349.191246666667,0,0,984.12767,677.745925,82.433965,1851.50907833333,2612.838165,275.9251
9,0,1,2,445.659578468419,0,0,5795.99108040563,2074.38756346842,745.26700885465,696.70044,609.10642,5273.97757645166
10,0,1,2,0,0,0,0,60.86712,0,115.91688,0,0
13,0,1,2,13.13844,0,0,688.246851875339,82.7242666666667,337.520461476871,266.82886,8.85339,239.80875
1,1,1,2,7297.42077504157,0,0,11364.9732742074,20634.3235189324,5206.30446396501,6553.56064039857,1910.31411166667,3209.24273575662
4,1,1,2,0,0,0,3170.28716008067,5709.44202203475,141.64773,1517.80269833333,323.66827,120.00866
5,1,1,2,0,0,0,493.360870893501,2936.97909451072,591.95043,797.381108391217,20.88862,370.591303335655
6,1,1,2,408.116206702303,0,0,201.263806666667,4062.69437664165,3681.22720762172,6435.29421202507,559.136323333334,333.841627892328
7,1,1,2,16.3327,0,0,1245.951715,956.949803333333,502.815812354305,1357.08445666667,222.0264,65.0568
8,1,1,2,0,0,0,1274.3102,825.678768333333,39.09775,47.8052,249.613258333333,0
9,1,1,2,33.94774,0,0,5823.918425,6841.54882789296,2574.69223928132,3638.35920884921,457.602838333333,4422.79772368314
10,1,1,2,7798.21012646787,0,0,0,27.42575,26.13268,562.68685,45.0516,67.5774
13,1,1,2,0,0,0,70.0965308874173,107.963311666667,0,20.18416,95.2956,0
1,0,2,2,1991.07013026012,0,0,1496.99667833333,1962.19955833333,2138.94808166667,2979.8614554335,1730.42387666667,383.23473
1,1,2,2,0,0,0,1031.94820833333,606.408376322164,534.9216,1606.79181535593,459.672153333333,205.62285
1,0,1,3,3303.79252,2553.69871,0,505.240575,3690.82417439598,1722.72498666667,592.05357,36.58979,231.489945
2,0,1,3,3845.38683357019,59420.5732966133,0,17085.9643227661,5389.38967755606,6912.4981167232,3921.18232268177,2126.255305,2134.94267888292
4,0,1,3,1281.1401,526.016329324995,0,5759.57842672349,5972.26293,3190.97766,3566.93766,5221.20394,522.887265
5,0,1,3,0,1499.56264166667,0,1632.10982833333,3733.92162389102,2120.27629297583,753.631775441992,1401.552475,1454.74469555769
6,0,1,3,0,474.86936102317,0,159.242385267731,735.66838,1676.72358886879,58.8178666666667,10.75532,1178.80452
7,0,1,3,413.56061,930.697850511491,0,2845.30803,878.36051,111.238433333333,3703.2982880599,1639.406375,462.87186
8,0,1,3,3.95824,978.149975,0,290.891093333333,1139.25719833333,0,1735.43175166667,2176.12324833333,56.01702
9,0,1,3,23.41781,2306.48241473518,0,920.057514618018,2724.17589259494,1095.00774635157,2651.00818023773,810.758786666667,5901.20975838082
10,0,1,3,0,0,0,0,0,0,0,0,0
13,0,1,3,1054.63046,515.48685,0,463.118225,37.689225,303.739975,1428.30423333333,515.48685,114.3192
1,1,1,3,1114.484,4457.90156397332,0,5851.7980150067,3464.58560666667,3001.64417166667,2635.72141170078,529.61629,548.437195939372
2,1,1,3,1699.71955818867,28284.6488994539,0,10841.3874363043,11306.1369123357,3835.25677704848,9496.151807312,3920.17799333333,11769.6914584165
4,1,1,3,0,0,0,3733.88533166667,3552.14704512654,1247.58689,538.658346612819,24.862,13.01136
5,1,1,3,0,0,0,2085.75049133178,4520.58677222436,674.985222975825,1480.36574544199,42.00075,127.321396666667
6,1,1,3,0,962.590154818576,0,1823.88586430837,2958.15298333333,651.298183333333,3678.4978069344,1463.79164666667,395.82077
7,1,1,3,0,143.3137,0,3294.44063333333,365.4994,255.630941666667,416.261573333333,106.91059,447.42132
8,1,1,3,0,0,0,62.0104666666666,66.1695,0,32.3097866666666,30.72211,13.01746
9,1,1,3,6.58906666666667,3.91996,0,951.499956895192,1067.77175481272,1002.93794494803,3041.31102616268,438.708333333333,2313.65688742465
10,1,1,3,1643.66601166667,0,0,0,62.1537,0,10.5090266666667,0,6.58906666666667
13,1,1,3,0,0,0,0,2519.50198197869,1277.6886,465.536925,16.28965,0
1,0,2,3,699.59937,890.119600696134,0,404.968651666667,594.87909,44.9659266666667,3526.949595,443.249706666667,308.767705
1,1,2,3,0,120.24244,0,39.94124,306.81677,0,1582.48055,324.3055,60.12122
4,0,1,4,0,0,0,18267.349425413,3719.40731291383,3869.62843189363,1916.81765934917,727.747078333334,665.732151666667
5,0,1,4,0,0,0,9458.49675186811,15194.9532512268,4059.82485523521,2694.08931562496,263.523185,1627.7623534551
6,0,1,4,0,0,0,2906.72529561031,7336.15652716418,10732.787923698,1929.2676326776,1976.50524166667,856.311316167825
7,0,1,4,0,0,0,2947.47409567242,2965.07475354179,738.572773121917,2352.06500915864,653.64733,382.810305
8,0,1,4,0,0,0,1139.240055,1046.514685,188.92471,439.09077,869.57101,977.11313
9,0,1,4,0,0,0,12306.9379442522,9941.4997410522,6239.705285649,6298.81947088702,1813.74996666667,16907.6584664067
13,0,1,4,0,0,0,845.721753333333,1835.88822435069,534.128584661314,1336.62855079884,301.895846666667,2128.61362111434
4,1,1,4,0,0,0,11280.7616124906,9892.54272088249,4310.5139028014,4128.92541644171,3252.6255,563.579625
5,1,1,4,0,0,0,2942.43153100755,12829.6846071355,3432.79483150376,7820.15562507081,1684.18240166667,1128.15417046447
6,1,1,4,0,0,0,5431.04731960919,15451.1781524049,6937.45413386467,7034.75715381733,2506.06288,3254.37264592224
7,1,1,4,0,0,0,583.499621460814,3319.94550817213,186.257978661216,1040.55321890692,186.931236666667,2425.85192548023
8,1,1,4,0,0,0,142.350535,165.357725,279.972775,148.492035,885.68434,13.10346
9,1,1,4,0,0,0,5546.04762630775,17893.7245274404,4926.03892211314,3372.15317564408,519.247065,6172.27005110424
13,1,1,4,0,0,0,75.404211989684,2122.65133930959,618.178690753332,658.916931823847,0,0
4,0,1,5,0,0,0,3111.86856,1167.66356333333,167.04048,447.614811666667,295.38189,499.07434
5,0,1,5,0,0,0,2139.28623833333,14357.4852314946,7260.73773230961,2795.46442166667,688.936555,4568.56535089623
6,0,1,5,0,0,0,1758.68237909284,5512.42294521597,8693.948585,2322.85350166667,1659.50434,592.36216
7,0,1,5,0,0,0,943.976666666667,1410.91086333333,2376.27420681022,939.501513333333,280.91666,427.09166
8,0,1,5,0,0,0,38.890825,143.800076666667,103.476845,258.929023333333,211.9582,20.92806
9,0,1,5,0,0,0,1328.77724666667,2900.414705,2640.77192473519,1819.80144166667,470.31649,7407.466635
13,0,1,5,0,0,0,90.48019,814.020196666667,384.65497,1202.41782,20.14824,14491.83379
4,1,1,5,0,0,0,4271.7668207595,512.223941666667,107.187088333333,434.283041666667,72.207225,78.09232
5,1,1,5,0,0,0,4244.53904013508,18881.2057251351,7080.33531166667,4233.24787265547,257.03462,1561.04629
6,1,1,5,0,0,0,746.637425,15992.34949,5708.038105,5029.5675307595,2146.74753166667,701.60403
7,1,1,5,0,0,0,496.576411666667,3016.36572117231,808.547175,1229.97943333333,536.85186,464.79126
8,1,1,5,0,0,0,51.908045,115.69126,32.79945,59.74238,137.15443,14.92799
9,1,1,5,0,0,0,1685.897,16009.495969244,2341.94618166667,3879.22166166667,555.82207,10817.5379732293
13,1,1,5,0,0,0,121.38261927392,499.11676,191.186645940586,715.847175,63.47071,111.9792
1,0,1,6,1070.75628841775,0,1865.62036774208,0,0,0,355.595451119407,0,0
3,0,1,6,77.386875,0,7337.44602547944,4689.27912136446,312.6123,73.1654817759785,559.124199887811,205.91361,0
4,0,1,6,0,0,72.2029372408234,683.366340968814,0,0,0,0,72.2029372408234
5,0,1,6,0,0,23.0133852515259,0,463.899410496108,0,0,23.0133852515259,463.899410496108
6,0,1,6,0,0,303.54046,601.685476614862,359.962481607254,1517.7023,0,0,0
7,0,1,6,0,0,0,0,322.38945,0,0,0,0
8,0,1,6,0,0,28.5509782337673,28.5509782337673,0,0,0,18.0496,0
9,0,1,6,0,0,1279.2,0,0,0,214.531454410648,0,84.6959044106484
13,0,1,6,0,0,482.461542206865,0,399.954875,77.565425,77.565425,0,0
1,1,1,6,0,0,45.2990459438694,459.382145884666,22.5184307572718,0,22.525955982462,0,0
3,1,1,6,94.5180239361669,0,12933.81853864,7416.5973022707,791.241440719672,292.034897301589,2379.82958147951,681.054970417811,7843.25353997653
4,1,1,6,0,0,253.816118023427,643.611798565335,322.38945,7.01760977551243,332.263510352445,0,0
5,1,1,6,0,0,0,13.01136,26.4556,13.44424,463.899410496108,0,0
