id,purpose,freq_as0,freq_as1,freq_as2,freq_all
1,work,5898,183788,579545,769230
2,work,9426,66918,121278,197622
3,work,0,12000,74424,86424
4,work,6309,3446,5173,14928
5,work,3580,10150,11081,24811
6,work,10877,18732,3670,33278
7,work,0,1763,3327,5090
8,work,2073,4870,2148,9091
9,work,0,0,0,0
10,work,0,0,0,0
11,work,0,0,0,0
12,work,0,0,0,0
13,work,0,0,98,98
1,univ,7,8715,40618,49340
2,univ,923,7373,10674,18969
3,univ,113,4412,7429,11955
4,univ,50,2342,2036,4428
5,univ,174,514,185,874
6,univ,3678,10506,1814,15998
7,univ,0,602,706,1307
8,univ,368,1940,763,3071
9,univ,0,0,0,0
10,univ,0,0,0,0
11,univ,0,0,0,0
12,univ,0,0,0,0
13,univ,3,13,2120,2136
1,sch,73,4726,15739,20538
2,sch,2267,17227,94229,113724
3,sch,263,53769,282376,336408
4,sch,7978,16302,14576,38857
5,sch,0,1524,8398,9922
6,sch,699,3964,473,5135
7,sch,0,19,5,24
8,sch,44,589,219,852
9,sch,0,0,0,0
10,sch,0,0,0,0
11,sch,0,0,0,0
12,sch,0,0,0,0
13,sch,10586,30417,32688,73691
1,imain,4068,115094,391902,511064
2,imain,13504,162934,319782,496220
3,imain,4570,146802,433480,584852
4,imain,24546,44643,42282,111470
5,imain,4409,931,2544,7885
6,imain,5748,5025,1125,11898
7,imain,0,87,189,276
8,imain,613,893,478,1985
9,imain,0,0,0,0
10,imain,0,0,0,0
11,imain,0,0,0,0
12,imain,0,0,0,0
13,imain,0,173,0,173
1,idisc,313,30132,144758,175203
2,idisc,4389,36666,74545,115599
3,idisc,936,22438,82844,106219
4,idisc,6965,23222,34422,64609
5,idisc,2845,3066,6008,11918
6,idisc,3774,4327,1119,9220
7,idisc,0,112,193,306
8,idisc,1163,2114,893,4169
9,idisc,0,0,8,8
10,idisc,0,0,0,0
11,idisc,0,0,0,0
12,idisc,0,0,0,0
13,idisc,0,0,0,0
1,jmain,0,0,0,0
2,jmain,2588,24139,39330,66057
3,jmain,78,2899,15648,18626
4,jmain,223,371,1294,1889
5,jmain,0,21,49,70
6,jmain,961,815,116,1892
7,jmain,0,12,12,25
8,jmain,27,110,19,157
9,jmain,0,0,0,0
10,jmain,0,0,0,0
11,jmain,0,0,0,0
12,jmain,0,0,0,0
13,jmain,0,0,0,0
1,jdisc,0,0,0,0
2,jdisc,1129,12756,28348,42232
3,jdisc,0,2125,21405,23530
4,jdisc,544,2806,4779,8129
5,jdisc,0,22,44,66
6,jdisc,507,609,73,1189
7,jdisc,0,91,66,156
8,jdisc,95,277,45,417
9,jdisc,0,0,0,0
10,jdisc,0,0,0,0
11,jdisc,0,0,0,0
12,jdisc,0,0,0,0
13,jdisc,0,0,0,0
1,atwork,0,10869,47008,57877
2,atwork,611,6253,11679,18543
3,atwork,0,192,6074,6266
4,atwork,1482,4326,21553,27361
5,atwork,431,50,448,929
6,atwork,208,262,63,533
7,atwork,0,31,43,74
8,atwork,8,118,94,220
9,atwork,0,0,0,0
10,atwork,0,0,0,0
11,atwork,0,0,0,0
12,atwork,0,0,0,0
13,atwork,0,8,6,14
1,Total,10358,353324,1219569,1583252
2,Total,34836,334265,699865,1068966
3,Total,5962,244638,923680,1174280
4,Total,48098,97459,126115,271671
5,Total,11439,16278,28758,56475
6,Total,26452,44239,8452,79143
7,Total,0,2717,4541,7258
8,Total,4392,10912,4659,19962
9,Total,0,0,0,0
10,Total,0,0,0,0
11,Total,0,0,0,0
12,Total,0,0,0,0
13,Total,10588,30611,34920,76119
