"","PERTYPE","mtf","freq"
"1",1,1,846054.414227806
"2",1,2,50518.6318168805
"3",1,3,14228.0294950386
"4",1,4,1011.9394
"5",1,5,6388.02751587331
"6",2,1,110079.348907749
"7",2,2,11150.4879512212
"8",3,1,38979.8256076528
"9",3,2,1136.13051333333
"10",3,3,137596.187348859
"11",3,4,13085.7697711778
"12",3,5,7123.61683137864
"13",6,1,2869.01982701661
"14",6,2,22.4042875695796
"15",6,3,69466.1485362869
"16",6,4,3058.01762032362
"17",6,5,1391.41896
"18",7,3,262950.612063333
"19",7,4,16312.72721
"20",8,3,45427.0745216667
"21",8,4,459.174576666667
