"","esco","imain","idisc","jmain","jdisc","atwork"
"1",89109.1908664699,84086.6132866296,128238.355767243,8674.19594467723,11857.9762374938,92478.0457524066
"2",90097.6946930227,112926.748779372,107170.721900307,7599.96148789092,11287.9981634784,39270.7419760696
"3",48856.1474376329,87190.4592182076,64414.7094288788,7322.29243767763,11380.0239884747,23641.2614810815
"4",37589.5013636632,49597.1314993607,44171.5024331446,8665.07352009782,9728.65238734877,13692.4776294592
"5",21856.5559743841,34794.1427210365,38455.561040751,3002.32140196205,7149.04397714301,10273.6161589209
"6",26910.6207738637,32227.0599317977,35199.7358832693,2655.06228400479,3624.54018193915,4532.06033336614
"7",17084.9565460593,20462.4778468864,18991.142621196,5434.59476,3295.83546617214,3710.01506897767
"8",9850.08454710361,14474.4198283132,15114.8315122144,2429.75516993945,3164.62301841214,7306.56988085944
"9",10142.3042719339,13263.1073515731,20141.6393994244,1886.40837166667,1045.6657110217,1314.10064624895
"10",9947.35557345504,10892.753443169,14166.423510525,1461.62277666667,950.100194415841,3757.78558003274
"11",5390.28247405039,11816.7513817744,9842.16408608611,1796.88948833333,1033.585045,1586.62842
"12",9847.08176619887,6356.55941156808,12193.8105062365,3162.07533041708,635.213715910146,3829.70218133767
"13",4068.0502727376,5545.43224675507,9185.22669796466,124.016322225948,1462.99430166667,2096.66733452538
"14",1250.08257437792,6520.94690119685,6194.72680878729,1527.52288715538,787.830206666667,1625.86837166667
"15",4794.42333344845,5036.01586612042,5656.32279078901,2600.8097202939,2091.94981331078,431.13327
"16",4267.76997364587,2973.69117749548,7501.94421014251,341.591375,789.78492431895,1352.070925
"17",937.795271666667,4677.88977114034,6442.01585474927,170.07769,837.829223333333,1654.39834635427
"18",1567.46508510066,5763.72191910492,6950.19391438977,757.905424940905,1149.7819,205.505146325573
"19",1051.01767333333,3551.35670963893,3411.03141523686,390.451329515771,273.439895,874.504293333333
"20",1176.67458909571,1582.73871263843,2287.25453585223,49.5437,216.049305,89.8639366666667
"21",2484.20252733805,4343.63832020218,1128.46599333333,1277.4801,143.895785,1720.95628337879
"22",1020.17828666667,1955.28272833401,1665.58782833333,372.452893333333,2027.66483961189,78.06816
"23",950.93776,181.718414426849,3280.60388724886,13.10346,147.44152,217.895285
"24",1200.35170535104,1824.13333166667,1597.8088071005,1601.94412,267.88194,1683.13931333333
"25",264.430283333333,657.865896874126,1386.921285,70.42558,0,375.118218447053
"26",32.75865,571.109933333333,1652.88937187711,195.6309,51.1916333333333,71.306375
"27",0,286.415268333333,1115.5756,285.31927,1487.24476417747,447.13522
"28",1085.90323881267,1017.68127204232,1582.92001625029,22.4911,0,231.39197
"29",84.9970845519367,1468.12006666667,227.061573333333,78.07404,235.051525,318.912
"30",16.2642,213.126645,1237.04200891782,0,0,4.937825
"31",8.6518,137.31584468779,1688.73573474677,13.06802,438.08415,0
"32",2101.66910791315,34.40572,193.24727,0,98.9790049742169,5.078125
"33",0,160.55324,973.907419683293,84.4236370642001,3.91996,49.84626
"34",0,251.926433333333,297.833522591809,0,33.28112,17.95904
"35",9.7999,604.960330531207,220.85914,0,16.2642,0
"36",32.5284,13.01136,291.99786,72.2676486469807,13.07974,13.05294
"37",0,45.76685,112.873053333333,13.06072,0,65.0568
"38",0,21.4348866666667,402.51918,0,248.552835236687,208.55625
"39",53.7766,29.288765,37.56948,0,0,14.63668
"40",0,13.48685,84.7783186938245,13.03172,0,0
"41",594.162955,974.654342383001,4715.14511415522,1551.51941300109,542.538908333333,822.354524208909
